Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,0,0,4,2020-01-26,4,0.8,0.4,0,0.0,0.0,0,0.0,0.0,4,0.8,0.4
5,0,0,5,2020-01-27,1,0.8,0.46,0,0.0,0.0,0,0.0,0.0,1,0.8,0.46
5,0,0,5,2020-01-28,0,0.7,0.41,0,0.0,0.0,0,0.0,0.0,0,0.7,0.41
6,0,0,6,2020-01-29,1,0.9,0.47,0,0.0,0.0,0,0.0,0.0,1,0.9,0.47
9,0,2,7,2020-01-30,3,1.3,0.73,0,0.0,0.0,2,0.3,0.2,1,1.0,0.53
9,0,2,7,2020-01-31,0,1.3,0.65,0,0.0,0.0,0,0.3,0.18,0,1.0,0.47
12,0,2,10,2020-02-01,3,1.7,0.89,0,0.0,0.0,0,0.3,0.16,3,1.4,0.73
12,0,2,10,2020-02-02,0,1.1,0.8,0,0.0,0.0,0,0.3,0.15,0,0.9,0.65
12,0,2,10,2020-02-03,0,1.0,0.72,0,0.0,0.0,0,0.3,0.13,0,0.7,0.59
13,0,2,11,2020-02-04,1,1.1,0.75,0,0.0,0.0,0,0.3,0.12,1,0.9,0.63
13,0,2,11,2020-02-05,0,1.0,0.67,0,0.0,0.0,0,0.3,0.11,0,0.7,0.57
14,0,2,12,2020-02-06,1,0.7,0.71,0,0.0,0.0,0,0.0,0.1,1,0.7,0.61
15,0,2,13,2020-02-07,1,0.9,0.73,0,0.0,0.0,0,0.0,0.09,1,0.9,0.65
15,0,2,13,2020-02-08,0,0.4,0.66,0,0.0,0.0,0,0.0,0.08,0,0.4,0.58
15,0,2,13,2020-02-09,0,0.4,0.59,0,0.0,0.0,0,0.0,0.07,0,0.4,0.53
