Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0,0,1,2020-01-26,1,0.2,0.1,0,0.0,0.0,0,0.0,0.0,1,0.2,0.1
1,0,0,1,2020-01-27,0,0.2,0.09,0,0.0,0.0,0,0.0,0.0,0,0.2,0.09
2,0,0,2,2020-01-28,1,0.3,0.18,0,0.0,0.0,0,0.0,0.0,1,0.3,0.18
2,0,0,2,2020-01-29,0,0.3,0.16,0,0.0,0.0,0,0.0,0.0,0,0.3,0.16
2,0,0,2,2020-01-30,0,0.3,0.15,0,0.0,0.0,0,0.0,0.0,0,0.3,0.15
4,0,0,4,2020-01-31,2,0.6,0.33,0,0.0,0.0,0,0.0,0.0,2,0.6,0.33
4,0,0,4,2020-02-01,0,0.6,0.3,0,0.0,0.0,0,0.0,0.0,0,0.6,0.3
4,0,0,4,2020-02-02,0,0.4,0.27,0,0.0,0.0,0,0.0,0.0,0,0.4,0.27
4,0,0,4,2020-02-03,0,0.4,0.24,0,0.0,0.0,0,0.0,0.0,0,0.4,0.24
4,0,0,4,2020-02-04,0,0.3,0.22,0,0.0,0.0,0,0.0,0.0,0,0.3,0.22
5,0,0,5,2020-02-05,1,0.4,0.3,0,0.0,0.0,0,0.0,0.0,1,0.4,0.3
5,0,0,5,2020-02-06,0,0.4,0.27,0,0.0,0.0,0,0.0,0.0,0,0.4,0.27
7,0,0,7,2020-02-07,2,0.4,0.44,0,0.0,0.0,0,0.0,0.0,2,0.4,0.44
7,0,0,7,2020-02-08,0,0.4,0.4,0,0.0,0.0,0,0.0,0.0,0,0.4,0.4
7,0,0,7,2020-02-09,0,0.4,0.36,0,0.0,0.0,0,0.0,0.0,0,0.4,0.36
