Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
548,17,28,503,2020-01-22,548,548.0,54.8,17,17.0,1.7,28,28.0,2.8,503,503.0,50.3
643,18,30,595,2020-01-23,95,321.5,58.82,1,9.0,1.63,2,15.0,2.72,92,297.5,54.47
920,26,36,858,2020-01-24,277,306.7,80.64,8,8.7,2.27,6,12.0,3.05,263,286.0,75.32
1406,42,39,1325,2020-01-25,486,351.5,121.17,16,10.5,3.64,3,9.8,3.04,467,331.2,114.49
2075,56,49,1970,2020-01-26,669,415.0,175.96,14,11.2,4.68,10,9.8,3.74,645,394.0,167.54
2877,82,58,2737,2020-01-27,802,479.5,238.56,26,13.7,6.81,9,9.7,4.26,767,456.2,227.49
5509,131,101,5277,2020-01-28,2632,787.0,477.9,49,18.7,11.03,43,14.4,8.14,2540,753.9,458.74
6087,133,120,5834,2020-01-29,578,791.3,487.91,2,16.6,10.13,19,13.1,9.22,557,761.6,468.56
8141,171,135,7835,2020-01-30,2054,1071.1,644.52,38,21.9,12.91,15,15.0,9.8,2001,1034.3,621.81
9802,213,214,9375,2020-01-31,1661,1268.9,746.17,42,26.7,15.82,79,25.4,16.72,1540,1216.7,713.63
11891,259,275,11357,2020-02-01,2089,1497.9,880.45,46,31.0,18.84,61,33.7,21.15,1982,1433.1,840.46
16630,361,463,15806,2020-02-02,4739,2079.3,1266.31,102,43.6,27.16,188,59.1,37.83,4449,1976.6,1201.32
19716,425,614,18677,2020-02-03,3086,2405.6,1448.28,64,49.0,30.84,151,79.4,49.15,2871,2277.1,1368.29
23707,491,843,22373,2020-02-04,3991,2599.7,1702.55,66,51.4,34.36,229,106.0,67.14,3696,2442.3,1601.06
27440,563,1115,25762,2020-02-05,3733,3050.4,1905.59,72,61.4,38.12,272,142.1,87.62,3389,2846.9,1779.85
30587,633,1477,28477,2020-02-06,3147,3206.6,2029.74,70,66.0,41.31,362,191.7,115.06,2715,2948.9,1873.37
34110,718,1999,31393,2020-02-07,3523,3472.6,2179.06,85,72.1,45.68,522,255.0,155.75,2916,3145.4,1977.63
36814,805,2596,33413,2020-02-08,2704,3560.4,2231.56,87,78.0,49.81,597,331.6,199.88,2020,3150.9,1981.87
39829,905,3219,35705,2020-02-09,3015,3314.1,2309.9,100,77.7,54.83,623,393.7,242.19,2292,2842.7,2012.88
42354,1012,3918,37424,2020-02-10,2525,3234.0,2331.41,107,83.9,60.05,699,472.0,287.87,1719,2678.1,1983.49
44386,1112,4636,38638,2020-02-11,2032,2954.1,2301.47,100,88.7,64.04,718,541.9,330.88,1214,2323.6,1906.54
44759,1117,5082,38560,2020-02-12,373,2474.1,2108.62,5,79.1,58.14,446,566.7,342.4,0,1839.4,1715.89
59895,1369,6217,52309,2020-02-13,15136,4186.9,3411.36,252,105.1,77.52,1135,677.1,421.66,13749,3415.7,2919.2
66358,1521,7977,56860,2020-02-14,6463,4606.9,3716.52,152,114.7,84.97,1760,854.0,555.49,4551,3649.3,3082.38
68413,1663,9298,57452,2020-02-15,2055,4514.1,3550.37,142,122.6,90.67,1321,957.4,632.04,592,3445.3,2833.34
70513,1766,10755,57992,2020-02-16,2100,4383.4,3405.33,103,123.0,91.91,1457,1076.6,714.54,540,3195.0,2604.01
72434,1864,12462,58108,2020-02-17,1921,4297.1,3256.9,98,121.7,92.52,1707,1220.6,813.78,116,2966.0,2355.21
74211,2003,14206,58002,2020-02-18,1777,4260.7,3108.91,139,127.3,97.16,1744,1367.1,906.81,0,2792.6,2119.69
74619,2116,15962,56541,2020-02-19,408,4265.7,2838.82,113,142.7,98.75,1756,1554.3,991.72,0,2792.6,1907.72
75077,2238,18014,54825,2020-02-20,458,2168.9,2600.74,122,124.1,101.07,2052,1685.3,1097.75,0,828.4,1716.95
75550,2238,18704,54608,2020-02-21,473,1313.1,2387.96,0,102.4,90.97,690,1532.4,1056.98,0,178.3,1545.25
