Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0,0,1,2020-01-27,1,0.2,0.1,0,0.0,0.0,0,0.0,0.0,1,0.2,0.1
4,0,0,4,2020-01-28,3,0.6,0.39,0,0.0,0.0,0,0.0,0.0,3,0.6,0.39
4,0,0,4,2020-01-29,0,0.6,0.35,0,0.0,0.0,0,0.0,0.0,0,0.6,0.35
4,0,0,4,2020-01-30,0,0.6,0.32,0,0.0,0.0,0,0.0,0.0,0,0.6,0.32
5,0,0,5,2020-01-31,1,0.7,0.38,0,0.0,0.0,0,0.0,0.0,1,0.7,0.38
8,0,0,8,2020-02-01,3,1.1,0.65,0,0.0,0.0,0,0.0,0.0,3,1.1,0.65
10,0,0,10,2020-02-02,2,1.4,0.78,0,0.0,0.0,0,0.0,0.0,2,1.4,0.78
12,0,0,12,2020-02-03,2,1.6,0.9,0,0.0,0.0,0,0.0,0.0,2,1.6,0.9
12,0,0,12,2020-02-04,0,1.1,0.81,0,0.0,0.0,0,0.0,0.0,0,1.1,0.81
12,0,0,12,2020-02-05,0,1.1,0.73,0,0.0,0.0,0,0.0,0.0,0,1.1,0.73
12,0,0,12,2020-02-06,0,1.1,0.66,0,0.0,0.0,0,0.0,0.0,0,1.1,0.66
13,0,0,13,2020-02-07,1,1.1,0.69,0,0.0,0.0,0,0.0,0.0,1,1.1,0.69
13,0,0,13,2020-02-08,0,0.7,0.62,0,0.0,0.0,0,0.0,0.0,0,0.7,0.62
14,0,0,14,2020-02-09,1,0.6,0.66,0,0.0,0.0,0,0.0,0.0,1,0.6,0.66
