Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
2,0,0,2,2020-01-22,2,2.0,0.2,0,0.0,0.0,0,0.0,0.0,2,2.0,0.2
2,0,0,2,2020-01-23,0,1.0,0.18,0,0.0,0.0,0,0.0,0.0,0,1.0,0.18
2,0,0,2,2020-01-24,0,0.7,0.16,0,0.0,0.0,0,0.0,0.0,0,0.7,0.16
2,0,0,2,2020-01-25,0,0.5,0.15,0,0.0,0.0,0,0.0,0.0,0,0.5,0.15
4,0,1,3,2020-01-26,2,0.8,0.33,0,0.0,0.0,1,0.2,0.1,1,0.6,0.23
4,0,1,3,2020-01-27,0,0.7,0.3,0,0.0,0.0,0,0.2,0.09,0,0.5,0.21
7,0,1,6,2020-01-28,3,1.0,0.57,0,0.0,0.0,0,0.1,0.08,3,0.9,0.49
7,0,1,6,2020-01-29,0,0.7,0.51,0,0.0,0.0,0,0.1,0.07,0,0.6,0.44
11,0,1,10,2020-01-30,4,1.3,0.86,0,0.0,0.0,0,0.1,0.07,4,1.1,0.79
15,0,1,14,2020-01-31,4,1.9,1.17,0,0.0,0.0,0,0.1,0.06,4,1.7,1.12
20,0,1,19,2020-02-01,5,2.6,1.56,0,0.0,0.0,0,0.1,0.05,5,2.4,1.5
20,0,1,19,2020-02-02,0,2.3,1.4,0,0.0,0.0,0,0.0,0.05,0,2.3,1.35
20,0,1,19,2020-02-03,0,2.3,1.26,0,0.0,0.0,0,0.0,0.04,0,2.3,1.22
22,0,1,21,2020-02-04,2,2.1,1.33,0,0.0,0.0,0,0.0,0.04,2,2.1,1.3
23,0,1,22,2020-02-05,1,2.3,1.3,0,0.0,0.0,0,0.0,0.03,1,2.3,1.27
23,0,1,22,2020-02-06,0,1.7,1.17,0,0.0,0.0,0,0.0,0.03,0,1.7,1.14
23,0,1,22,2020-02-07,0,1.1,1.05,0,0.0,0.0,0,0.0,0.03,0,1.1,1.03
24,0,1,23,2020-02-08,1,0.6,1.05,0,0.0,0.0,0,0.0,0.03,1,0.6,1.02
24,0,1,23,2020-02-09,0,0.6,0.94,0,0.0,0.0,0,0.0,0.02,0,0.6,0.92
26,0,4,22,2020-02-10,2,0.9,1.05,0,0.0,0.0,3,0.4,0.32,0,0.6,0.83
27,0,9,18,2020-02-11,1,0.7,1.04,0,0.0,0.0,5,1.1,0.79,0,0.3,0.75
28,0,9,19,2020-02-12,1,0.7,1.04,0,0.0,0.0,0,1.1,0.71,1,0.3,0.77
33,1,9,23,2020-02-13,5,1.4,1.44,1,0.1,0.1,0,1.1,0.64,4,0.9,1.09
43,1,9,33,2020-02-14,10,2.9,2.29,0,0.1,0.09,0,1.1,0.57,10,2.3,1.98
54,1,12,41,2020-02-15,11,4.3,3.16,0,0.1,0.08,3,1.6,0.82,8,3.3,2.59
60,1,12,47,2020-02-16,6,5.1,3.45,0,0.1,0.07,0,1.6,0.74,6,4.1,2.93
67,1,12,54,2020-02-17,7,5.9,3.8,0,0.1,0.07,0,1.1,0.66,7,5.1,3.33
79,2,13,64,2020-02-18,12,7.4,4.62,1,0.3,0.16,1,0.6,0.7,10,6.6,4.0
85,2,18,65,2020-02-19,6,8.1,4.76,0,0.3,0.14,5,1.3,1.13,1,6.6,3.7
95,2,18,75,2020-02-20,10,8.9,5.28,0,0.1,0.13,0,1.3,1.01,10,7.4,4.33
112,2,22,88,2020-02-21,17,9.9,6.46,0,0.1,0.12,4,1.9,1.31,13,7.9,5.2
137,2,22,113,2020-02-22,25,11.9,8.31,0,0.1,0.1,0,1.4,1.18,25,10.3,7.18
149,2,22,125,2020-02-23,12,12.7,8.68,0,0.1,0.09,0,1.4,1.06,12,11.1,7.66
160,2,22,136,2020-02-24,11,13.3,8.91,0,0.1,0.08,0,1.4,0.96,11,11.7,7.99
173,3,22,148,2020-02-25,13,13.4,9.32,1,0.1,0.18,0,1.3,0.86,12,12.0,8.39
192,3,22,167,2020-02-26,19,15.3,10.29,0,0.1,0.16,0,0.6,0.77,19,14.6,9.46
218,4,22,192,2020-02-27,26,17.6,11.86,1,0.3,0.24,0,0.6,0.7,25,16.7,11.01
236,5,22,209,2020-02-28,18,17.7,12.47,1,0.4,0.32,0,0.0,0.63,17,17.3,11.61
245,6,32,207,2020-02-29,9,15.4,12.13,1,0.6,0.39,10,1.4,1.56,0,13.7,10.45
259,6,32,221,2020-03-01,14,15.7,12.31,0,0.6,0.35,0,1.4,1.41,14,14.0,10.8
278,6,32,240,2020-03-02,19,16.9,12.98,0,0.6,0.31,0,1.4,1.27,19,15.1,11.62
298,6,43,249,2020-03-03,20,17.9,13.68,0,0.4,0.28,11,3.0,2.24,9,14.7,11.36
333,7,43,283,2020-03-04,35,20.1,15.82,1,0.6,0.35,0,3.0,2.02,34,16.9,13.62
365,7,43,315,2020-03-05,32,21.0,17.43,0,0.4,0.32,0,3.0,1.82,32,17.9,15.46
420,7,46,367,2020-03-06,55,26.3,21.19,0,0.3,0.29,3,3.4,1.93,52,22.9,19.12
466,7,76,383,2020-03-07,46,31.6,23.67,0,0.1,0.26,30,6.3,4.74,16,25.1,18.8
499,8,76,415,2020-03-08,33,34.3,24.6,1,0.3,0.33,0,6.3,4.27,32,27.7,20.12
527,10,76,441,2020-03-09,28,35.6,24.94,2,0.6,0.5,0,6.3,3.84,26,28.7,20.71
585,13,101,471,2020-03-10,58,41.0,28.25,3,1.0,0.75,25,8.3,5.96,30,31.7,21.64
640,15,118,507,2020-03-11,55,43.9,30.92,2,1.1,0.87,17,10.7,7.06,36,32.0,23.08
696,19,118,559,2020-03-12,56,47.3,33.43,4,1.7,1.19,0,10.7,6.35,52,34.9,25.97
733,21,118,594,2020-03-13,37,44.7,33.79,2,2.0,1.27,0,10.3,5.72,35,32.4,26.87
795,22,118,655,2020-03-14,62,47.0,36.61,1,2.1,1.24,0,6.0,5.15,61,38.9,30.28
826,24,118,684,2020-03-15,31,46.7,36.05,2,2.3,1.32,0,6.0,4.63,29,38.4,30.16
843,30,144,669,2020-03-16,17,45.1,34.14,6,2.9,1.79,26,9.7,6.77,0,34.7,27.14
893,30,144,719,2020-03-17,50,44.0,35.73,0,2.4,1.61,0,6.1,6.09,50,37.6,29.43
928,32,144,752,2020-03-18,35,41.1,35.66,2,2.4,1.65,0,3.7,5.48,33,37.1,29.78
968,33,150,785,2020-03-19,40,38.9,36.09,1,2.0,1.58,6,4.6,5.53,33,34.4,30.11
1022,34,191,797,2020-03-20,54,41.3,37.88,1,1.9,1.52,41,10.4,9.08,12,31.1,28.29
1059,36,232,791,2020-03-21,37,37.7,37.79,2,2.0,1.57,41,16.3,12.27,0,22.4,25.47
1104,40,235,829,2020-03-22,45,39.7,38.51,4,2.3,1.81,3,16.7,11.35,38,23.7,26.72
1144,41,235,868,2020-03-23,40,43.0,38.66,1,1.6,1.73,0,13.0,10.21,39,29.3,27.95
1217,42,285,890,2020-03-24,73,46.3,42.1,1,1.7,1.66,50,20.1,14.19,22,25.3,27.35
1314,45,310,959,2020-03-25,97,55.1,47.59,3,1.9,1.79,25,23.7,15.27,69,30.4,31.52
1416,47,359,1010,2020-03-26,102,64.0,53.03,2,2.0,1.81,49,29.9,18.64,51,33.0,33.47
1530,53,372,1105,2020-03-27,114,72.6,59.13,6,2.7,2.23,13,25.9,18.08,95,44.9,39.62
1728,56,404,1268,2020-03-28,198,95.6,73.01,3,2.9,2.31,32,24.6,19.47,163,68.1,51.96
1907,63,424,1420,2020-03-29,179,114.7,83.61,7,3.3,2.78,20,27.0,19.52,152,84.4,61.96
2001,65,424,1512,2020-03-30,94,122.4,84.65,2,3.4,2.7,0,27.0,17.57,92,92.0,64.97
2255,67,424,1764,2020-03-31,254,148.3,101.59,2,3.6,2.63,0,19.9,15.81,252,124.9,83.67
2535,72,472,1991,2020-04-01,280,174.4,119.43,5,3.9,2.87,48,23.1,19.03,227,147.4,98.0
2818,75,472,2271,2020-04-02,283,200.3,135.78,3,4.0,2.88,0,16.1,17.13,280,180.1,116.2
3154,81,514,2559,2020-04-03,336,232.0,155.81,6,4.0,3.19,42,20.3,19.62,288,207.7,133.38
3525,87,514,2924,2020-04-04,371,256.7,177.33,6,4.4,3.47,0,15.7,17.66,365,236.6,156.54
3876,93,514,3269,2020-04-05,351,281.3,194.69,6,4.3,3.73,0,12.9,15.89,345,264.1,175.39
4110,96,575,3439,2020-04-06,234,301.3,198.62,3,4.4,3.65,61,21.6,20.4,170,275.3,174.85
4485,98,592,3795,2020-04-07,375,318.6,216.26,2,4.4,3.49,17,24.0,20.06,356,290.1,192.97
5020,105,622,4293,2020-04-08,535,355.0,248.13,7,4.7,3.84,30,21.4,21.05,498,328.9,223.47
5614,113,632,4869,2020-04-09,594,399.4,282.72,8,5.4,4.26,10,22.9,19.95,576,371.1,258.72
6250,125,685,5440,2020-04-10,636,442.3,318.05,12,6.3,5.03,53,24.4,23.25,571,411.6,289.95
6951,138,762,6051,2020-04-11,701,489.4,356.34,13,7.3,5.83,77,35.4,28.63,611,446.7,322.05
7473,147,762,6564,2020-04-12,522,513.9,372.91,9,7.7,6.14,0,35.4,25.77,513,470.7,341.15
7773,156,784,6833,2020-04-13,300,523.3,365.62,9,8.6,6.43,22,29.9,25.39,269,484.9,333.93
8277,170,799,7308,2020-04-14,504,541.7,379.46,14,10.3,7.19,15,29.6,24.35,475,501.9,348.04
8835,186,853,7796,2020-04-15,558,545.0,397.31,16,11.6,8.07,54,33.0,27.32,488,500.4,362.04
9398,204,901,8293,2020-04-16,563,540.6,413.88,18,13.0,9.06,48,38.4,29.38,497,489.1,375.53
9958,217,935,8806,2020-04-17,560,529.7,428.49,13,13.1,9.46,34,35.7,29.85,513,480.9,389.28
10548,236,1069,9243,2020-04-18,590,513.9,444.64,19,14.0,10.41,134,43.9,40.26,437,456.0,394.05
10914,255,1159,9500,2020-04-19,366,491.6,436.78,19,15.4,11.27,90,56.7,45.23,257,419.4,380.35
11258,275,1159,9824,2020-04-20,344,497.9,427.5,20,17.0,12.14,0,53.6,40.71,324,427.3,374.71
