Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,0,0,3,2020-01-25,3,0.8,0.3,0,0.0,0.0,0,0.0,0.0,3,0.8,0.3
4,0,0,4,2020-01-26,1,0.8,0.37,0,0.0,0.0,0,0.0,0.0,1,0.8,0.37
4,0,0,4,2020-01-27,0,0.7,0.33,0,0.0,0.0,0,0.0,0.0,0,0.7,0.33
4,0,0,4,2020-01-28,0,0.6,0.3,0,0.0,0.0,0,0.0,0.0,0,0.6,0.3
7,0,0,7,2020-01-29,3,1.0,0.57,0,0.0,0.0,0,0.0,0.0,3,1.0,0.57
8,0,0,8,2020-01-30,1,1.1,0.61,0,0.0,0.0,0,0.0,0.0,1,1.1,0.61
8,0,0,8,2020-01-31,0,1.1,0.55,0,0.0,0.0,0,0.0,0.0,0,1.1,0.55
8,0,0,8,2020-02-01,0,0.7,0.5,0,0.0,0.0,0,0.0,0.0,0,0.7,0.5
8,0,0,8,2020-02-02,0,0.6,0.45,0,0.0,0.0,0,0.0,0.0,0,0.6,0.45
8,0,0,8,2020-02-03,0,0.6,0.4,0,0.0,0.0,0,0.0,0.0,0,0.6,0.4
10,0,0,10,2020-02-04,2,0.9,0.56,0,0.0,0.0,0,0.0,0.0,2,0.9,0.56
12,0,0,12,2020-02-05,2,0.7,0.71,0,0.0,0.0,0,0.0,0.0,2,0.7,0.71
12,0,0,12,2020-02-06,0,0.6,0.64,0,0.0,0.0,0,0.0,0.0,0,0.6,0.64
12,0,1,11,2020-02-07,0,0.6,0.57,0,0.0,0.0,1,0.1,0.1,0,0.6,0.57
16,0,1,15,2020-02-08,4,1.1,0.91,0,0.0,0.0,0,0.1,0.09,4,1.1,0.91
16,0,1,15,2020-02-09,0,1.1,0.82,0,0.0,0.0,0,0.1,0.08,0,1.1,0.82
