Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1,0,0,1,2020-01-23,1,0.5,0.1,0,0.0,0.0,0,0.0,0.0,1,0.5,0.1
3,0,0,3,2020-01-24,2,1.0,0.29,0,0.0,0.0,0,0.0,0.0,2,1.0,0.29
3,0,0,3,2020-01-25,0,0.8,0.26,0,0.0,0.0,0,0.0,0.0,0,0.8,0.26
4,0,0,4,2020-01-26,1,0.8,0.33,0,0.0,0.0,0,0.0,0.0,1,0.8,0.33
5,0,0,5,2020-01-27,1,0.8,0.4,0,0.0,0.0,0,0.0,0.0,1,0.8,0.4
7,0,0,7,2020-01-28,2,1.0,0.56,0,0.0,0.0,0,0.0,0.0,2,1.0,0.56
7,0,0,7,2020-01-29,0,1.0,0.51,0,0.0,0.0,0,0.0,0.0,0,1.0,0.51
10,0,0,10,2020-01-30,3,1.3,0.75,0,0.0,0.0,0,0.0,0.0,3,1.3,0.75
13,0,0,13,2020-01-31,3,1.4,0.98,0,0.0,0.0,0,0.0,0.0,3,1.4,0.98
16,0,0,16,2020-02-01,3,1.9,1.18,0,0.0,0.0,0,0.0,0.0,3,1.9,1.18
18,0,0,18,2020-02-02,2,2.0,1.26,0,0.0,0.0,0,0.0,0.0,2,2.0,1.26
18,0,0,18,2020-02-03,0,1.9,1.14,0,0.0,0.0,0,0.0,0.0,0,1.9,1.14
24,0,0,24,2020-02-04,6,2.4,1.62,0,0.0,0.0,0,0.0,0.0,6,2.4,1.62
28,0,0,28,2020-02-05,4,3.0,1.86,0,0.0,0.0,0,0.0,0.0,4,3.0,1.86
28,0,0,28,2020-02-06,0,2.6,1.67,0,0.0,0.0,0,0.0,0.0,0,2.6,1.67
30,0,0,30,2020-02-07,2,2.4,1.71,0,0.0,0.0,0,0.0,0.0,2,2.4,1.71
33,0,2,31,2020-02-08,3,2.4,1.84,0,0.0,0.0,2,0.3,0.2,1,2.1,1.64
40,0,2,38,2020-02-09,7,3.1,2.35,0,0.0,0.0,0,0.3,0.18,7,2.9,2.17
45,0,2,43,2020-02-10,5,3.9,2.62,0,0.0,0.0,0,0.3,0.16,5,3.6,2.46
47,0,9,38,2020-02-11,2,3.3,2.56,0,0.0,0.0,7,1.3,0.85,0,2.7,2.21
50,0,15,35,2020-02-12,3,3.1,2.6,0,0.0,0.0,6,2.1,1.36,0,2.1,1.99
58,0,15,43,2020-02-13,8,4.3,3.14,0,0.0,0.0,0,2.1,1.23,8,3.3,2.59
67,0,17,50,2020-02-14,9,5.3,3.73,0,0.0,0.0,2,2.4,1.3,7,4.0,3.03
72,0,18,54,2020-02-15,5,5.6,3.85,0,0.0,0.0,1,2.3,1.27,4,4.4,3.13
75,0,18,57,2020-02-16,3,5.0,3.77,0,0.0,0.0,0,2.3,1.15,3,3.9,3.12
77,0,24,53,2020-02-17,2,4.6,3.59,0,0.0,0.0,6,3.1,1.63,0,3.1,2.8
81,0,29,52,2020-02-18,4,4.9,3.63,0,0.0,0.0,5,2.9,1.97,0,3.1,2.52
84,0,34,50,2020-02-19,3,4.9,3.57,0,0.0,0.0,5,2.7,2.27,0,3.1,2.27
84,0,34,50,2020-02-20,0,3.7,3.21,0,0.0,0.0,0,2.7,2.04,0,2.0,2.04
85,0,37,48,2020-02-21,1,2.6,2.99,0,0.0,0.0,3,2.9,2.14,0,1.0,1.84
85,0,37,48,2020-02-22,0,1.9,2.69,0,0.0,0.0,0,2.7,1.93,0,0.4,1.66
89,0,51,38,2020-02-23,4,2.0,2.82,0,0.0,0.0,14,4.7,3.13,0,0.0,1.49
89,0,51,38,2020-02-24,0,1.7,2.54,0,0.0,0.0,0,3.9,2.82,0,0.0,1.34
91,0,53,38,2020-02-25,2,1.4,2.49,0,0.0,0.0,2,3.4,2.74,0,0.0,1.21
93,0,62,31,2020-02-26,2,1.3,2.44,0,0.0,0.0,9,4.0,3.36,0,0.0,1.09
93,0,62,31,2020-02-27,0,1.3,2.19,0,0.0,0.0,0,4.0,3.03,0,0.0,0.98
93,0,62,31,2020-02-28,0,1.1,1.97,0,0.0,0.0,0,3.6,2.72,0,0.0,0.88
102,0,72,30,2020-02-29,9,2.4,2.68,0,0.0,0.0,10,5.0,3.45,0,0.0,0.79
106,0,72,34,2020-03-01,4,2.4,2.81,0,0.0,0.0,0,3.0,3.11,4,0.6,1.11
108,0,78,30,2020-03-02,2,2.7,2.73,0,0.0,0.0,6,3.9,3.4,0,0.6,1.0
110,0,78,32,2020-03-03,2,2.7,2.66,0,0.0,0.0,0,3.6,3.06,2,0.9,1.1
110,0,78,32,2020-03-04,0,2.4,2.39,0,0.0,0.0,0,2.3,2.75,0,0.9,0.99
117,0,78,39,2020-03-05,7,3.4,2.85,0,0.0,0.0,0,2.3,2.48,7,1.9,1.59
130,0,78,52,2020-03-06,13,5.3,3.87,0,0.0,0.0,0,2.3,2.23,13,3.7,2.73
138,0,78,60,2020-03-07,8,5.1,4.28,0,0.0,0.0,0,0.9,2.01,8,4.9,3.26
150,0,78,72,2020-03-08,12,6.3,5.05,0,0.0,0.0,0,0.9,1.8,12,6.0,4.13
150,0,78,72,2020-03-09,0,6.0,4.55,0,0.0,0.0,0,0.0,1.62,0,6.0,3.72
160,0,78,82,2020-03-10,10,7.1,5.09,0,0.0,0.0,0,0.0,1.46,10,7.1,4.35
178,0,96,82,2020-03-11,18,9.7,6.38,0,0.0,0.0,18,2.6,3.12,0,7.1,3.91
178,0,96,82,2020-03-12,0,8.7,5.74,0,0.0,0.0,0,2.6,2.8,0,6.1,3.52
200,0,97,103,2020-03-13,22,10.0,7.37,0,0.0,0.0,1,2.7,2.62,21,7.3,5.27
212,0,105,107,2020-03-14,12,10.6,7.83,0,0.0,0.0,8,3.9,3.16,4,6.7,5.14
226,0,105,121,2020-03-15,14,10.9,8.45,0,0.0,0.0,0,3.9,2.85,14,7.0,6.03
243,0,109,134,2020-03-16,17,13.3,9.3,0,0.0,0.0,4,4.4,2.96,13,8.9,6.73
266,0,114,152,2020-03-17,23,15.1,10.67,0,0.0,0.0,5,5.1,3.16,18,10.0,7.85
313,0,114,199,2020-03-18,47,19.3,14.31,0,0.0,0.0,0,2.6,2.85,47,16.7,11.77
345,0,114,231,2020-03-19,32,23.9,16.08,0,0.0,0.0,0,2.6,2.56,32,21.3,13.79
385,0,124,261,2020-03-20,40,26.4,18.47,0,0.0,0.0,10,3.9,3.31,30,22.6,15.41
432,2,140,290,2020-03-21,47,31.4,21.32,2,0.3,0.2,16,5.0,4.58,29,26.1,16.77
455,2,144,309,2020-03-22,23,32.7,21.49,0,0.3,0.18,4,5.6,4.52,19,26.9,16.99
509,2,144,363,2020-03-23,54,38.0,24.74,0,0.3,0.16,0,5.0,4.07,54,32.7,20.69
558,2,156,400,2020-03-24,49,41.7,27.17,0,0.3,0.15,12,6.0,4.86,37,35.4,22.32
631,2,160,469,2020-03-25,73,45.4,31.75,0,0.3,0.13,4,6.6,4.77,69,38.6,26.99
683,2,172,509,2020-03-26,52,48.3,33.77,0,0.3,0.12,12,8.3,5.5,40,39.7,28.29
732,2,183,547,2020-03-27,49,49.6,35.3,0,0.3,0.11,11,8.4,6.05,38,40.9,29.26
802,2,198,602,2020-03-28,70,52.9,38.77,0,0.0,0.1,15,8.3,6.94,55,44.6,31.84
844,3,212,629,2020-03-29,42,55.6,39.09,1,0.1,0.19,14,9.7,7.65,27,45.7,31.35
879,3,228,648,2020-03-30,35,52.9,38.68,0,0.1,0.17,16,12.0,8.48,19,40.7,30.12
926,3,240,683,2020-03-31,47,52.6,39.51,0,0.1,0.15,12,12.0,8.83,35,40.4,30.61
1000,3,245,752,2020-04-01,74,52.7,42.96,0,0.1,0.14,5,12.1,8.45,69,40.4,34.45
1049,4,266,779,2020-04-02,49,52.3,43.57,1,0.3,0.22,21,13.4,9.71,27,38.6,33.7
1114,5,282,827,2020-04-03,65,54.6,45.71,1,0.4,0.3,16,14.1,10.34,48,40.0,35.13
1189,6,297,886,2020-04-04,75,55.3,48.64,1,0.6,0.37,15,14.1,10.8,59,40.6,37.52
1309,6,320,983,2020-04-05,120,66.4,55.77,0,0.4,0.33,23,15.4,12.02,97,50.6,43.47
1375,6,344,1025,2020-04-06,66,70.9,56.8,0,0.4,0.3,24,16.6,13.22,42,53.9,43.32
1481,6,377,1098,2020-04-07,106,79.3,61.72,0,0.4,0.27,33,19.6,15.2,73,59.3,46.29
1623,6,406,1211,2020-04-08,142,89.0,69.75,0,0.4,0.24,29,23.0,16.58,113,65.6,52.96
1910,6,460,1444,2020-04-09,287,123.0,91.47,0,0.3,0.22,54,27.7,20.32,233,95.0,70.96
2108,7,492,1609,2020-04-10,198,142.0,102.12,1,0.3,0.3,32,30.0,21.49,165,111.7,80.37
2299,8,528,1763,2020-04-11,191,158.6,111.01,1,0.3,0.37,36,33.0,22.94,154,125.3,87.73
2532,8,560,1964,2020-04-12,233,174.7,123.21,0,0.3,0.33,32,34.3,23.85,201,140.1,99.06
2918,9,586,2323,2020-04-13,386,220.4,149.49,1,0.4,0.4,26,34.6,24.06,359,185.4,125.05
3252,10,611,2631,2020-04-14,334,253.0,167.94,1,0.6,0.46,25,33.4,24.15,308,219.0,143.35
3699,10,652,3037,2020-04-15,447,296.6,195.85,0,0.6,0.41,41,35.1,25.84,406,260.9,169.61
4427,10,683,3734,2020-04-16,728,359.6,249.06,0,0.6,0.37,31,31.9,26.36,697,327.1,222.35
5050,11,708,4331,2020-04-17,623,420.3,286.46,1,0.6,0.43,25,30.9,26.22,597,388.9,259.82
5992,11,740,5241,2020-04-18,942,527.6,352.01,0,0.4,0.39,32,30.3,26.8,910,496.9,324.83
6588,11,768,5809,2020-04-19,596,579.4,376.41,0,0.4,0.35,28,29.7,26.92,568,549.3,349.15
8014,11,801,7202,2020-04-20,1426,728.0,481.37,0,0.3,0.32,33,30.7,27.53,1393,697.0,453.54
9125,11,839,8275,2020-04-21,1111,839.0,544.33,0,0.1,0.28,38,32.6,28.57,1073,806.3,515.48
10141,12,896,9233,2020-04-22,1016,920.3,591.5,1,0.3,0.36,57,34.9,31.42,958,885.1,559.73
11178,12,924,10242,2020-04-23,1037,964.4,636.05,0,0.3,0.32,28,34.4,31.07,1009,929.7,604.66
12075,12,956,11107,2020-04-24,897,1003.6,662.14,0,0.1,0.29,32,35.4,31.17,865,968.0,630.69
12693,12,1002,11679,2020-04-25,618,957.3,657.73,0,0.1,0.26,46,37.4,32.65,572,919.7,624.82
13624,12,1060,12552,2020-04-26,931,1005.1,685.06,0,0.1,0.23,58,41.7,35.19,873,963.3,649.64
14423,14,1095,13314,2020-04-27,799,915.6,696.45,2,0.4,0.41,35,42.0,35.17,762,873.1,660.88
14951,14,1128,13809,2020-04-28,528,832.3,679.61,0,0.4,0.37,33,41.3,34.95,495,790.6,644.29
15641,14,1188,14439,2020-04-29,690,785.7,680.65,0,0.3,0.33,60,41.7,37.46,630,743.7,642.86
16169,15,1244,14910,2020-04-30,528,713.0,665.38,1,0.4,0.4,56,45.7,39.31,471,666.9,625.68
17101,16,1268,15817,2020-05-01,932,718.0,692.04,1,0.6,0.46,24,44.6,37.78,907,672.9,653.81
17548,17,1347,16184,2020-05-02,447,693.6,667.54,1,0.7,0.51,79,49.3,41.9,367,643.6,625.13
18205,18,1408,16779,2020-05-03,657,654.4,666.48,1,0.9,0.56,61,49.7,43.81,595,603.9,622.11
18778,18,1457,17303,2020-05-04,573,622.1,657.14,0,0.6,0.51,49,51.7,44.33,524,569.9,612.3
19410,18,1519,17873,2020-05-05,632,637.0,654.62,0,0.6,0.46,62,55.9,46.1,570,580.6,608.07
20198,20,1634,18544,2020-05-06,788,651.0,667.96,2,0.9,0.61,115,63.7,52.99,671,586.4,614.37
20939,20,1712,19207,2020-05-07,741,681.4,675.26,0,0.7,0.55,78,66.9,55.49,663,613.9,619.23
21707,20,2040,19647,2020-05-08,768,658.0,684.54,0,0.6,0.49,328,110.3,82.74,440,547.1,601.31
22460,20,2296,20144,2020-05-09,753,701.7,691.38,0,0.4,0.44,256,135.6,100.07,497,565.7,590.88
23336,20,2721,20595,2020-05-10,876,733.0,709.85,0,0.3,0.4,425,187.6,132.56,451,545.1,576.89
23822,21,3225,20576,2020-05-11,486,720.6,687.46,1,0.4,0.46,504,252.6,169.7,0,470.3,519.2
24671,21,3851,20799,2020-05-12,849,751.6,703.61,0,0.4,0.41,626,333.1,215.33,223,420.7,489.58
25346,21,4809,20516,2020-05-13,675,735.4,700.75,0,0.1,0.37,958,453.6,289.6,0,324.9,440.62
26098,21,5973,20104,2020-05-14,752,737.0,705.88,0,0.1,0.34,1164,608.7,377.04,0,230.1,396.56
26891,21,7248,19622,2020-05-15,793,740.6,714.59,0,0.1,0.3,1275,744.0,466.84,0,167.3,356.9
