Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
4,0,2,2,2020-01-22,4,4.0,0.4,0,0.0,0.0,2,2.0,0.2,2,2.0,0.2
4,0,2,2,2020-01-23,0,2.0,0.36,0,0.0,0.0,0,1.0,0.18,0,1.0,0.18
5,0,3,2,2020-01-24,1,1.7,0.42,0,0.0,0.0,1,1.0,0.26,0,0.7,0.16
6,0,3,3,2020-01-25,1,1.5,0.48,0,0.0,0.0,0,0.8,0.24,1,0.8,0.25
8,0,6,2,2020-01-26,2,1.6,0.63,0,0.0,0.0,3,1.2,0.51,0,0.6,0.22
8,0,6,2,2020-01-27,0,1.3,0.57,0,0.0,0.0,0,1.0,0.46,0,0.5,0.2
14,0,6,8,2020-01-28,6,2.0,1.11,0,0.0,0.0,0,0.9,0.41,6,1.3,0.78
14,0,6,8,2020-01-29,0,1.4,1.0,0,0.0,0.0,0,0.6,0.37,0,1.0,0.7
14,0,7,7,2020-01-30,0,1.4,0.9,0,0.0,0.0,1,0.7,0.44,0,1.0,0.63
19,0,8,11,2020-01-31,5,2.0,1.31,0,0.0,0.0,1,0.7,0.49,4,1.6,0.97
19,0,8,11,2020-02-01,0,1.9,1.18,0,0.0,0.0,0,0.7,0.44,0,1.4,0.87
19,0,9,10,2020-02-02,0,1.6,1.06,0,0.0,0.0,1,0.4,0.5,0,1.4,0.78
19,0,9,10,2020-02-03,0,1.6,0.96,0,0.0,0.0,0,0.4,0.45,0,1.4,0.71
25,0,10,15,2020-02-04,6,1.6,1.46,0,0.0,0.0,1,0.6,0.5,5,1.3,1.14
25,0,10,15,2020-02-05,0,1.6,1.31,0,0.0,0.0,0,0.6,0.45,0,1.3,1.02
25,0,10,15,2020-02-06,0,1.6,1.18,0,0.0,0.0,0,0.4,0.41,0,1.3,0.92
25,0,10,15,2020-02-07,0,0.9,1.06,0,0.0,0.0,0,0.3,0.37,0,0.7,0.83
32,0,10,22,2020-02-08,7,1.9,1.66,0,0.0,0.0,0,0.3,0.33,7,1.7,1.44
32,0,11,21,2020-02-09,0,1.9,1.49,0,0.0,0.0,1,0.3,0.4,0,1.7,1.3
32,0,11,21,2020-02-10,0,1.9,1.34,0,0.0,0.0,0,0.3,0.36,0,1.7,1.17
33,0,11,22,2020-02-11,1,1.1,1.31,0,0.0,0.0,0,0.1,0.32,1,1.1,1.15
33,0,11,22,2020-02-12,0,1.1,1.18,0,0.0,0.0,0,0.1,0.29,0,1.1,1.04
33,0,11,22,2020-02-13,0,1.1,1.06,0,0.0,0.0,0,0.1,0.26,0,1.1,0.93
33,0,11,22,2020-02-14,0,1.1,0.95,0,0.0,0.0,0,0.1,0.23,0,1.1,0.84
34,0,13,21,2020-02-15,1,0.3,0.96,0,0.0,0.0,2,0.4,0.41,0,0.1,0.76
34,0,15,19,2020-02-16,0,0.3,0.86,0,0.0,0.0,2,0.6,0.57,0,0.1,0.68
35,0,15,20,2020-02-17,1,0.4,0.88,0,0.0,0.0,0,0.6,0.51,1,0.3,0.71
35,0,15,20,2020-02-18,0,0.3,0.79,0,0.0,0.0,0,0.6,0.46,0,0.1,0.64
35,0,15,20,2020-02-19,0,0.3,0.71,0,0.0,0.0,0,0.6,0.42,0,0.1,0.58
35,0,17,18,2020-02-20,0,0.3,0.64,0,0.0,0.0,2,0.9,0.57,0,0.1,0.52
