Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-28,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
4,0,0,4,2020-01-29,4,0.6,0.4,0,0.0,0.0,0,0.0,0.0,4,0.6,0.4
4,0,0,4,2020-01-30,0,0.6,0.36,0,0.0,0.0,0,0.0,0.0,0,0.6,0.36
4,0,0,4,2020-01-31,0,0.6,0.32,0,0.0,0.0,0,0.0,0.0,0,0.6,0.32
4,0,0,4,2020-02-01,0,0.6,0.29,0,0.0,0.0,0,0.0,0.0,0,0.6,0.29
5,0,0,5,2020-02-02,1,0.7,0.36,0,0.0,0.0,0,0.0,0.0,1,0.7,0.36
5,0,0,5,2020-02-03,0,0.7,0.33,0,0.0,0.0,0,0.0,0.0,0,0.7,0.33
5,0,0,5,2020-02-04,0,0.7,0.29,0,0.0,0.0,0,0.0,0.0,0,0.7,0.29
5,0,0,5,2020-02-05,0,0.1,0.26,0,0.0,0.0,0,0.0,0.0,0,0.1,0.26
5,0,0,5,2020-02-06,0,0.1,0.24,0,0.0,0.0,0,0.0,0.0,0,0.1,0.24
5,0,0,5,2020-02-07,0,0.1,0.21,0,0.0,0.0,0,0.0,0.0,0,0.1,0.21
7,0,0,7,2020-02-08,2,0.4,0.39,0,0.0,0.0,0,0.0,0.0,2,0.4,0.39
7,0,0,7,2020-02-09,0,0.3,0.35,0,0.0,0.0,0,0.0,0.0,0,0.3,0.35
