Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-24,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-25,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-26,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-27,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-28,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-29,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-30,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,0,0,2,2020-01-31,2,0.3,0.2,0,0.0,0.0,0,0.0,0.0,2,0.3,0.2
2,0,0,2,2020-02-01,0,0.3,0.18,0,0.0,0.0,0,0.0,0.0,0,0.3,0.18
2,0,0,2,2020-02-02,0,0.3,0.16,0,0.0,0.0,0,0.0,0.0,0,0.3,0.16
8,0,0,8,2020-02-03,6,1.1,0.75,0,0.0,0.0,0,0.0,0.0,6,1.1,0.75
8,0,0,8,2020-02-04,0,1.1,0.67,0,0.0,0.0,0,0.0,0.0,0,1.1,0.67
9,0,0,9,2020-02-05,1,1.3,0.7,0,0.0,0.0,0,0.0,0.0,1,1.3,0.7
9,0,0,9,2020-02-06,0,1.3,0.63,0,0.0,0.0,0,0.0,0.0,0,1.3,0.63
9,0,0,9,2020-02-07,0,1.0,0.57,0,0.0,0.0,0,0.0,0.0,0,1.0,0.57
13,0,0,13,2020-02-08,4,1.6,0.91,0,0.0,0.0,0,0.0,0.0,4,1.6,0.91
14,0,0,14,2020-02-09,1,1.7,0.92,0,0.0,0.0,0,0.0,0.0,1,1.7,0.92
