Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
0,0,0,0,2020-01-22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
0,0,0,0,2020-01-23,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2,0,0,2,2020-01-24,2,0.7,0.2,0,0.0,0.0,0,0.0,0.0,2,0.7,0.2
3,0,0,3,2020-01-25,1,0.8,0.28,0,0.0,0.0,0,0.0,0.0,1,0.8,0.28
3,0,0,3,2020-01-26,0,0.6,0.25,0,0.0,0.0,0,0.0,0.0,0,0.6,0.25
3,0,0,3,2020-01-27,0,0.5,0.23,0,0.0,0.0,0,0.0,0.0,0,0.5,0.23
4,0,0,4,2020-01-28,1,0.6,0.3,0,0.0,0.0,0,0.0,0.0,1,0.6,0.3
5,0,0,5,2020-01-29,1,0.7,0.37,0,0.0,0.0,0,0.0,0.0,1,0.7,0.37
5,0,0,5,2020-01-30,0,0.7,0.34,0,0.0,0.0,0,0.0,0.0,0,0.7,0.34
5,0,0,5,2020-01-31,0,0.4,0.3,0,0.0,0.0,0,0.0,0.0,0,0.4,0.3
6,0,0,6,2020-02-01,1,0.4,0.37,0,0.0,0.0,0,0.0,0.0,1,0.4,0.37
6,0,0,6,2020-02-02,0,0.4,0.34,0,0.0,0.0,0,0.0,0.0,0,0.4,0.34
6,0,0,6,2020-02-03,0,0.4,0.3,0,0.0,0.0,0,0.0,0.0,0,0.4,0.3
6,0,0,6,2020-02-04,0,0.3,0.27,0,0.0,0.0,0,0.0,0.0,0,0.3,0.27
6,0,0,6,2020-02-05,0,0.1,0.24,0,0.0,0.0,0,0.0,0.0,0,0.1,0.24
6,0,0,6,2020-02-06,0,0.1,0.22,0,0.0,0.0,0,0.0,0.0,0,0.1,0.22
6,0,0,6,2020-02-07,0,0.1,0.2,0,0.0,0.0,0,0.0,0.0,0,0.1,0.2
11,0,0,11,2020-02-08,5,0.7,0.68,0,0.0,0.0,0,0.0,0.0,5,0.7,0.68
11,0,0,11,2020-02-09,0,0.7,0.61,0,0.0,0.0,0,0.0,0.0,0,0.7,0.61
