Confirmed,Deaths,Recovered,Active,Date,Confirmed_brutincidence,Confirmed_MMincidence,Confirmed_eMMincidence,Deaths_brutincidence,Deaths_MMincidence,Deaths_eMMincidence,Recovered_brutincidence,Recovered_MMincidence,Recovered_eMMincidence,Active_brutincidence,Active_MMincidence,Active_eMMincidence
1,0,0,1,2020-01-22,1,1.0,0.1,0,0.0,0.0,0,0.0,0.0,1,1.0,0.1
1,0,0,1,2020-01-23,0,0.5,0.09,0,0.0,0.0,0,0.0,0.0,0,0.5,0.09
2,0,0,2,2020-01-24,1,0.7,0.18,0,0.0,0.0,0,0.0,0.0,1,0.7,0.18
2,0,0,2,2020-01-25,0,0.5,0.16,0,0.0,0.0,0,0.0,0.0,0,0.5,0.16
5,0,0,5,2020-01-26,3,1.0,0.45,0,0.0,0.0,0,0.0,0.0,3,1.0,0.45
5,0,0,5,2020-01-27,0,0.8,0.4,0,0.0,0.0,0,0.0,0.0,0,0.8,0.4
5,0,0,5,2020-01-28,0,0.7,0.36,0,0.0,0.0,0,0.0,0.0,0,0.7,0.36
6,0,0,6,2020-01-29,1,0.7,0.43,0,0.0,0.0,0,0.0,0.0,1,0.7,0.43
6,0,0,6,2020-01-30,0,0.7,0.38,0,0.0,0.0,0,0.0,0.0,0,0.7,0.38
8,0,0,8,2020-01-31,2,0.9,0.54,0,0.0,0.0,0,0.0,0.0,2,0.9,0.54
8,0,0,8,2020-02-01,0,0.9,0.49,0,0.0,0.0,0,0.0,0.0,0,0.9,0.49
8,0,0,8,2020-02-02,0,0.4,0.44,0,0.0,0.0,0,0.0,0.0,0,0.4,0.44
11,0,0,11,2020-02-03,3,0.9,0.7,0,0.0,0.0,0,0.0,0.0,3,0.9,0.7
11,0,0,11,2020-02-04,0,0.9,0.63,0,0.0,0.0,0,0.0,0.0,0,0.9,0.63
11,0,0,11,2020-02-05,0,0.7,0.56,0,0.0,0.0,0,0.0,0.0,0,0.7,0.56
12,0,0,12,2020-02-06,1,0.9,0.61,0,0.0,0.0,0,0.0,0.0,1,0.9,0.61
12,0,0,12,2020-02-07,0,0.6,0.55,0,0.0,0.0,0,0.0,0.0,0,0.6,0.55
12,0,0,12,2020-02-08,0,0.6,0.49,0,0.0,0.0,0,0.0,0.0,0,0.6,0.49
12,0,3,9,2020-02-09,0,0.6,0.44,0,0.0,0.0,3,0.4,0.3,0,0.6,0.44
12,0,3,9,2020-02-10,0,0.1,0.4,0,0.0,0.0,0,0.4,0.27,0,0.1,0.4
13,0,3,10,2020-02-11,1,0.3,0.46,0,0.0,0.0,0,0.4,0.24,1,0.3,0.46
13,0,3,10,2020-02-12,0,0.3,0.41,0,0.0,0.0,0,0.4,0.22,0,0.3,0.41
14,0,3,11,2020-02-13,1,0.3,0.47,0,0.0,0.0,0,0.4,0.2,1,0.3,0.47
14,0,3,11,2020-02-14,0,0.3,0.42,0,0.0,0.0,0,0.4,0.18,0,0.3,0.42
14,0,3,11,2020-02-15,0,0.3,0.38,0,0.0,0.0,0,0.4,0.16,0,0.3,0.38
14,0,3,11,2020-02-16,0,0.3,0.34,0,0.0,0.0,0,0.0,0.14,0,0.3,0.34
14,0,3,11,2020-02-17,0,0.3,0.31,0,0.0,0.0,0,0.0,0.13,0,0.3,0.31
14,0,3,11,2020-02-18,0,0.1,0.28,0,0.0,0.0,0,0.0,0.12,0,0.1,0.28
14,0,3,11,2020-02-19,0,0.1,0.25,0,0.0,0.0,0,0.0,0.1,0,0.1,0.25
14,0,3,11,2020-02-20,0,0.0,0.23,0,0.0,0.0,0,0.0,0.09,0,0.0,0.23
16,0,5,11,2020-02-21,2,0.3,0.4,0,0.0,0.0,2,0.3,0.28,0,0.0,0.2
16,0,5,11,2020-02-22,0,0.3,0.36,0,0.0,0.0,0,0.3,0.26,0,0.0,0.18
16,0,5,11,2020-02-23,0,0.3,0.33,0,0.0,0.0,0,0.3,0.23,0,0.0,0.16
16,0,5,11,2020-02-24,0,0.3,0.29,0,0.0,0.0,0,0.3,0.21,0,0.0,0.15
16,0,6,10,2020-02-25,0,0.3,0.26,0,0.0,0.0,1,0.4,0.29,0,0.0,0.13
16,0,6,10,2020-02-26,0,0.3,0.24,0,0.0,0.0,0,0.4,0.26,0,0.0,0.12
