Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
2,0,0,2,2020-03-09
10,0,0,10,2020-03-10
12,1,0,11,2020-03-11
23,1,0,22,2020-03-12
33,1,0,32,2020-03-13
38,1,0,37,2020-03-14
42,1,0,41,2020-03-15
51,1,0,50,2020-03-16
55,1,0,54,2020-03-17
59,2,0,57,2020-03-18
64,2,0,62,2020-03-19
70,2,0,68,2020-03-20
76,2,2,72,2020-03-21
89,2,2,85,2020-03-22
104,4,2,98,2020-03-23
123,5,10,108,2020-03-24
146,5,17,124,2020-03-25
174,6,17,151,2020-03-26
186,8,31,147,2020-03-27
197,10,31,156,2020-03-28
212,10,33,169,2020-03-29
223,11,44,168,2020-03-30
243,15,52,176,2020-03-31
259,15,67,177,2020-04-01
277,16,76,185,2020-04-02
304,17,89,198,2020-04-03
333,20,99,214,2020-04-04
361,20,104,237,2020-04-05
377,21,116,240,2020-04-06
383,22,131,230,2020-04-07
400,22,154,224,2020-04-08
409,23,165,221,2020-04-09
416,23,182,211,2020-04-10
433,23,197,213,2020-04-11
446,23,217,206,2020-04-12
467,23,232,212,2020-04-13
475,24,248,203,2020-04-14
494,25,251,218,2020-04-15
518,26,277,215,2020-04-16
539,26,283,230,2020-04-17
548,26,302,220,2020-04-18
562,26,314,222,2020-04-19
584,26,327,231,2020-04-20
609,26,345,238,2020-04-21
634,27,356,251,2020-04-22
663,27,385,251,2020-04-23
678,27,394,257,2020-04-24
712,27,403,282,2020-04-25
726,28,410,288,2020-04-26
736,28,422,286,2020-04-27
750,30,431,289,2020-04-28
766,30,455,281,2020-04-29
773,31,470,272,2020-04-30
782,31,488,263,2020-05-01
789,31,519,239,2020-05-02
795,31,531,233,2020-05-03
803,31,543,229,2020-05-04
820,31,570,219,2020-05-05
832,31,595,206,2020-05-06
842,31,605,206,2020-05-07
850,31,620,199,2020-05-08
856,31,627,198,2020-05-09
868,31,650,187,2020-05-10
872,31,654,187,2020-05-11
876,31,682,163,2020-05-12
880,31,688,161,2020-05-13
898,31,694,173,2020-05-14
916,31,705,180,2020-05-15
933,31,714,188,2020-05-16
946,31,715,200,2020-05-17
948,31,727,190,2020-05-18
949,31,742,176,2020-05-19
964,31,758,175,2020-05-20
969,31,771,167,2020-05-21
981,31,777,173,2020-05-22
989,31,783,175,2020-05-23
998,32,789,177,2020-05-24
1004,32,795,177,2020-05-25
1029,33,803,193,2020-05-26
1050,33,812,205,2020-05-27
1076,33,823,220,2020-05-28
1099,33,851,215,2020-05-29
1122,33,857,232,2020-05-30
1137,33,872,232,2020-05-31
1143,33,877,233,2020-06-01
1164,33,891,240,2020-06-02
1184,33,898,253,2020-06-03
1197,33,898,266,2020-06-04
1212,33,910,269,2020-06-05
1232,34,925,273,2020-06-06
1246,34,938,274,2020-06-07
1263,34,945,284,2020-06-08
1299,34,960,305,2020-06-09
1341,34,980,327,2020-06-10
