Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
1,0,0,1,2020-03-11
1,0,1,0,2020-03-12
1,0,0,1,2020-03-13
1,0,1,0,2020-03-14
1,0,1,0,2020-03-15
2,0,1,1,2020-03-16
39,0,1,38,2020-03-17
39,0,1,38,2020-03-18
53,0,1,52,2020-03-19
75,0,1,74,2020-03-20
88,0,1,87,2020-03-21
113,1,1,111,2020-03-22
133,1,1,131,2020-03-23
164,1,1,162,2020-03-24
188,1,1,186,2020-03-25
224,3,1,220,2020-03-26
267,3,1,263,2020-03-27
308,3,1,304,2020-03-28
334,6,1,327,2020-03-29
370,8,10,352,2020-03-30
376,12,10,354,2020-03-31
390,14,10,366,2020-04-01
428,15,10,403,2020-04-02
439,16,16,407,2020-04-03
466,17,21,428,2020-04-04
501,18,26,457,2020-04-05
525,21,31,473,2020-04-06
545,22,39,484,2020-04-07
564,23,52,489,2020-04-08
583,25,58,500,2020-04-09
601,26,71,504,2020-04-10
601,26,71,504,2020-04-11
638,29,128,481,2020-04-12
646,29,128,489,2020-04-13
659,31,128,500,2020-04-14
673,33,169,471,2020-04-15
673,33,169,471,2020-04-16
696,35,191,470,2020-04-17
704,35,205,464,2020-04-18
713,36,235,442,2020-04-19
717,37,248,432,2020-04-20
717,37,282,398,2020-04-21
723,37,309,377,2020-04-22
723,37,333,353,2020-04-23
731,40,344,347,2020-04-24
738,40,344,354,2020-04-25
738,40,344,354,2020-04-26
743,40,385,318,2020-04-27
743,41,398,304,2020-04-28
743,42,423,278,2020-04-29
745,42,468,235,2020-04-30
745,43,468,234,2020-05-01
747,44,472,231,2020-05-02
748,45,493,210,2020-05-03
750,45,499,206,2020-05-04
751,46,514,191,2020-05-05
751,46,521,184,2020-05-06
752,47,526,179,2020-05-07
752,47,537,168,2020-05-08
754,48,545,161,2020-05-09
755,48,550,157,2020-05-10
755,48,550,157,2020-05-11
758,48,568,142,2020-05-12
760,49,576,135,2020-05-13
761,49,596,116,2020-05-14
761,49,604,108,2020-05-15
761,51,615,95,2020-05-16
761,51,617,93,2020-05-17
761,51,624,86,2020-05-18
761,51,628,82,2020-05-19
762,51,639,72,2020-05-20
762,51,639,72,2020-05-21
762,51,652,59,2020-05-22
762,51,653,58,2020-05-23
762,51,653,58,2020-05-24
763,51,663,49,2020-05-25
763,51,676,36,2020-05-26
763,51,676,36,2020-05-27
763,51,681,31,2020-05-28
764,51,684,29,2020-05-29
764,51,692,21,2020-05-30
764,51,694,19,2020-05-31
765,51,698,16,2020-06-01
844,51,733,60,2020-06-02
851,51,735,65,2020-06-03
852,51,738,63,2020-06-04
852,51,741,60,2020-06-05
852,51,741,60,2020-06-06
852,51,744,57,2020-06-07
852,51,751,50,2020-06-08
852,51,757,44,2020-06-09
852,51,759,42,2020-06-10
852,51,780,21,2020-06-11
