Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
1,0,0,1,2020-03-11
4,0,0,4,2020-03-12
8,0,0,8,2020-03-13
18,0,0,18,2020-03-14
26,0,0,26,2020-03-15
52,0,0,52,2020-03-16
78,0,1,77,2020-03-17
84,0,1,83,2020-03-18
115,0,1,114,2020-03-19
136,0,1,135,2020-03-20
160,0,1,159,2020-03-21
194,0,2,192,2020-03-22
235,0,2,233,2020-03-23
249,0,14,235,2020-03-24
265,0,16,249,2020-03-25
290,1,18,271,2020-03-26
329,1,28,300,2020-03-27
407,1,30,376,2020-03-28
424,3,30,391,2020-03-29
482,3,30,449,2020-03-30
532,3,30,499,2020-03-31
571,4,31,536,2020-04-01
663,7,33,623,2020-04-02
736,7,43,686,2020-04-03
770,7,43,720,2020-04-04
822,7,57,758,2020-04-05
833,8,62,763,2020-04-06
853,8,87,758,2020-04-07
881,9,114,758,2020-04-08
921,10,138,773,2020-04-09
937,12,149,776,2020-04-10
967,13,173,781,2020-04-11
1013,13,197,803,2020-04-12
1039,14,211,814,2020-04-13
1067,16,265,786,2020-04-14
1111,17,297,797,2020-04-15
1159,18,358,783,2020-04-16
1201,19,402,780,2020-04-17
1248,20,523,705,2020-04-18
1291,20,545,726,2020-04-19
1339,22,580,737,2020-04-20
1401,24,609,768,2020-04-21
1473,24,633,816,2020-04-22
1523,24,659,840,2020-04-23
1596,27,728,841,2020-04-24
1677,28,803,846,2020-04-25
1746,28,833,885,2020-04-26
1808,29,848,931,2020-04-27
1867,30,866,971,2020-04-28
1932,30,900,1002,2020-04-29
2066,32,929,1105,2020-04-30
2148,33,977,1138,2020-05-01
2273,33,1010,1230,2020-05-02
2386,35,1035,1316,2020-05-03
2507,39,1071,1397,2020-05-04
2619,40,1111,1468,2020-05-05
2782,40,1135,1607,2020-05-06
2884,42,1185,1657,2020-05-07
3029,43,1218,1768,2020-05-08
3175,44,1267,1864,2020-05-09
3313,45,1325,1943,2020-05-10
3392,46,1359,1987,2020-05-11
3538,47,1430,2061,2020-05-12
3718,48,1500,2170,2020-05-13
3860,49,1572,2239,2020-05-14
4044,52,1666,2326,2020-05-15
4283,55,1791,2437,2020-05-16
4472,60,1925,2487,2020-05-17
4823,61,2019,2743,2020-05-18
5041,64,2164,2813,2020-05-19
5271,67,2419,2785,2020-05-20
5606,70,2581,2955,2020-05-21
5928,74,2874,2980,2020-05-22
6302,77,2936,3289,2020-05-23
6661,81,3064,3516,2020-05-24
7113,87,3145,3881,2020-05-25
7402,91,3220,4091,2020-05-26
7774,98,3255,4421,2020-05-27
8216,113,3287,4816,2020-05-28
8676,120,3297,5259,2020-05-29
8927,127,3317,5483,2020-05-30
9282,131,3386,5765,2020-05-31
9492,139,3402,5951,2020-06-01
10009,158,3427,6424,2020-06-02
10524,170,3454,6900,2020-06-03
