Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
2,0,0,2,2020-02-25
2,0,0,2,2020-02-26
3,0,0,3,2020-02-27
3,0,0,3,2020-02-28
9,0,0,9,2020-02-29
14,0,0,14,2020-03-01
18,0,0,18,2020-03-02
21,0,0,21,2020-03-03
29,0,0,29,2020-03-04
41,0,0,41,2020-03-05
55,0,0,55,2020-03-06
79,0,0,79,2020-03-07
104,0,0,104,2020-03-08
131,0,2,129,2020-03-09
182,0,4,178,2020-03-10
246,0,4,242,2020-03-11
302,1,4,297,2020-03-12
504,1,6,497,2020-03-13
655,1,6,648,2020-03-14
860,1,6,853,2020-03-15
1018,3,6,1009,2020-03-16
1332,3,1,1328,2020-03-17
1646,4,9,1633,2020-03-18
2013,6,9,1998,2020-03-19
2388,6,9,2373,2020-03-20
2814,8,9,2797,2020-03-21
3582,16,9,3557,2020-03-22
4474,21,9,4444,2020-03-23
5283,28,9,5246,2020-03-24
5588,30,9,5549,2020-03-25
6909,49,112,6748,2020-03-26
7657,58,225,7374,2020-03-27
8271,68,225,7978,2020-03-28
8788,86,479,8223,2020-03-29
9618,108,636,8874,2020-03-30
10180,128,1095,8957,2020-03-31
10711,146,1436,9129,2020-04-01
11129,158,1749,9222,2020-04-02
11524,168,2022,9334,2020-04-03
11781,186,2507,9088,2020-04-04
12051,204,2998,8849,2020-04-05
12297,220,3463,8614,2020-04-06
12639,243,4046,8350,2020-04-07
12942,273,4512,8157,2020-04-08
13244,295,5240,7709,2020-04-09
13555,319,6064,7172,2020-04-10
13806,337,6604,6865,2020-04-11
13945,350,6987,6608,2020-04-12
14041,368,7343,6330,2020-04-13
14226,384,7633,6209,2020-04-14
14336,393,8098,5845,2020-04-15
14476,410,8986,5080,2020-04-16
14595,431,9704,4460,2020-04-17
14671,443,10214,4014,2020-04-18
14749,452,10501,3796,2020-04-19
14795,470,10631,3694,2020-04-20
14873,491,10971,3411,2020-04-21
14925,510,11328,3087,2020-04-22
15002,522,11694,2786,2020-04-23
15071,530,11872,2669,2020-04-24
15148,536,12103,2509,2020-04-25
15225,542,12282,2401,2020-04-26
15274,549,12362,2363,2020-04-27
15357,569,12580,2208,2020-04-28
15402,580,12779,2043,2020-04-29
15452,584,12907,1961,2020-04-30
15531,589,13110,1832,2020-05-01
15558,596,13180,1782,2020-05-02
15597,598,13228,1771,2020-05-03
15621,600,13316,1705,2020-05-04
15650,606,13462,1582,2020-05-05
15684,608,13639,1437,2020-05-06
15752,609,13698,1445,2020-05-07
15774,614,13836,1324,2020-05-08
15833,615,13928,1290,2020-05-09
15871,618,13991,1262,2020-05-10
15882,620,14061,1201,2020-05-11
15961,623,14148,1190,2020-05-12
15997,624,14304,1069,2020-05-13
16058,626,14405,1027,2020-05-14
16109,628,14471,1010,2020-05-15
16201,629,14524,1048,2020-05-16
16242,629,14563,1050,2020-05-17
16269,629,14614,1026,2020-05-18
16321,632,14678,1011,2020-05-19
16353,633,14882,838,2020-05-20
16404,633,14951,820,2020-05-21
16436,635,15005,796,2020-05-22
16486,639,15037,810,2020-05-23
16503,640,15063,800,2020-05-24
16539,641,15138,760,2020-05-25
16557,643,15182,732,2020-05-26
16591,645,15228,718,2020-05-27
16628,668,15286,674,2020-05-28
16655,668,15347,640,2020-05-29
