Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
3,0,0,3,2020-03-01
3,0,0,3,2020-03-02
3,0,0,3,2020-03-03
3,0,0,3,2020-03-04
6,0,0,6,2020-03-05
6,0,0,6,2020-03-06
9,0,0,9,2020-03-07
9,0,0,9,2020-03-08
9,0,0,9,2020-03-09
11,0,0,11,2020-03-10
11,0,3,8,2020-03-11
11,0,3,8,2020-03-12
15,1,3,11,2020-03-13
15,1,3,11,2020-03-14
23,1,6,16,2020-03-15
28,1,6,21,2020-03-16
28,1,6,21,2020-03-17
28,1,6,21,2020-03-18
44,1,6,37,2020-03-19
44,1,6,37,2020-03-20
53,1,11,41,2020-03-21
65,1,10,54,2020-03-22
72,1,10,61,2020-03-23
87,1,10,76,2020-03-24
93,2,10,81,2020-03-25
122,3,15,104,2020-03-26
165,3,15,147,2020-03-27
182,4,15,163,2020-03-28
209,4,15,190,2020-03-29
273,4,26,243,2020-03-30
298,5,26,267,2020-03-31
359,5,26,328,2020-04-01
400,5,26,369,2020-04-02
443,5,32,406,2020-04-03
521,5,32,484,2020-04-04
584,7,32,545,2020-04-05
641,7,44,590,2020-04-06
717,8,44,665,2020-04-07
822,8,63,751,2020-04-08
926,9,101,816,2020-04-09
991,10,159,822,2020-04-10
1058,11,200,847,2020-04-11
1098,11,250,837,2020-04-12
1148,12,289,847,2020-04-13
1197,13,351,833,2020-04-14
1253,13,404,836,2020-04-15
1283,15,460,808,2020-04-16
1340,15,528,797,2020-04-17
1373,18,590,765,2020-04-18
1398,19,712,667,2020-04-19
1436,19,791,626,2020-04-20
1480,20,865,595,2020-04-21
1518,20,907,591,2020-04-22
1548,20,948,580,2020-04-23
1592,21,1013,558,2020-04-24
1617,21,1080,516,2020-04-25
1645,21,1139,485,2020-04-26
1678,22,1162,494,2020-04-27
1717,22,1221,474,2020-04-28
1766,23,1267,476,2020-04-29
1804,24,1325,455,2020-04-30
1854,25,1365,464,2020-05-01
1894,25,1411,458,2020-05-02
1932,25,1441,466,2020-05-03
1984,26,1480,478,2020-05-04
2060,26,1508,526,2020-05-05
2127,28,1536,563,2020-05-06
2204,28,1551,625,2020-05-07
2279,28,1576,675,2020-05-08
2422,31,1620,771,2020-05-09
2519,32,1650,837,2020-05-10
2589,32,1680,877,2020-05-11
2693,33,1680,980,2020-05-12
2758,35,1789,934,2020-05-13
2879,35,1833,1011,2020-05-14
2980,36,1886,1058,2020-05-15
3138,36,1944,1158,2020-05-16
3274,39,2015,1220,2020-05-17
3387,40,2055,1292,2020-05-18
3518,41,2198,1279,2020-05-19
3631,43,2253,1335,2020-05-20
3749,44,2340,1365,2020-05-21
3855,46,2399,1410,2020-05-22
3982,49,2506,1427,2020-05-23
4122,49,2607,1466,2020-05-24
4271,51,2741,1479,2020-05-25
4403,52,2819,1532,2020-05-26
4568,54,2897,1617,2020-05-27
4759,56,3022,1681,2020-05-28
4989,58,3125,1806,2020-05-29
5246,61,3327,1858,2020-05-30
5494,63,3428,2003,2020-05-31
5662,68,3508,2086,2020-06-01
5935,71,3564,2300,2020-06-02
6260,76,3665,2519,2020-06-03
