Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
1,0,0,1,2020-02-24
23,0,0,23,2020-02-25
33,0,0,33,2020-02-26
33,0,0,33,2020-02-27
36,0,0,36,2020-02-28
41,0,0,41,2020-02-29
47,0,0,47,2020-03-01
49,0,0,49,2020-03-02
49,0,0,49,2020-03-03
52,0,0,52,2020-03-04
55,0,0,55,2020-03-05
60,0,4,56,2020-03-06
85,0,4,81,2020-03-07
85,0,4,81,2020-03-08
95,0,14,81,2020-03-09
110,0,22,88,2020-03-10
195,0,35,160,2020-03-11
195,0,35,160,2020-03-12
195,0,44,151,2020-03-13
210,0,44,166,2020-03-14
214,0,60,154,2020-03-15
214,1,77,136,2020-03-16
228,1,81,146,2020-03-17
256,1,88,167,2020-03-18
278,1,100,177,2020-03-19
285,1,100,184,2020-03-20
305,1,125,179,2020-03-21
334,2,149,183,2020-03-22
377,2,149,226,2020-03-23
392,3,177,212,2020-03-24
419,4,177,238,2020-03-25
458,4,204,250,2020-03-26
466,4,227,235,2020-03-27
476,4,265,207,2020-03-28
499,4,272,223,2020-03-29
515,4,279,232,2020-03-30
567,4,295,268,2020-03-31
569,4,337,228,2020-04-01
643,4,381,258,2020-04-02
672,4,382,286,2020-04-03
688,4,423,261,2020-04-04
700,4,431,265,2020-04-05
756,4,458,294,2020-04-06
811,5,458,348,2020-04-07
823,5,477,341,2020-04-08
887,5,519,363,2020-04-09
925,6,539,380,2020-04-10
1040,6,555,479,2020-04-11
1136,6,558,572,2020-04-12
1361,6,591,764,2020-04-13
1528,7,645,876,2020-04-14
1671,7,663,1001,2020-04-15
1700,7,703,990,2020-04-16
1740,7,725,1008,2020-04-17
1773,7,755,1011,2020-04-18
1881,7,759,1115,2020-04-19
1907,7,769,1131,2020-04-20
1973,7,784,1182,2020-04-21
2027,7,1026,994,2020-04-22
2217,8,1082,1127,2020-04-23
2518,8,1113,1397,2020-04-24
2588,8,1160,1420,2020-04-25
2647,8,1189,1450,2020-04-26
2723,8,1218,1497,2020-04-27
2811,8,1310,1493,2020-04-28
2921,8,1455,1458,2020-04-29
3040,8,1500,1532,2020-04-30
3170,8,1555,1607,2020-05-01
3284,8,1568,1708,2020-05-02
3383,8,1718,1657,2020-05-03
3533,8,1744,1781,2020-05-04
3720,8,1762,1950,2020-05-05
3934,8,1860,2066,2020-05-06
4199,8,2000,2191,2020-05-07
4444,8,2028,2408,2020-05-08
4774,8,2055,2711,2020-05-09
4941,8,2070,2863,2020-05-10
5236,8,2152,3076,2020-05-11
5531,9,2192,3330,2020-05-12
5816,10,2205,3601,2020-05-13
6198,10,2353,3835,2020-05-14
6583,12,2640,3931,2020-05-15
6747,12,2762,3973,2020-05-16
6956,12,2910,4034,2020-05-17
7184,12,2931,4241,2020-05-18
7532,12,2952,4568,2020-05-19
7888,12,3568,4308,2020-05-20
8174,12,3873,4289,2020-05-21
8414,12,4096,4306,2020-05-22
8802,13,4465,4324,2020-05-23
9138,14,4587,4537,2020-05-24
9171,14,4753,4404,2020-05-25
9366,14,4938,4414,2020-05-26
9692,15,5152,4525,2020-05-27
10052,15,5419,4618,2020-05-28
10449,15,5700,4734,2020-05-29
10793,17,5826,4950,2020-05-30
11398,19,6673,4706,2020-05-31
11871,19,7070,4782,2020-06-01
