Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
2,0,0,2,2020-03-17
2,0,0,2,2020-03-18
5,0,0,5,2020-03-19
5,0,0,5,2020-03-20
6,0,0,6,2020-03-21
14,0,0,14,2020-03-22
17,0,0,17,2020-03-23
18,0,0,18,2020-03-24
18,0,0,18,2020-03-25
18,0,0,18,2020-03-26
24,0,0,24,2020-03-27
26,0,0,26,2020-03-28
33,0,0,33,2020-03-29
33,0,0,33,2020-03-30
34,0,0,34,2020-03-31
34,0,0,34,2020-04-01
46,0,0,46,2020-04-02
51,0,0,51,2020-04-03
52,0,0,52,2020-04-04
56,1,6,49,2020-04-05
60,2,6,52,2020-04-06
63,3,6,54,2020-04-07
63,3,8,52,2020-04-08
66,3,11,52,2020-04-09
67,4,11,52,2020-04-10
68,4,11,53,2020-04-11
71,4,11,56,2020-04-12
72,4,13,55,2020-04-13
72,4,13,55,2020-04-14
73,5,15,53,2020-04-15
75,5,15,55,2020-04-16
75,5,15,55,2020-04-17
75,5,17,53,2020-04-18
75,5,17,53,2020-04-19
75,5,19,51,2020-04-20
75,5,25,45,2020-04-21
75,5,25,45,2020-04-22
76,6,30,40,2020-04-23
77,6,31,40,2020-04-24
79,6,31,42,2020-04-25
79,6,39,34,2020-04-26
80,6,39,35,2020-04-27
80,6,39,35,2020-04-28
80,7,39,34,2020-04-29
81,7,39,35,2020-04-30
81,7,39,35,2020-05-01
81,7,44,30,2020-05-02
82,7,44,31,2020-05-03
82,7,46,29,2020-05-04
82,7,47,28,2020-05-05
82,7,47,28,2020-05-06
82,7,53,22,2020-05-07
83,7,53,23,2020-05-08
84,7,57,20,2020-05-09
84,7,57,20,2020-05-10
84,7,57,20,2020-05-11
85,7,57,21,2020-05-12
85,7,65,13,2020-05-13
85,7,65,13,2020-05-14
85,7,65,13,2020-05-15
86,7,67,12,2020-05-16
88,7,68,13,2020-05-17
88,7,68,13,2020-05-18
90,7,68,15,2020-05-19
90,7,70,13,2020-05-20
90,7,70,13,2020-05-21
90,7,70,13,2020-05-22
92,7,70,15,2020-05-23
92,7,70,15,2020-05-24
92,7,71,14,2020-05-25
92,7,71,14,2020-05-26
92,7,76,9,2020-05-27
92,7,76,9,2020-05-28
92,7,76,9,2020-05-29
92,7,76,9,2020-05-30
92,7,76,9,2020-05-31
92,7,76,9,2020-06-01
92,7,76,9,2020-06-02
92,7,81,4,2020-06-03
92,7,81,4,2020-06-04
92,7,81,4,2020-06-05
92,7,81,4,2020-06-06
92,7,81,4,2020-06-07
92,7,81,4,2020-06-08
92,7,81,4,2020-06-09
96,7,83,6,2020-06-10
96,7,83,6,2020-06-11
