Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
1,0,0,1,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
6,0,0,6,2020-03-04
6,0,0,6,2020-03-05
6,0,0,6,2020-03-06
6,0,0,6,2020-03-07
6,0,0,6,2020-03-08
6,0,1,5,2020-03-09
9,0,3,6,2020-03-10
9,0,3,6,2020-03-11
12,0,3,9,2020-03-12
27,0,3,24,2020-03-13
27,0,3,24,2020-03-14
27,0,3,24,2020-03-15
36,0,3,33,2020-03-16
36,0,3,33,2020-03-17
51,0,5,46,2020-03-18
51,0,5,46,2020-03-19
69,0,5,64,2020-03-20
76,0,15,61,2020-03-21
76,0,15,61,2020-03-22
81,0,15,66,2020-03-23
81,0,22,59,2020-03-24
86,0,29,57,2020-03-25
86,0,29,57,2020-03-26
94,0,32,62,2020-03-27
94,0,32,62,2020-03-28
94,0,32,62,2020-03-29
152,0,32,120,2020-03-30
152,1,47,104,2020-03-31
163,2,53,108,2020-04-01
304,4,53,247,2020-04-02
351,4,53,294,2020-04-03
440,5,53,382,2020-04-04
562,8,52,502,2020-04-05
700,13,53,634,2020-04-06
861,13,54,794,2020-04-07
1066,13,77,976,2020-04-08
1486,16,139,1331,2020-04-09
1981,19,169,1793,2020-04-10
2226,23,172,2031,2020-04-11
2578,26,203,2349,2020-04-12
2919,29,203,2687,2020-04-13
3281,33,203,3045,2020-04-14
3728,36,203,3489,2020-04-15
4204,40,203,3961,2020-04-16
4779,42,342,4395,2020-04-17
5297,45,342,4910,2020-04-18
5807,47,494,5266,2020-04-19
6264,51,514,5699,2020-04-20
6723,55,577,6091,2020-04-21
7281,58,769,6454,2020-04-22
8022,60,938,7024,2020-04-23
8773,63,1120,7590,2020-04-24
9590,67,1573,7950,2020-04-25
10463,72,1695,8696,2020-04-26
11289,75,1740,9474,2020-04-27
12208,79,1993,10136,2020-04-28
13181,84,2072,11025,2020-04-29
14027,89,2386,11552,2020-04-30
14917,93,2918,11906,2020-05-01
15828,97,3117,12614,2020-05-02
16705,99,3196,13410,2020-05-03
17489,103,3259,14127,2020-05-04
18350,107,3771,14472,2020-05-05
19255,112,4388,14755,2020-05-06
20168,116,5067,14985,2020-05-07
21101,121,5484,15496,2020-05-08
22052,126,6050,15876,2020-05-09
22973,131,6406,16436,2020-05-10
23906,135,6531,17240,2020-05-11
24873,142,6974,17757,2020-05-12
25825,146,7711,17968,2020-05-13
26772,151,8168,18453,2020-05-14
27730,156,8807,18767,2020-05-15
28681,160,9498,19023,2020-05-16
29650,165,9932,19553,2020-05-17
30572,171,10130,20271,2020-05-18
31508,175,10620,20713,2020-05-19
32426,179,11415,20832,2020-05-20
33371,185,12057,21129,2020-05-21
34303,190,12833,21280,2020-05-22
35244,194,13528,21522,2020-05-23
36198,199,14155,21844,2020-05-24
37144,204,14449,22491,2020-05-25
38059,208,15086,22765,2020-05-26
38956,214,15923,22819,2020-05-27
39858,219,16660,22979,2020-05-28
40764,224,17390,23150,2020-05-29
41658,229,17964,23465,2020-05-30
42556,235,18514,23807,2020-05-31
43403,240,18776,24387,2020-06-01
