Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
1,0,0,1,2020-03-23
1,0,0,1,2020-03-24
2,0,0,2,2020-03-25
2,0,0,2,2020-03-26
2,0,0,2,2020-03-27
2,0,0,2,2020-03-28
2,0,0,2,2020-03-29
3,0,0,3,2020-03-30
3,0,0,3,2020-03-31
3,0,0,3,2020-04-01
3,0,0,3,2020-04-02
4,0,0,4,2020-04-03
4,0,0,4,2020-04-04
5,0,0,5,2020-04-05
7,1,0,6,2020-04-06
7,1,0,6,2020-04-07
8,1,0,7,2020-04-08
9,1,0,8,2020-04-09
10,2,0,8,2020-04-10
13,2,0,11,2020-04-11
14,2,0,12,2020-04-12
18,2,0,16,2020-04-13
18,2,0,16,2020-04-14
18,2,0,16,2020-04-15
18,2,0,16,2020-04-16
18,2,0,16,2020-04-17
18,2,0,16,2020-04-18
18,2,2,14,2020-04-19
18,2,2,14,2020-04-20
18,2,2,14,2020-04-21
18,2,2,14,2020-04-22
18,2,5,11,2020-04-23
18,2,5,11,2020-04-24
18,2,5,11,2020-04-25
18,2,5,11,2020-04-26
18,2,6,10,2020-04-27
18,2,9,7,2020-04-28
18,2,9,7,2020-04-29
18,2,9,7,2020-04-30
18,2,13,3,2020-05-01
18,2,13,3,2020-05-02
18,2,13,3,2020-05-03
18,2,14,2,2020-05-04
18,2,16,0,2020-05-05
18,2,16,0,2020-05-06
18,2,16,0,2020-05-07
18,2,16,0,2020-05-08
18,2,16,0,2020-05-09
18,2,16,0,2020-05-10
18,2,16,0,2020-05-11
18,2,16,0,2020-05-12
18,2,16,0,2020-05-13
18,2,16,0,2020-05-14
18,2,16,0,2020-05-15
18,2,16,0,2020-05-16
18,2,16,0,2020-05-17
18,2,16,0,2020-05-18
18,2,16,0,2020-05-19
18,2,16,0,2020-05-20
18,2,16,0,2020-05-21
18,2,16,0,2020-05-22
18,2,16,0,2020-05-23
18,2,16,0,2020-05-24
18,2,16,0,2020-05-25
18,2,16,0,2020-05-26
18,2,16,0,2020-05-27
18,2,16,0,2020-05-28
18,2,16,0,2020-05-29
18,2,16,0,2020-05-30
18,2,16,0,2020-05-31
18,2,16,0,2020-06-01
18,2,16,0,2020-06-02
18,2,16,0,2020-06-03
18,2,16,0,2020-06-04
19,2,16,1,2020-06-05
19,2,16,1,2020-06-06
19,2,16,1,2020-06-07
19,2,16,1,2020-06-08
20,2,16,2,2020-06-09
20,2,16,2,2020-06-10
20,2,16,2,2020-06-11
