Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
2,0,0,2,2020-03-05
2,0,0,2,2020-03-06
3,0,0,3,2020-03-07
3,0,0,3,2020-03-08
3,0,0,3,2020-03-09
5,0,0,5,2020-03-10
7,0,0,7,2020-03-11
11,0,0,11,2020-03-12
13,0,0,13,2020-03-13
18,0,0,18,2020-03-14
24,0,0,24,2020-03-15
25,0,0,25,2020-03-16
26,0,2,24,2020-03-17
38,0,2,36,2020-03-18
63,0,2,61,2020-03-19
89,0,2,87,2020-03-20
93,1,2,90,2020-03-21
126,1,2,123,2020-03-22
136,1,2,133,2020-03-23
166,3,2,161,2020-03-24
176,3,2,171,2020-03-25
191,3,2,186,2020-03-26
237,4,5,228,2020-03-27
258,5,5,248,2020-03-28
323,6,8,309,2020-03-29
368,10,17,341,2020-03-30
420,13,17,390,2020-03-31
459,13,19,427,2020-04-01
533,16,20,497,2020-04-02
579,17,27,535,2020-04-03
624,21,30,573,2020-04-04
654,23,30,601,2020-04-05
674,29,47,598,2020-04-06
764,33,68,663,2020-04-07
804,34,79,691,2020-04-08
858,35,101,722,2020-04-09
901,36,129,736,2020-04-10
946,37,139,770,2020-04-11
1009,39,193,777,2020-04-12
1037,39,206,792,2020-04-13
1083,40,236,807,2020-04-14
1110,41,253,816,2020-04-15
1167,43,277,847,2020-04-16
1214,46,320,848,2020-04-17
1268,47,338,883,2020-04-18
1285,48,347,890,2020-04-19
1309,49,381,879,2020-04-20
1342,51,437,854,2020-04-21
1368,53,460,855,2020-04-22
1413,54,485,874,2020-04-23
1421,55,538,828,2020-04-24
1486,57,592,837,2020-04-25
1516,59,624,833,2020-04-26
1565,60,659,846,2020-04-27
1585,63,682,840,2020-04-28
1677,65,710,902,2020-04-29
1757,69,727,961,2020-04-30
1781,70,755,956,2020-05-01
1839,72,779,988,2020-05-02
1857,77,825,955,2020-05-03
1926,78,855,993,2020-05-04
1946,79,911,956,2020-05-05
1987,86,928,973,2020-05-06
2027,90,954,983,2020-05-07
2070,98,960,1012,2020-05-08
2090,102,1059,929,2020-05-09
2117,107,1106,904,2020-05-10
2141,113,1114,914,2020-05-11
2158,117,1168,873,2020-05-12
2181,120,1228,833,2020-05-13
2218,122,1272,824,2020-05-14
2236,128,1336,772,2020-05-15
2267,129,1355,783,2020-05-16
2290,133,1436,721,2020-05-17
2304,133,1464,707,2020-05-18
2321,134,1522,665,2020-05-19
2338,136,1557,645,2020-05-20
2350,140,1596,614,2020-05-21
2372,141,1614,617,2020-05-22
2391,141,1662,588,2020-05-23
2401,144,1680,577,2020-05-24
2406,146,1696,564,2020-05-25
2416,149,1721,546,2020-05-26
2435,151,1744,540,2020-05-27
2462,153,1781,528,2020-05-28
2485,153,1803,529,2020-05-29
2494,153,1831,510,2020-05-30
2510,153,1862,495,2020-05-31
2524,154,1888,482,2020-06-01
2535,157,1910,468,2020-06-02
2551,157,1939,455,2020-06-03
2594,159,1951,484,2020-06-04
2606,159,1968,479,2020-06-05
