Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
11,0,0,11,2020-03-11
11,0,0,11,2020-03-12
37,0,0,37,2020-03-13
40,0,0,40,2020-03-14
50,0,0,50,2020-03-15
54,0,0,54,2020-03-16
56,0,0,56,2020-03-17
68,0,0,68,2020-03-18
75,0,0,75,2020-03-19
78,0,1,77,2020-03-20
83,0,2,81,2020-03-21
88,0,2,86,2020-03-22
91,0,2,89,2020-03-23
104,0,2,102,2020-03-24
109,0,2,107,2020-03-25
114,0,5,109,2020-03-26
115,0,11,104,2020-03-27
120,1,25,94,2020-03-28
126,1,34,91,2020-03-29
127,1,38,88,2020-03-30
129,1,45,83,2020-03-31
131,1,52,78,2020-04-01
133,1,56,76,2020-04-02
134,1,65,68,2020-04-03
135,1,66,68,2020-04-04
135,1,73,61,2020-04-05
135,1,82,52,2020-04-06
135,1,85,49,2020-04-07
135,1,91,43,2020-04-08
135,1,92,42,2020-04-09
136,1,99,36,2020-04-10
136,1,104,31,2020-04-11
136,1,106,29,2020-04-12
136,1,107,28,2020-04-13
136,1,107,28,2020-04-14
136,1,108,27,2020-04-15
136,1,108,27,2020-04-16
136,1,112,23,2020-04-17
137,1,113,23,2020-04-18
138,1,115,22,2020-04-19
138,1,116,21,2020-04-20
138,1,116,21,2020-04-21
138,1,117,20,2020-04-22
138,1,119,18,2020-04-23
138,1,120,17,2020-04-24
138,1,121,16,2020-04-25
138,1,123,14,2020-04-26
138,1,124,13,2020-04-27
138,1,124,13,2020-04-28
138,1,124,13,2020-04-29
138,1,124,13,2020-04-30
138,1,124,13,2020-05-01
138,1,126,11,2020-05-02
138,1,128,9,2020-05-03
138,1,130,7,2020-05-04
138,1,131,6,2020-05-05
139,1,131,7,2020-05-06
141,1,131,9,2020-05-07
141,1,132,8,2020-05-08
141,1,132,8,2020-05-09
141,1,134,6,2020-05-10
141,1,134,6,2020-05-11
141,1,134,6,2020-05-12
141,1,134,6,2020-05-13
141,1,134,6,2020-05-14
141,1,135,5,2020-05-15
141,1,136,4,2020-05-16
141,1,136,4,2020-05-17
141,1,136,4,2020-05-18
141,1,136,4,2020-05-19
141,1,136,4,2020-05-20
141,1,136,4,2020-05-21
141,1,136,4,2020-05-22
141,1,136,4,2020-05-23
141,1,137,3,2020-05-24
141,1,137,3,2020-05-25
141,1,137,3,2020-05-26
141,2,137,2,2020-05-27
141,2,138,1,2020-05-28
141,2,138,1,2020-05-29
141,2,138,1,2020-05-30
141,2,138,1,2020-05-31
141,2,138,1,2020-06-01
141,2,138,1,2020-06-02
141,2,138,1,2020-06-03
141,2,138,1,2020-06-04
141,2,138,1,2020-06-05
141,2,138,1,2020-06-06
141,2,138,1,2020-06-07
141,2,138,1,2020-06-08
141,2,138,1,2020-06-09
141,2,138,1,2020-06-10
141,2,138,1,2020-06-11
