Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
4,0,0,4,2020-03-08
4,0,0,4,2020-03-09
4,0,0,4,2020-03-10
7,1,0,6,2020-03-11
7,1,0,6,2020-03-12
23,1,0,22,2020-03-13
41,2,0,39,2020-03-14
51,2,0,49,2020-03-15
52,2,0,50,2020-03-16
67,2,0,65,2020-03-17
92,2,0,90,2020-03-18
94,3,0,91,2020-03-19
127,3,0,124,2020-03-20
163,3,3,157,2020-03-21
187,3,3,181,2020-03-22
201,3,3,195,2020-03-23
218,3,3,212,2020-03-24
242,3,4,235,2020-03-25
264,3,8,253,2020-03-26
293,3,9,281,2020-03-27
331,7,11,313,2020-03-28
346,8,14,324,2020-03-29
359,8,17,334,2020-03-30
399,8,17,374,2020-03-31
422,10,20,392,2020-04-01
457,10,25,422,2020-04-02
485,14,30,441,2020-04-03
503,17,34,452,2020-04-04
531,20,37,474,2020-04-05
549,22,39,488,2020-04-06
577,23,42,512,2020-04-07
593,24,42,527,2020-04-08
618,24,48,546,2020-04-09
635,25,54,556,2020-04-10
661,28,62,571,2020-04-11
675,29,68,578,2020-04-12
685,32,71,582,2020-04-13
713,35,81,597,2020-04-14
747,36,105,606,2020-04-15
800,38,122,640,2020-04-16
846,41,141,664,2020-04-17
878,41,153,684,2020-04-18
894,42,161,691,2020-04-19
929,43,167,719,2020-04-20
975,45,170,760,2020-04-21
1024,49,174,801,2020-04-22
1097,52,190,855,2020-04-23
1234,54,197,983,2020-04-24
1247,55,197,995,2020-04-25
1300,56,205,1039,2020-04-26
1363,58,206,1099,2020-04-27
1399,58,222,1119,2020-04-28
1447,64,243,1140,2020-04-29
1506,66,266,1174,2020-04-30
1555,68,276,1211,2020-05-01
1594,72,287,1235,2020-05-02
1618,73,308,1237,2020-05-03
1652,78,321,1253,2020-05-04
1704,80,342,1282,2020-05-05
1778,84,360,1334,2020-05-06
1829,84,384,1361,2020-05-07
1872,86,401,1385,2020-05-08
1921,90,422,1409,2020-05-09
1965,91,444,1430,2020-05-10
1990,93,461,1436,2020-05-11
2023,95,476,1452,2020-05-12
2069,96,499,1474,2020-05-13
2100,99,531,1470,2020-05-14
2138,102,545,1491,2020-05-15
2175,105,573,1497,2020-05-16
2211,108,598,1505,2020-05-17
2235,110,612,1513,2020-05-18
2259,112,646,1501,2020-05-19
2292,116,684,1492,2020-05-20
2331,120,727,1484,2020-05-21
2372,125,769,1478,2020-05-22
2408,126,808,1474,2020-05-23
2427,130,840,1457,2020-05-24
2433,130,862,1441,2020-05-25
2443,130,880,1433,2020-05-26
2460,133,912,1415,2020-05-27
2477,134,965,1378,2020-05-28
2485,136,1016,1333,2020-05-29
2499,139,1064,1296,2020-05-30
2513,140,1074,1299,2020-05-31
2519,140,1090,1289,2020-06-01
2538,144,1123,1271,2020-06-02
2560,146,1206,1208,2020-06-03
2585,147,1322,1116,2020-06-04
2627,159,1390,1078,2020-06-05
