Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
2,0,0,2,2020-03-08
2,0,0,2,2020-03-09
2,0,0,2,2020-03-10
2,0,0,2,2020-03-11
2,0,0,2,2020-03-12
2,0,0,2,2020-03-13
2,0,0,2,2020-03-14
2,0,0,2,2020-03-15
4,0,0,4,2020-03-16
10,0,0,10,2020-03-17
10,0,0,10,2020-03-18
13,0,0,13,2020-03-19
20,0,0,20,2020-03-20
27,0,0,27,2020-03-21
40,0,0,40,2020-03-22
56,0,0,56,2020-03-23
66,0,0,66,2020-03-24
75,1,2,72,2020-03-25
75,1,2,72,2020-03-26
91,2,2,87,2020-03-27
91,2,2,87,2020-03-28
139,6,5,128,2020-03-29
139,6,5,128,2020-03-30
193,6,5,182,2020-03-31
233,6,10,217,2020-04-01
306,7,10,289,2020-04-02
509,8,17,484,2020-04-03
555,9,17,529,2020-04-04
650,9,17,624,2020-04-05
658,9,17,632,2020-04-06
658,9,43,606,2020-04-07
730,10,60,660,2020-04-08
730,10,60,660,2020-04-09
820,12,98,710,2020-04-10
820,12,98,710,2020-04-11
820,12,98,710,2020-04-12
820,12,98,710,2020-04-13
848,14,130,704,2020-04-14
848,17,165,666,2020-04-15
996,22,164,810,2020-04-16
996,22,164,810,2020-04-17
1017,22,177,818,2020-04-18
1017,42,305,670,2020-04-19
1163,42,305,816,2020-04-20
1163,43,329,791,2020-04-21
1163,43,397,723,2020-04-22
1334,43,668,623,2020-04-23
1430,43,668,719,2020-04-24
1518,53,697,768,2020-04-25
1621,56,786,779,2020-04-26
1705,58,805,842,2020-04-27
1705,58,915,732,2020-04-28
1832,61,934,837,2020-04-29
1832,61,934,837,2020-04-30
1832,61,934,837,2020-05-01
2077,64,953,1060,2020-05-02
2077,64,953,1060,2020-05-03
2104,64,953,1087,2020-05-04
2104,64,953,1087,2020-05-05
2265,108,1000,1157,2020-05-06
2267,108,1002,1157,2020-05-07
2267,108,1002,1157,2020-05-08
2274,108,1232,934,2020-05-09
2579,114,1465,1000,2020-05-10
2689,125,1524,1040,2020-05-11
2689,125,1524,1040,2020-05-12
2800,136,1543,1121,2020-05-13
2954,139,1553,1262,2020-05-14
3105,140,1567,1398,2020-05-15
3105,140,1567,1398,2020-05-16
3105,140,1567,1398,2020-05-17
3529,140,1567,1822,2020-05-18
3529,140,1567,1822,2020-05-19
3733,146,1595,1992,2020-05-20
4288,156,1808,2324,2020-05-21
4400,159,1822,2419,2020-05-22
4400,159,1822,2419,2020-05-23
4890,165,1865,2860,2020-05-24
4890,165,1865,2860,2020-05-25
5436,175,1996,3265,2020-05-26
5436,175,1996,3265,2020-05-27
5436,175,1996,3265,2020-05-28
5436,177,3326,1933,2020-05-29
5904,191,3568,2145,2020-05-30
5904,191,3568,2145,2020-05-31
6397,199,3629,2569,2020-06-01
6585,200,3676,2709,2020-06-02
6585,200,3676,2709,2020-06-03
