Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
2,0,0,2,2020-02-23
2,0,0,2,2020-02-24
2,0,0,2,2020-02-25
2,0,0,2,2020-02-26
2,0,0,2,2020-02-27
2,0,0,2,2020-02-28
2,0,0,2,2020-02-29
9,0,0,9,2020-03-01
9,0,0,9,2020-03-02
10,0,0,10,2020-03-03
10,0,0,10,2020-03-04
13,0,0,13,2020-03-05
13,0,0,13,2020-03-06
13,0,0,13,2020-03-07
20,0,0,20,2020-03-08
20,0,0,20,2020-03-09
25,0,0,25,2020-03-10
35,0,0,35,2020-03-11
35,0,0,35,2020-03-12
55,0,0,55,2020-03-13
88,0,0,88,2020-03-14
101,0,0,101,2020-03-15
182,0,0,182,2020-03-16
228,0,0,228,2020-03-17
265,0,0,265,2020-03-18
265,0,0,265,2020-03-19
461,0,6,455,2020-03-20
592,0,6,586,2020-03-21
687,1,8,678,2020-03-22
801,2,8,791,2020-03-23
977,2,17,958,2020-03-24
1197,3,22,1172,2020-03-25
1361,4,22,1335,2020-03-26
1665,5,43,1617,2020-03-27
2015,6,61,1948,2020-03-28
2245,7,75,2163,2020-03-29
2555,8,156,2391,2020-03-30
2844,12,156,2676,2020-03-31
3137,16,234,2887,2020-04-01
3510,18,335,3157,2020-04-02
3843,22,427,3394,2020-04-03
4355,27,528,3800,2020-04-04
4665,34,618,4013,2020-04-05
5009,37,728,4244,2020-04-06
5310,43,898,4369,2020-04-07
5740,48,1115,4577,2020-04-08
6166,57,1274,4835,2020-04-09
6695,65,1571,5059,2020-04-10
7366,73,1864,5429,2020-04-11
7652,80,2059,5513,2020-04-12
7964,82,2367,5515,2020-04-13
8356,92,2646,5618,2020-04-14
8712,94,2937,5681,2020-04-15
9246,105,3299,5842,2020-04-16
9691,116,3621,5954,2020-04-17
10598,126,4035,6437,2020-04-18
10956,133,4338,6485,2020-04-19
11375,139,4676,6560,2020-04-20
11700,147,4969,6584,2020-04-21
12164,160,5386,6618,2020-04-22
12680,168,5804,6708,2020-04-23
13174,174,6327,6673,2020-04-24
14537,181,6746,7610,2020-04-25
15010,189,7024,7797,2020-04-26
15492,198,7327,7967,2020-04-27
16044,207,7710,8127,2020-04-28
16564,216,8057,8291,2020-04-29
17702,227,8580,8895,2020-04-30
18687,234,9018,9435,2020-05-01
21213,247,9572,11394,2020-05-02
22441,260,10041,12140,2020-05-03
23421,270,10415,12736,2020-05-04
24794,275,10710,13809,2020-05-05
25826,281,11189,14356,2020-05-06
27359,285,11664,15410,2020-05-07
28750,294,12160,16296,2020-05-08
32208,304,12667,19237,2020-05-09
33855,312,13112,20431,2020-05-10
35052,323,13605,21124,2020-05-11
36710,335,14125,22250,2020-05-12
39370,346,14865,24159,2020-05-13
42029,368,15655,26006,2020-05-14
44531,394,16614,27523,2020-05-15
50016,421,18014,31581,2020-05-16
52369,450,19213,32706,2020-05-17
54647,478,20165,34004,2020-05-18
58167,509,21507,36151,2020-05-19
62205,544,22504,39157,2020-05-20
66169,589,23992,41588,2020-05-21
70445,630,25342,44473,2020-05-22
80287,673,26546,53068,2020-05-23
83996,718,28148,55130,2020-05-24
88891,761,29302,58828,2020-05-25
92855,806,30915,61134,2020-05-26
97183,841,33540,62802,2020-05-27
101837,890,36115,64832,2020-05-28
105532,944,38598,65990,2020-05-29
