Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
5,0,0,5,2020-03-08
9,0,0,9,2020-03-09
9,0,0,9,2020-03-10
13,0,0,13,2020-03-11
22,0,0,22,2020-03-12
23,0,0,23,2020-03-13
26,0,0,26,2020-03-14
27,0,0,27,2020-03-15
35,0,0,35,2020-03-16
41,0,0,41,2020-03-17
50,0,0,50,2020-03-18
69,1,0,68,2020-03-19
89,1,0,88,2020-03-20
117,2,2,113,2020-03-21
134,2,2,130,2020-03-22
158,2,2,154,2020-03-23
177,2,2,173,2020-03-24
201,2,2,197,2020-03-25
231,2,2,227,2020-03-26
263,2,3,258,2020-03-27
295,2,3,290,2020-03-28
314,2,3,309,2020-03-29
330,2,4,324,2020-03-30
347,2,4,341,2020-03-31
375,2,4,369,2020-04-01
396,2,6,388,2020-04-02
416,2,11,403,2020-04-03
435,2,13,420,2020-04-04
454,2,16,436,2020-04-05
467,2,18,447,2020-04-06
483,2,24,457,2020-04-07
502,3,29,470,2020-04-08
539,3,30,506,2020-04-09
558,3,42,513,2020-04-10
577,3,49,525,2020-04-11
595,3,56,536,2020-04-12
612,3,62,547,2020-04-13
618,3,66,549,2020-04-14
626,4,67,555,2020-04-15
642,4,74,564,2020-04-16
649,4,88,557,2020-04-17
655,4,97,554,2020-04-18
660,5,112,543,2020-04-19
662,6,124,532,2020-04-20
669,6,150,513,2020-04-21
681,6,180,495,2020-04-22
686,6,196,484,2020-04-23
687,6,216,465,2020-04-24
693,6,242,445,2020-04-25
695,6,264,425,2020-04-26
697,6,287,404,2020-04-27
705,6,306,393,2020-04-28
713,6,323,384,2020-04-29
719,6,338,375,2020-04-30
725,6,355,364,2020-05-01
733,6,372,355,2020-05-02
739,6,386,347,2020-05-03
742,6,399,337,2020-05-04
755,6,413,336,2020-05-05
761,6,428,327,2020-05-06
765,6,445,314,2020-05-07
773,6,461,306,2020-05-08
780,6,480,294,2020-05-09
792,7,501,284,2020-05-10
801,7,517,277,2020-05-11
804,7,520,277,2020-05-12
815,8,527,280,2020-05-13
830,8,535,287,2020-05-14
843,9,542,292,2020-05-15
853,10,551,292,2020-05-16
863,10,565,288,2020-05-17
866,10,575,281,2020-05-18
882,10,577,295,2020-05-19
897,10,582,305,2020-05-20
903,10,592,301,2020-05-21
911,10,600,301,2020-05-22
918,10,607,301,2020-05-23
930,10,620,300,2020-05-24
951,10,628,313,2020-05-25
956,10,634,312,2020-05-26
984,10,639,335,2020-05-27
1000,10,646,344,2020-05-28
1022,10,653,359,2020-05-29
1047,10,658,379,2020-05-30
1056,10,669,377,2020-05-31
1084,10,676,398,2020-06-01
1105,10,682,413,2020-06-02
1157,10,685,462,2020-06-03
1194,10,687,497,2020-06-04
1228,10,695,523,2020-06-05
1263,10,701,552,2020-06-06
1318,10,704,604,2020-06-07
1342,11,712,619,2020-06-08
1375,11,717,647,2020-06-09
1461,12,722,727,2020-06-10
