Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
1,0,0,1,2020-02-25
3,0,0,3,2020-02-26
3,0,0,3,2020-02-27
5,0,0,5,2020-02-28
6,0,0,6,2020-02-29
7,0,0,7,2020-03-01
7,0,0,7,2020-03-02
9,0,0,9,2020-03-03
10,0,0,10,2020-03-04
10,0,0,10,2020-03-05
11,0,0,11,2020-03-06
12,0,0,12,2020-03-07
12,0,0,12,2020-03-08
12,0,0,12,2020-03-09
14,0,0,14,2020-03-10
19,0,0,19,2020-03-11
19,0,0,19,2020-03-12
32,0,1,31,2020-03-13
38,0,1,37,2020-03-14
49,0,1,48,2020-03-15
57,0,2,55,2020-03-16
65,0,4,61,2020-03-17
81,0,4,77,2020-03-18
105,1,5,99,2020-03-19
128,1,5,122,2020-03-20
206,1,5,200,2020-03-21
254,1,5,248,2020-03-22
315,1,5,309,2020-03-23
382,1,5,376,2020-03-24
442,1,22,419,2020-03-25
495,3,22,470,2020-03-26
586,3,37,546,2020-03-27
657,5,45,607,2020-03-28
713,6,52,655,2020-03-29
790,6,67,717,2020-03-30
867,6,67,794,2020-03-31
963,6,73,884,2020-04-01
1011,7,88,916,2020-04-02
1079,8,92,979,2020-04-03
1126,12,119,995,2020-04-04
1182,15,125,1042,2020-04-05
1222,16,130,1076,2020-04-06
1282,18,167,1097,2020-04-07
1343,19,179,1145,2020-04-08
1407,20,219,1168,2020-04-09
1495,21,231,1243,2020-04-10
1534,21,323,1190,2020-04-11
1600,23,373,1204,2020-04-12
1650,25,400,1225,2020-04-13
1704,31,415,1258,2020-04-14
1741,33,473,1235,2020-04-15
1791,35,529,1227,2020-04-16
1814,36,600,1178,2020-04-17
1832,39,615,1178,2020-04-18
1871,47,709,1115,2020-04-19
1881,47,771,1063,2020-04-20
1908,48,801,1059,2020-04-21
1950,48,869,1033,2020-04-22
1981,50,883,1048,2020-04-23
2009,51,982,976,2020-04-24
2016,54,1034,928,2020-04-25
2030,55,1103,872,2020-04-26
2039,59,1166,814,2020-04-27
2047,63,1232,752,2020-04-28
2062,67,1288,707,2020-04-29
2076,69,1348,659,2020-04-30
2085,75,1421,589,2020-05-01
2088,77,1463,548,2020-05-02
2096,79,1489,528,2020-05-03
2101,80,1522,499,2020-05-04
2112,83,1560,469,2020-05-05
2119,85,1601,433,2020-05-06
2125,86,1641,398,2020-05-07
2161,86,1689,386,2020-05-08
2176,87,1726,363,2020-05-09
2187,90,1764,333,2020-05-10
2196,91,1784,321,2020-05-11
2207,91,1808,308,2020-05-12
2213,94,1834,285,2020-05-13
2221,94,1850,277,2020-05-14
2222,95,1869,258,2020-05-15
2224,95,1913,216,2020-05-16
2226,95,1936,195,2020-05-17
2228,95,1946,187,2020-05-18
2232,96,1967,169,2020-05-19
2234,96,1978,160,2020-05-20
2237,97,1978,162,2020-05-21
2243,99,2011,133,2020-05-22
2243,99,2023,121,2020-05-23
2244,99,2027,118,2020-05-24
2244,100,2035,109,2020-05-25
2244,101,2046,97,2020-05-26
2244,101,2047,96,2020-05-27
2245,102,2051,92,2020-05-28
2245,103,2059,83,2020-05-29
2246,103,2063,80,2020-05-30
2246,103,2072,71,2020-05-31
2246,103,2077,66,2020-06-01
2246,103,2088,55,2020-06-02
2246,103,2095,48,2020-06-03
