Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
3,0,0,3,2020-03-12
4,0,0,4,2020-03-13
4,0,0,4,2020-03-14
4,0,0,4,2020-03-15
4,0,0,4,2020-03-16
5,0,0,5,2020-03-17
7,1,0,6,2020-03-18
11,1,0,10,2020-03-19
16,1,0,15,2020-03-20
21,1,0,20,2020-03-21
35,1,0,34,2020-03-22
40,1,0,39,2020-03-23
48,1,1,46,2020-03-24
57,1,1,55,2020-03-25
67,2,1,64,2020-03-26
80,2,4,74,2020-03-27
119,3,4,112,2020-03-28
139,3,4,132,2020-03-29
170,4,4,162,2020-03-30
186,6,8,172,2020-03-31
212,6,12,194,2020-04-01
233,6,13,214,2020-04-02
269,6,15,248,2020-04-03
288,6,15,267,2020-04-04
320,8,15,297,2020-04-05
350,9,18,323,2020-04-06
396,11,27,358,2020-04-07
457,12,27,418,2020-04-08
515,15,28,472,2020-04-09
564,15,51,498,2020-04-10
620,16,77,527,2020-04-11
669,18,92,559,2020-04-12
726,21,121,584,2020-04-13
766,21,132,613,2020-04-14
814,24,151,639,2020-04-15
862,27,171,664,2020-04-16
923,31,192,700,2020-04-17
986,32,227,727,2020-04-18
1035,34,255,746,2020-04-19
1087,36,285,766,2020-04-20
1137,38,309,790,2020-04-21
1189,40,341,808,2020-04-22
1235,43,365,827,2020-04-23
1285,49,416,820,2020-04-24
1337,51,437,849,2020-04-25
1369,54,501,814,2020-04-26
1389,56,525,808,2020-04-27
1437,58,575,804,2020-04-28
1467,58,617,792,2020-04-29
1501,61,681,759,2020-04-30
1537,64,714,759,2020-05-01
1611,66,765,780,2020-05-02
1649,67,827,755,2020-05-03
1668,69,876,723,2020-05-04
1685,69,954,662,2020-05-05
1703,69,1001,633,2020-05-06
1729,73,1031,625,2020-05-07
1741,74,1078,589,2020-05-08
1754,74,1140,540,2020-05-09
1766,77,1193,496,2020-05-10
1783,77,1229,477,2020-05-11
1804,78,1277,449,2020-05-12
1810,79,1326,405,2020-05-13
1830,79,1383,368,2020-05-14
1840,79,1425,336,2020-05-15
1862,79,1460,323,2020-05-16
1872,79,1495,298,2020-05-17
1881,79,1505,297,2020-05-18
1887,79,1538,270,2020-05-19
1900,79,1573,248,2020-05-20
1908,80,1603,225,2020-05-21
1916,81,1631,204,2020-05-22
1931,81,1671,179,2020-05-23
1941,82,1689,170,2020-05-24
1947,82,1704,161,2020-05-25
1963,82,1709,172,2020-05-26
1974,82,1724,168,2020-05-27
1983,82,1734,167,2020-05-28
2005,82,1760,163,2020-05-29
2025,83,1795,147,2020-05-30
2045,83,1809,153,2020-05-31
2083,83,1826,174,2020-06-01
2092,83,1827,182,2020-06-02
2107,83,1830,194,2020-06-03
2119,83,1839,197,2020-06-04
2133,83,1848,202,2020-06-05
