Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
2,0,0,2,2020-03-09
3,0,0,3,2020-03-10
6,0,0,6,2020-03-11
6,0,0,6,2020-03-12
14,0,0,14,2020-03-13
26,0,0,26,2020-03-14
26,0,0,26,2020-03-15
33,0,0,33,2020-03-16
46,0,0,46,2020-03-17
49,0,0,49,2020-03-18
67,0,0,67,2020-03-19
67,0,0,67,2020-03-20
84,0,0,84,2020-03-21
95,1,3,91,2020-03-22
116,1,3,112,2020-03-23
124,3,3,118,2020-03-24
132,3,3,126,2020-03-25
146,3,4,139,2020-03-26
162,5,15,142,2020-03-27
179,5,15,159,2020-03-28
214,5,15,194,2020-03-29
230,7,22,201,2020-03-30
262,8,23,231,2020-03-31
320,9,28,283,2020-04-01
356,10,28,318,2020-04-02
396,11,28,357,2020-04-03
426,11,33,382,2020-04-04
446,9,37,400,2020-04-05
465,9,45,411,2020-04-06
494,9,47,438,2020-04-07
526,9,52,465,2020-04-08
564,10,53,501,2020-04-09
595,10,58,527,2020-04-10
616,10,61,545,2020-04-11
633,11,65,557,2020-04-12
662,12,65,585,2020-04-13
695,12,65,618,2020-04-14
715,12,65,638,2020-04-15
735,12,77,646,2020-04-16
750,12,77,661,2020-04-17
761,12,79,670,2020-04-18
767,12,81,674,2020-04-19
772,12,81,679,2020-04-20
784,12,98,674,2020-04-21
790,13,98,679,2020-04-22
795,13,98,684,2020-04-23
804,14,98,692,2020-04-24
810,14,148,648,2020-04-25
817,14,148,655,2020-04-26
822,15,148,659,2020-04-27
837,15,148,674,2020-04-28
843,15,148,680,2020-04-29
850,15,296,539,2020-04-30
857,15,296,546,2020-05-01
864,15,296,553,2020-05-02
872,15,296,561,2020-05-03
874,15,296,563,2020-05-04
878,15,296,567,2020-05-05
883,15,296,572,2020-05-06
889,15,400,474,2020-05-07
891,15,400,476,2020-05-08
892,15,401,476,2020-05-09
898,16,401,481,2020-05-10
901,16,401,484,2020-05-11
903,16,449,438,2020-05-12
905,17,449,439,2020-05-13
907,17,481,409,2020-05-14
910,17,481,412,2020-05-15
914,17,515,382,2020-05-16
916,17,515,384,2020-05-17
917,17,515,385,2020-05-18
918,17,515,386,2020-05-19
922,17,516,389,2020-05-20
923,17,561,345,2020-05-21
927,17,561,349,2020-05-22
927,17,594,316,2020-05-23
935,17,594,324,2020-05-24
937,17,594,326,2020-05-25
939,17,594,328,2020-05-26
939,17,594,328,2020-05-27
941,17,784,140,2020-05-28
942,17,784,141,2020-05-29
944,17,790,137,2020-05-30
944,17,790,137,2020-05-31
949,17,790,142,2020-06-01
952,17,790,145,2020-06-02
958,17,790,151,2020-06-03
958,17,790,151,2020-06-04
960,17,807,136,2020-06-05
960,18,807,135,2020-06-06
964,18,807,139,2020-06-07
970,18,807,145,2020-06-08
972,18,807,147,2020-06-09
974,18,807,149,2020-06-10
975,18,807,150,2020-06-11
