Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
1,0,0,1,2020-02-27
1,0,0,1,2020-02-28
1,0,0,1,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
2,0,0,2,2020-03-03
2,0,0,2,2020-03-04
3,0,0,3,2020-03-05
10,0,0,10,2020-03-06
10,0,0,10,2020-03-07
10,0,0,10,2020-03-08
10,0,0,10,2020-03-09
12,0,0,12,2020-03-10
16,0,0,16,2020-03-11
16,0,0,16,2020-03-12
79,0,0,79,2020-03-13
115,0,0,115,2020-03-14
171,0,1,170,2020-03-15
205,0,1,204,2020-03-16
225,0,1,224,2020-03-17
258,0,1,257,2020-03-18
267,0,1,266,2020-03-19
283,0,1,282,2020-03-20
306,0,1,305,2020-03-21
326,0,2,324,2020-03-22
352,0,2,350,2020-03-23
369,0,7,362,2020-03-24
404,1,8,395,2020-03-25
538,1,8,529,2020-03-26
575,1,11,563,2020-03-27
645,1,20,624,2020-03-28
679,3,20,656,2020-03-29
715,3,20,692,2020-03-30
745,4,26,715,2020-03-31
779,5,33,741,2020-04-01
858,11,45,802,2020-04-02
961,12,48,901,2020-04-03
1039,13,59,967,2020-04-04
1097,15,62,1020,2020-04-05
1108,19,62,1027,2020-04-06
1149,21,69,1059,2020-04-07
1185,24,72,1089,2020-04-08
1207,24,83,1100,2020-04-09
1258,24,93,1141,2020-04-10
1304,24,93,1187,2020-04-11
1309,25,98,1186,2020-04-12
1332,28,102,1202,2020-04-13
1373,31,115,1227,2020-04-14
1400,35,117,1248,2020-04-15
1434,36,133,1265,2020-04-16
1459,38,145,1276,2020-04-17
1512,38,162,1312,2020-04-18
1528,40,164,1324,2020-04-19
1535,40,165,1330,2020-04-20
1552,43,169,1340,2020-04-21
1559,44,184,1331,2020-04-22
1592,45,192,1355,2020-04-23
1605,46,206,1353,2020-04-24
1635,46,228,1361,2020-04-25
1643,49,233,1361,2020-04-26
1647,50,233,1364,2020-04-27
1660,50,240,1370,2020-04-28
1666,50,236,1380,2020-04-29
1689,52,249,1388,2020-04-30
1694,52,253,1389,2020-05-01
1699,53,256,1390,2020-05-02
1700,55,259,1386,2020-05-03
1703,55,259,1389,2020-05-04
1711,55,261,1395,2020-05-05
1713,55,264,1394,2020-05-06
1720,56,273,1391,2020-05-07
1725,56,704,965,2020-05-08
1733,60,747,926,2020-05-09
1739,60,750,929,2020-05-10
1741,61,751,929,2020-05-11
1746,61,777,908,2020-05-12
1751,61,777,913,2020-05-13
1758,62,909,787,2020-05-14
1766,63,923,780,2020-05-15
1770,63,934,773,2020-05-16
1774,63,938,773,2020-05-17
1784,64,938,782,2020-05-18
1791,64,938,789,2020-05-19
1794,64,956,774,2020-05-20
1800,64,1488,248,2020-05-21
1807,64,1508,235,2020-05-22
1821,64,1526,231,2020-05-23
1823,64,1532,227,2020-05-24
1824,65,1538,221,2020-05-25
1834,65,1552,217,2020-05-26
1840,66,1561,213,2020-05-27
1851,66,1574,211,2020-05-28
1859,67,1610,182,2020-05-29
1865,67,1622,176,2020-05-30
1869,68,1624,177,2020-05-31
1870,68,1625,177,2020-06-01
1870,68,1632,170,2020-06-02
1880,69,1650,161,2020-06-03
1890,69,1663,158,2020-06-04
