Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
1,0,0,1,2020-03-15
1,0,0,1,2020-03-16
1,0,0,1,2020-03-17
1,0,0,1,2020-03-18
1,0,0,1,2020-03-19
3,1,0,2,2020-03-20
4,1,0,3,2020-03-21
5,1,0,4,2020-03-22
5,1,0,4,2020-03-23
6,1,0,5,2020-03-24
6,1,0,5,2020-03-25
7,1,0,6,2020-03-26
7,1,0,6,2020-03-27
7,1,0,6,2020-03-28
7,1,0,6,2020-03-29
7,1,0,6,2020-03-30
16,1,0,15,2020-03-31
18,1,0,17,2020-04-01
21,1,0,20,2020-04-02
21,1,1,19,2020-04-03
21,1,1,19,2020-04-04
21,1,1,19,2020-04-05
24,1,1,22,2020-04-06
30,1,1,28,2020-04-07
34,1,1,32,2020-04-08
44,1,1,42,2020-04-09
44,1,1,42,2020-04-10
46,1,1,44,2020-04-11
49,1,1,47,2020-04-12
57,1,1,55,2020-04-13
57,1,1,55,2020-04-14
80,1,4,75,2020-04-15
80,1,4,75,2020-04-16
108,1,7,100,2020-04-17
108,1,7,100,2020-04-18
109,1,7,101,2020-04-19
120,1,7,112,2020-04-20
156,1,16,139,2020-04-21
166,1,24,141,2020-04-22
167,2,24,141,2020-04-23
172,3,26,143,2020-04-24
176,3,30,143,2020-04-25
176,3,30,143,2020-04-26
211,3,43,165,2020-04-27
238,3,53,182,2020-04-28
276,3,67,206,2020-04-29
276,3,67,206,2020-04-30
276,3,67,206,2020-05-01
335,5,85,245,2020-05-02
335,5,85,245,2020-05-03
367,6,93,268,2020-05-04
397,6,93,298,2020-05-05
397,6,93,298,2020-05-06
504,8,110,386,2020-05-07
620,8,110,502,2020-05-08
661,8,110,543,2020-05-09
661,8,110,543,2020-05-10
802,9,127,666,2020-05-11
863,9,137,717,2020-05-12
1004,9,152,843,2020-05-13
1104,10,182,912,2020-05-14
1209,10,219,980,2020-05-15
1320,11,244,1065,2020-05-16
1320,11,244,1065,2020-05-17
1432,11,301,1120,2020-05-18
1502,12,318,1172,2020-05-19
1567,12,365,1190,2020-05-20
1567,12,365,1190,2020-05-21
1728,12,402,1314,2020-05-22
1934,12,459,1463,2020-05-23
1934,12,459,1463,2020-05-24
2135,14,562,1559,2020-05-25
2238,14,593,1631,2020-05-26
2319,14,631,1674,2020-05-27
2431,14,668,1749,2020-05-28
2613,15,709,1889,2020-05-29
2655,17,722,1916,2020-05-30
2655,17,722,1916,2020-05-31
2655,17,722,1916,2020-06-01
2803,20,779,2004,2020-06-02
2902,20,801,2081,2020-06-03
2955,21,818,2116,2020-06-04
3101,21,833,2247,2020-06-05
3101,21,833,2247,2020-06-06
3101,21,833,2247,2020-06-07
