Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
3,0,0,3,2020-03-14
6,0,0,6,2020-03-15
6,0,0,6,2020-03-16
7,0,0,7,2020-03-17
7,0,0,7,2020-03-18
11,0,0,11,2020-03-19
16,0,0,16,2020-03-20
19,1,0,18,2020-03-21
23,1,0,22,2020-03-22
27,2,0,25,2020-03-23
53,2,0,51,2020-03-24
93,4,0,89,2020-03-25
132,4,1,127,2020-03-26
137,4,2,131,2020-03-27
141,5,2,134,2020-03-28
152,5,2,145,2020-03-29
152,5,2,145,2020-03-30
161,5,31,125,2020-03-31
195,5,31,159,2020-04-01
204,5,31,168,2020-04-02
205,5,31,169,2020-04-03
205,5,31,169,2020-04-04
214,5,31,178,2020-04-05
214,5,31,178,2020-04-06
287,5,31,251,2020-04-07
313,6,34,273,2020-04-08
378,6,3,369,2020-04-09
378,6,4,368,2020-04-10
408,8,4,396,2020-04-11
566,8,4,554,2020-04-12
566,8,4,554,2020-04-13
636,8,17,611,2020-04-14
636,8,17,611,2020-04-15
641,8,83,550,2020-04-16
641,8,83,550,2020-04-17
834,9,99,726,2020-04-18
1042,9,99,934,2020-04-19
1042,9,99,934,2020-04-20
1042,9,99,934,2020-04-21
1154,9,99,1046,2020-04-22
1154,9,99,1046,2020-04-23
1279,10,134,1135,2020-04-24
1279,10,134,1135,2020-04-25
1550,11,155,1384,2020-04-26
1550,11,155,1384,2020-04-27
1671,16,188,1467,2020-04-28
1671,16,188,1467,2020-04-29
2074,17,212,1845,2020-04-30
2074,17,212,1845,2020-05-01
2169,18,229,1922,2020-05-02
2169,18,229,1922,2020-05-03
2719,18,294,2407,2020-05-04
2719,18,294,2407,2020-05-05
3091,18,294,2779,2020-05-06
3091,18,303,2770,2020-05-07
4012,18,323,3671,2020-05-08
4263,22,378,3863,2020-05-09
4263,22,378,3863,2020-05-10
4700,22,494,4184,2020-05-11
5127,22,494,4611,2020-05-12
5408,24,514,4870,2020-05-13
5530,24,674,4832,2020-05-14
5638,28,1460,4150,2020-05-15
5735,29,1754,3952,2020-05-16
5735,29,1754,3952,2020-05-17
5735,29,1754,3952,2020-05-18
6096,31,1773,4292,2020-05-19
6269,31,1898,4340,2020-05-20
6269,31,1898,4340,2020-05-21
6486,31,1951,4504,2020-05-22
6617,31,1978,4608,2020-05-23
6683,32,1998,4653,2020-05-24
6808,32,2070,4706,2020-05-25
7117,34,2317,4766,2020-05-26
7303,34,2412,4857,2020-05-27
7303,34,2412,4857,2020-05-28
7616,34,2421,5161,2020-05-29
7768,35,2540,5193,2020-05-30
8070,36,2947,5087,2020-05-31
8070,36,2947,5087,2020-06-01
8297,38,2986,5273,2020-06-02
8548,38,3132,5378,2020-06-03
