Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
1,0,0,1,2020-03-15
2,1,0,1,2020-03-16
6,1,0,5,2020-03-17
6,1,0,5,2020-03-18
9,1,0,8,2020-03-19
12,1,0,11,2020-03-20
17,1,0,16,2020-03-21
19,1,0,18,2020-03-22
20,1,0,19,2020-03-23
21,1,0,20,2020-03-24
24,1,4,19,2020-03-25
25,1,4,20,2020-03-26
28,1,4,23,2020-03-27
34,1,10,23,2020-03-28
34,1,10,23,2020-03-29
36,1,10,25,2020-03-30
38,1,12,25,2020-03-31
39,1,12,26,2020-04-01
47,1,12,34,2020-04-02
50,1,12,37,2020-04-03
61,2,15,44,2020-04-04
61,2,15,44,2020-04-05
70,3,15,52,2020-04-06
77,3,17,57,2020-04-07
87,3,17,67,2020-04-08
95,3,17,75,2020-04-09
126,3,17,106,2020-04-10
137,3,19,115,2020-04-11
155,5,19,131,2020-04-12
156,5,19,132,2020-04-13
167,5,19,143,2020-04-14
180,5,19,156,2020-04-15
196,5,19,172,2020-04-16
214,7,21,186,2020-04-17
235,7,21,207,2020-04-18
257,7,21,229,2020-04-19
289,7,21,261,2020-04-20
294,7,24,263,2020-04-21
316,8,24,284,2020-04-22
384,11,30,343,2020-04-23
430,11,30,389,2020-04-24
473,13,45,415,2020-04-25
500,15,49,436,2020-04-26
530,15,49,466,2020-04-27
530,15,49,466,2020-04-28
557,16,62,479,2020-04-29
599,16,66,517,2020-04-30
644,16,72,556,2020-05-01
688,17,72,599,2020-05-02
703,17,72,614,2020-05-03
730,19,79,632,2020-05-04
763,19,79,665,2020-05-05
798,21,86,691,2020-05-06
832,23,90,719,2020-05-07
900,24,101,775,2020-05-08
967,24,104,839,2020-05-09
1052,26,110,916,2020-05-10
1114,26,111,977,2020-05-11
1199,27,120,1052,2020-05-12
1342,29,121,1192,2020-05-13
1518,29,129,1360,2020-05-14
1643,30,135,1478,2020-05-15
1763,33,138,1592,2020-05-16
1763,33,138,1592,2020-05-17
1912,35,138,1739,2020-05-18
2133,43,155,1935,2020-05-19
2265,45,159,2061,2020-05-20
2512,48,222,2242,2020-05-21
2743,51,222,2470,2020-05-22
3054,55,244,2755,2020-05-23
3424,58,258,3108,2020-05-24
3760,59,274,3427,2020-05-25
3954,63,289,3602,2020-05-26
4145,68,493,3584,2020-05-27
4348,80,565,3703,2020-05-28
4607,90,648,3869,2020-05-29
4739,102,706,3931,2020-05-30
5087,108,735,4244,2020-05-31
5336,116,795,4425,2020-06-01
5586,123,824,4639,2020-06-02
5760,143,929,4688,2020-06-03
6154,158,979,5017,2020-06-04
6485,216,1053,5216,2020-06-05
6792,230,1133,5429,2020-06-06
7055,252,1261,5542,2020-06-07
