Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
2,0,0,2,2020-03-25
2,0,0,2,2020-03-26
2,0,0,2,2020-03-27
2,0,0,2,2020-03-28
2,0,0,2,2020-03-29
8,0,0,8,2020-03-30
8,0,0,8,2020-03-31
9,0,0,9,2020-04-01
9,0,0,9,2020-04-02
15,0,0,15,2020-04-03
18,0,0,18,2020-04-04
18,0,0,18,2020-04-05
18,0,0,18,2020-04-06
33,0,0,33,2020-04-07
33,0,0,33,2020-04-08
36,0,0,36,2020-04-09
36,0,0,36,2020-04-10
38,0,0,38,2020-04-11
38,0,0,38,2020-04-12
38,0,0,38,2020-04-13
38,0,0,38,2020-04-14
43,0,0,43,2020-04-15
43,0,0,43,2020-04-16
43,0,0,43,2020-04-17
46,0,0,46,2020-04-18
50,0,3,47,2020-04-19
50,0,3,47,2020-04-20
50,0,3,47,2020-04-21
50,0,3,47,2020-04-22
50,0,3,47,2020-04-23
52,0,3,49,2020-04-24
52,0,3,49,2020-04-25
53,1,3,49,2020-04-26
73,1,18,54,2020-04-27
73,1,18,54,2020-04-28
205,1,19,185,2020-04-29
205,1,19,185,2020-04-30
257,1,19,237,2020-05-01
257,1,19,237,2020-05-02
257,1,19,237,2020-05-03
413,1,19,393,2020-05-04
413,1,19,393,2020-05-05
475,2,24,449,2020-05-06
564,2,25,537,2020-05-07
594,2,25,567,2020-05-08
641,3,25,613,2020-05-09
726,3,26,697,2020-05-10
761,3,26,732,2020-05-11
820,3,26,791,2020-05-12
836,3,26,807,2020-05-13
913,3,26,884,2020-05-14
913,3,26,884,2020-05-15
969,4,26,939,2020-05-16
990,4,26,960,2020-05-17
1032,4,38,990,2020-05-18
1038,6,42,990,2020-05-19
1089,6,42,1041,2020-05-20
1109,6,42,1061,2020-05-21
1114,6,42,1066,2020-05-22
1114,6,42,1066,2020-05-23
1114,6,42,1066,2020-05-24
1178,7,42,1129,2020-05-25
1178,7,42,1129,2020-05-26
1195,7,42,1146,2020-05-27
1195,8,42,1145,2020-05-28
1256,8,42,1206,2020-05-29
1256,8,42,1206,2020-05-30
1256,8,42,1206,2020-05-31
1339,8,53,1278,2020-06-01
1339,8,53,1278,2020-06-02
1339,8,53,1278,2020-06-03
1339,8,53,1278,2020-06-04
1368,12,153,1203,2020-06-05
1368,12,153,1203,2020-06-06
1368,12,153,1203,2020-06-07
1389,12,153,1224,2020-06-08
