Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
2,0,0,2,2020-03-20
2,0,0,2,2020-03-21
2,0,0,2,2020-03-22
2,0,0,6,2020-03-23
7,0,0,7,2020-03-24
7,0,0,8,2020-03-25
8,0,0,8,2020-03-26
8,0,0,8,2020-03-27
8,0,0,8,2020-03-28
8,0,1,14,2020-03-29
15,0,1,14,2020-03-30
15,0,1,14,2020-03-31
15,0,1,15,2020-04-01
16,0,1,15,2020-04-02
16,0,1,17,2020-04-03
18,0,1,19,2020-04-04
18,0,1,19,2020-04-05
21,0,0,23,2020-04-06
24,1,0,24,2020-04-07
25,1,0,26,2020-04-08
27,1,0,28,2020-04-09
30,2,0,29,2020-04-10
30,2,0,31,2020-04-11
31,2,0,30,2020-04-12
31,2,0,37,2020-04-13
40,3,0,37,2020-04-14
40,3,0,38,2020-04-15
41,3,0,38,2020-04-16
41,3,0,40,2020-04-17
43,3,0,41,2020-04-18
44,3,0,44,2020-04-19
44,3,0,54,2020-04-20
47,3,0,54,2020-04-21
57,3,2,56,2020-04-22
58,4,2,65,2020-04-23
62,3,2,65,2020-04-24
72,5,6,60,2020-04-25
72,6,7,61,2020-04-26
72,6,8,62,2020-04-27
74,6,8,62,2020-04-28
76,6,8,62,2020-04-29
76,6,8,65,2020-04-30
76,7,10,67,2020-05-01
81,8,10,67,2020-05-02
85,8,10,69,2020-05-03
85,8,10,79,2020-05-04
88,9,10,79,2020-05-05
100,11,10,79,2020-05-06
101,12,16,101,2020-05-07
108,12,17,117,2020-05-08
129,12,17,122,2020-05-09
146,12,17,150,2020-05-10
151,12,17,176,2020-05-11
172,13,17,176,2020-05-12
209,16,17,199,2020-05-13
219,18,18,235,2020-05-14
234,18,29,261,2020-05-15
273,20,29,309,2020-05-16
310,20,21,415,2020-05-17
358,20,21,491,2020-05-18
456,20,21,491,2020-05-19
533,21,21,553,2020-05-20
596,22,21,688,2020-05-21
663,22,22,765,2020-05-22
734,25,22,817,2020-05-23
812,25,22,817,2020-05-24
865,26,22,909,2020-05-25
958,27,22,1119,2020-05-26
1063,31,22,1264,2020-05-27
1174,33,22,1264,2020-05-28
1320,34,22,1527,2020-05-29
1443,35,24,1800,2020-05-30
1584,35,24,2056,2020-05-31
1865,41,24,2157,2020-06-01
2124,44,24,2157,2020-06-02
2226,45,24,2435,2020-06-03
2507,48,24,2566,2020-06-04
2604,50,24,2666,2020-06-05
2640,50,24,2998,2020-06-06
2924,50,24,3259,2020-06-07
3072,50,24,3460,2020-06-08
3334,51,24,3582,2020-06-09
