Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
2,0,0,2,2020-03-04
2,0,0,2,2020-03-05
2,0,0,2,2020-03-06
4,0,0,4,2020-03-07
7,0,0,7,2020-03-08
9,0,0,9,2020-03-09
9,0,0,9,2020-03-10
13,0,0,13,2020-03-11
13,0,0,13,2020-03-12
19,0,0,19,2020-03-13
30,0,1,29,2020-03-14
32,1,1,30,2020-03-15
39,1,1,37,2020-03-16
50,1,2,47,2020-03-17
58,1,2,55,2020-03-18
73,1,2,70,2020-03-19
85,3,2,80,2020-03-20
103,4,7,92,2020-03-21
131,6,16,109,2020-03-22
167,7,16,144,2020-03-23
187,9,21,157,2020-03-24
226,10,21,195,2020-03-25
261,10,28,223,2020-03-26
300,10,34,256,2020-03-27
343,11,34,298,2020-03-28
408,13,34,361,2020-03-29
447,15,34,398,2020-03-30
492,16,37,439,2020-03-31
525,20,40,465,2020-04-01
585,21,42,522,2020-04-02
623,26,43,554,2020-04-03
678,32,58,588,2020-04-04
733,34,66,633,2020-04-05
744,38,67,639,2020-04-06
817,47,71,699,2020-04-07
895,58,94,743,2020-04-08
980,66,96,818,2020-04-09
1190,77,112,1001,2020-04-10
1310,85,115,1110,2020-04-11
1410,99,118,1193,2020-04-12
1458,109,120,1229,2020-04-13
1512,122,122,1268,2020-04-14
1579,134,192,1253,2020-04-15
1652,142,199,1311,2020-04-16
1763,156,207,1400,2020-04-17
1834,172,231,1431,2020-04-18
1916,189,250,1477,2020-04-19
1984,199,267,1518,2020-04-20
2098,213,287,1598,2020-04-21
2168,225,295,1648,2020-04-22
2284,239,390,1655,2020-04-23
2443,262,458,1723,2020-04-24
2443,262,458,1723,2020-04-25
2500,272,485,1743,2020-04-26
2583,280,498,1805,2020-04-27
2649,291,516,1842,2020-04-28
2727,300,536,1891,2020-04-29
2775,312,581,1882,2020-04-30
2863,323,609,1931,2020-05-01
2942,335,625,1982,2020-05-02
2998,340,629,2029,2020-05-03
3035,351,630,2054,2020-05-04
3065,363,709,1993,2020-05-05
3111,373,759,1979,2020-05-06
3150,383,801,1966,2020-05-07
3178,392,865,1921,2020-05-08
3213,405,904,1904,2020-05-09
3263,413,933,1917,2020-05-10
3284,421,958,1905,2020-05-11
3313,425,1007,1881,2020-05-12
3341,430,1102,1809,2020-05-13
3380,436,1169,1775,2020-05-14
3417,442,1287,1688,2020-05-15
3473,448,1371,1654,2020-05-16
3509,451,1396,1662,2020-05-17
3535,462,1400,1673,2020-05-18
3556,467,1412,1677,2020-05-19
3598,470,1454,1674,2020-05-20
3641,473,1509,1659,2020-05-21
3678,476,1587,1615,2020-05-22
3713,482,1655,1576,2020-05-23
3741,486,1690,1565,2020-05-24
3756,491,1711,1554,2020-05-25
3771,499,1836,1436,2020-05-26
3793,505,1856,1432,2020-05-27
3816,509,1996,1311,2020-05-28
3841,517,2024,1300,2020-05-29
3867,524,2142,1201,2020-05-30
3876,526,2147,1203,2020-05-31
3892,527,2156,1209,2020-06-01
3921,532,2160,1229,2020-06-02
