Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
1,0,0,1,2020-02-29
3,0,0,3,2020-03-01
6,0,0,6,2020-03-02
11,0,0,11,2020-03-03
26,0,0,26,2020-03-04
34,0,0,34,2020-03-05
43,0,0,43,2020-03-06
50,0,0,50,2020-03-07
50,0,0,50,2020-03-08
58,0,0,58,2020-03-09
69,0,1,68,2020-03-10
85,0,1,84,2020-03-11
103,0,1,102,2020-03-12
134,0,1,133,2020-03-13
156,0,1,155,2020-03-14
171,5,8,158,2020-03-15
180,0,0,180,2020-03-16
220,1,0,219,2020-03-17
250,1,5,244,2020-03-18
330,1,5,324,2020-03-19
409,0,5,404,2020-03-20
473,1,22,450,2020-03-21
568,1,36,531,2020-03-22
588,1,36,551,2020-03-23
648,2,51,595,2020-03-24
737,2,56,679,2020-03-25
802,2,82,718,2020-03-26
890,2,97,791,2020-03-27
963,2,114,847,2020-03-28
1020,2,135,883,2020-03-29
1086,2,157,927,2020-03-30
1135,2,198,935,2020-03-31
1220,2,225,993,2020-04-01
1319,4,284,1031,2020-04-02
1364,4,309,1051,2020-04-03
1417,4,396,1017,2020-04-04
1486,4,428,1054,2020-04-05
1562,6,460,1096,2020-04-06
1586,6,559,1021,2020-04-07
1616,6,633,977,2020-04-08
1648,6,688,954,2020-04-09
1675,7,751,917,2020-04-10
1689,8,841,840,2020-04-11
1701,8,889,804,2020-04-12
1711,8,933,770,2020-04-13
1720,8,989,723,2020-04-14
1727,8,1077,642,2020-04-15
1739,8,1144,587,2020-04-16
1754,9,1224,521,2020-04-17
1760,9,1291,460,2020-04-18
1771,9,1291,471,2020-04-19
1773,10,1362,401,2020-04-20
1778,10,1417,351,2020-04-21
1785,10,1462,313,2020-04-22
1789,10,1509,270,2020-04-23
1789,10,1542,237,2020-04-24
1790,10,1570,210,2020-04-25
1792,10,1608,174,2020-04-26
1792,10,1624,158,2020-04-27
1795,10,1636,149,2020-04-28
1797,10,1656,131,2020-04-29
1797,10,1670,117,2020-04-30
1798,10,1689,99,2020-05-01
1798,10,1706,82,2020-05-02
1799,10,1717,72,2020-05-03
1799,10,1723,66,2020-05-04
1799,10,1733,56,2020-05-05
1799,10,1750,39,2020-05-06
1801,10,1755,36,2020-05-07
1801,10,1765,26,2020-05-08
1801,10,1773,18,2020-05-09
1801,10,1773,18,2020-05-10
1801,10,1773,18,2020-05-11
1801,10,1776,15,2020-05-12
1802,10,1780,12,2020-05-13
1802,10,1780,12,2020-05-14
1802,10,1782,10,2020-05-15
1802,10,1786,6,2020-05-16
1802,10,1786,6,2020-05-17
1802,10,1786,6,2020-05-18
1802,10,1789,3,2020-05-19
1803,10,1789,4,2020-05-20
1803,10,1790,3,2020-05-21
1803,10,1791,2,2020-05-22
1804,10,1791,3,2020-05-23
1804,10,1791,3,2020-05-24
1804,10,1791,3,2020-05-25
1804,10,1792,2,2020-05-26
1805,10,1792,3,2020-05-27
1805,10,1792,3,2020-05-28
1805,10,1794,1,2020-05-29
1806,10,1794,2,2020-05-30
1806,10,1794,2,2020-05-31
1806,10,1794,2,2020-06-01
1806,10,1794,2,2020-06-02
1806,10,1794,2,2020-06-03
