Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
2,0,0,2,2020-03-02
2,0,0,2,2020-03-03
2,0,0,2,2020-03-04
2,0,0,2,2020-03-05
4,0,0,4,2020-03-06
4,0,0,4,2020-03-07
6,0,0,6,2020-03-08
19,0,0,19,2020-03-09
27,0,2,25,2020-03-10
34,1,2,31,2020-03-11
34,1,2,31,2020-03-12
69,4,2,63,2020-03-13
96,5,8,83,2020-03-14
117,5,8,104,2020-03-15
134,5,8,121,2020-03-16
172,5,8,159,2020-03-17
227,19,11,197,2020-03-18
311,25,11,275,2020-03-19
369,32,15,322,2020-03-20
450,38,15,397,2020-03-21
514,48,29,437,2020-03-22
579,49,29,501,2020-03-23
686,55,30,601,2020-03-24
790,58,31,701,2020-03-25
893,78,35,780,2020-03-26
1046,87,46,913,2020-03-27
1155,102,59,994,2020-03-28
1285,114,64,1107,2020-03-29
1414,122,75,1217,2020-03-30
1528,136,81,1311,2020-03-31
1677,157,103,1417,2020-04-01
1790,170,112,1508,2020-04-02
1986,181,134,1671,2020-04-03
2092,191,150,1751,2020-04-04
2273,198,164,1911,2020-04-05
2491,209,192,2090,2020-04-06
2738,221,204,2313,2020-04-07
2956,240,222,2494,2020-04-08
3293,280,252,2761,2020-04-09
3512,306,282,2924,2020-04-10
3842,327,286,3229,2020-04-11
4241,373,359,3509,2020-04-12
4557,399,380,3778,2020-04-13
4839,459,426,3954,2020-04-14
5136,469,446,4221,2020-04-15
5516,496,548,4472,2020-04-16
5923,520,607,4796,2020-04-17
6248,535,631,5082,2020-04-18
6575,582,686,5307,2020-04-19
6760,590,747,5423,2020-04-20
7135,616,842,5677,2020-04-21
7418,635,913,5870,2020-04-22
7775,647,960,6168,2020-04-23
8211,689,1002,6520,2020-04-24
8607,720,1042,6845,2020-04-25
8882,743,1107,7032,2020-04-26
9096,765,1151,7180,2020-04-27
9511,773,1254,7484,2020-04-28
9771,784,1391,7596,2020-04-29
10118,792,1522,7804,2020-04-30
10551,800,1591,8160,2020-05-01
10843,831,1665,8347,2020-05-02
11192,845,1876,8471,2020-05-03
11587,864,1954,8769,2020-05-04
12071,872,2197,9002,2020-05-05
12438,895,2317,9226,2020-05-06
12776,930,2381,9465,2020-05-07
13112,943,2494,9675,2020-05-08
13645,959,2607,10079,2020-05-09
14032,973,2698,10361,2020-05-10
14265,991,2881,10393,2020-05-11
14749,1007,3063,10679,2020-05-12
15438,1028,3287,11123,2020-05-13
16006,1043,3518,11445,2020-05-14
16496,1076,3803,11617,2020-05-15
17025,1089,3911,12025,2020-05-16
17514,1148,4129,12237,2020-05-17
18010,1191,4324,12495,2020-05-18
18496,1221,4467,12808,2020-05-19
19189,1242,4575,13372,2020-05-20
20162,1278,4838,14046,2020-05-21
20796,1326,5057,14413,2020-05-22
21745,1351,5249,15145,2020-05-23
22271,1372,5402,15497,2020-05-24
22750,1391,5642,15717,2020-05-25
23165,1418,5877,15870,2020-05-26
23851,1473,6057,16321,2020-05-27
24538,1496,6240,16802,2020-05-28
25216,1520,6492,17204,2020-05-29
25773,1573,7015,17185,2020-05-30
