Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
1,0,0,1,2020-02-24
1,0,0,1,2020-02-25
5,0,0,5,2020-02-26
7,0,0,7,2020-02-27
7,0,0,7,2020-02-28
13,0,0,13,2020-02-29
19,0,0,19,2020-03-01
26,0,0,26,2020-03-02
32,0,0,32,2020-03-03
35,2,0,33,2020-03-04
35,2,0,33,2020-03-05
40,3,0,37,2020-03-06
54,4,0,50,2020-03-07
60,6,0,54,2020-03-08
60,6,3,51,2020-03-09
71,7,3,61,2020-03-10
71,7,15,49,2020-03-11
71,8,15,48,2020-03-12
101,9,24,68,2020-03-13
110,10,26,74,2020-03-14
116,10,26,80,2020-03-15
124,10,26,88,2020-03-16
154,11,32,111,2020-03-17
164,12,43,109,2020-03-18
192,13,43,136,2020-03-19
208,17,49,142,2020-03-20
214,17,51,146,2020-03-21
233,20,57,156,2020-03-22
266,23,57,186,2020-03-23
316,27,75,214,2020-03-24
346,29,103,214,2020-03-25
382,36,105,241,2020-03-26
458,40,122,296,2020-03-27
506,42,131,333,2020-03-28
547,42,143,362,2020-03-29
630,46,152,432,2020-03-30
694,50,170,474,2020-03-31
728,52,182,494,2020-04-01
772,54,202,516,2020-04-02
820,54,226,540,2020-04-03
878,56,259,563,2020-04-04
961,61,279,621,2020-04-05
1031,64,344,623,2020-04-06
1122,65,373,684,2020-04-07
1202,69,452,681,2020-04-08
1232,69,496,667,2020-04-09
1279,70,550,659,2020-04-10
1318,72,601,645,2020-04-11
1352,76,640,636,2020-04-12
1378,78,717,583,2020-04-13
1400,78,766,556,2020-04-14
1415,79,812,524,2020-04-15
1434,80,856,498,2020-04-16
1482,81,906,495,2020-04-17
1513,82,953,478,2020-04-18
1539,82,1009,448,2020-04-19
1574,82,1043,449,2020-04-20
1602,83,1096,423,2020-04-21
1631,83,1146,402,2020-04-22
1677,83,1171,423,2020-04-23
1708,86,1204,418,2020-04-24
1763,86,1224,453,2020-04-25
1820,87,1263,470,2020-04-26
1847,88,1286,473,2020-04-27
1928,90,1319,519,2020-04-28
2003,92,1346,565,2020-04-29
2085,93,1375,617,2020-04-30
2153,94,1414,645,2020-05-01
2219,95,1473,651,2020-05-02
2296,97,1490,709,2020-05-03
2346,98,1544,704,2020-05-04
2431,102,1571,758,2020-05-05
2480,102,1602,776,2020-05-06
2543,102,1626,815,2020-05-07
2603,104,1661,838,2020-05-08
2679,107,1702,870,2020-05-09
2767,109,1734,924,2020-05-10
2818,110,1790,918,2020-05-11
2913,112,1903,898,2020-05-12
3032,115,1966,951,2020-05-13
3143,115,2028,1000,2020-05-14
3193,117,2089,987,2020-05-15
3260,121,2126,1013,2020-05-16
3404,123,2218,1063,2020-05-17
3554,127,2310,1117,2020-05-18
3611,131,2366,1114,2020-05-19
3724,134,2438,1152,2020-05-20
3877,140,2483,1254,2020-05-21
3964,147,2532,1285,2020-05-22
4272,152,2585,1535,2020-05-23
4469,160,2738,1571,2020-05-24
4632,163,2811,1658,2020-05-25
4848,169,2852,1827,2020-05-26
5135,175,2904,2056,2020-05-27
5457,179,2971,2307,2020-05-28
5873,185,3044,2644,2020-05-29
6179,195,3110,2874,2020-05-30
6439,205,3156,3078,2020-05-31
6868,215,3275,3378,2020-06-01
7387,235,3508,3644,2020-06-02
8168,256,4095,3817,2020-06-03
