Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
1,0,0,1,2020-02-21
1,0,0,1,2020-02-22
1,0,0,1,2020-02-23
1,0,0,1,2020-02-24
1,0,0,1,2020-02-25
2,0,0,2,2020-02-26
3,0,0,3,2020-02-27
6,0,0,6,2020-02-28
6,0,0,6,2020-02-29
7,0,0,7,2020-03-01
12,0,0,12,2020-03-02
15,0,0,15,2020-03-03
15,0,0,15,2020-03-04
21,0,0,21,2020-03-05
37,0,0,37,2020-03-06
47,0,0,47,2020-03-07
56,0,0,56,2020-03-08
60,0,0,60,2020-03-09
88,0,0,88,2020-03-10
60,0,0,60,2020-03-11
81,0,0,81,2020-03-12
112,0,1,111,2020-03-13
138,0,1,137,2020-03-14
177,0,1,176,2020-03-15
251,0,1,250,2020-03-16
295,0,3,292,2020-03-17
371,0,6,365,2020-03-18
386,0,11,375,2020-03-19
628,1,13,614,2020-03-20
843,1,14,828,2020-03-21
1080,1,19,1060,2020-03-22
1249,1,22,1226,2020-03-23
1351,4,31,1316,2020-03-24
2468,5,37,2426,2020-03-25
2988,10,49,2929,2020-03-26
3421,12,69,3340,2020-03-27
3901,13,84,3804,2020-03-28
4433,16,105,4312,2020-03-29
4979,17,147,4815,2020-03-30
5717,21,210,5486,2020-03-31
6413,29,495,5889,2020-04-01
7132,38,597,6497,2020-04-02
7729,43,667,7019,2020-04-03
8157,49,717,7391,2020-04-04
8740,56,820,7864,2020-04-05
9191,64,939,8188,2020-04-06
9568,72,1059,8437,2020-04-07
9906,80,1191,8635,2020-04-08
10249,89,1306,8854,2020-04-09
10607,97,1460,9050,2020-04-10
10952,103,1611,9238,2020-04-11
11504,109,1909,9486,2020-04-12
11942,118,2228,9596,2020-04-13
12341,126,2551,9664,2020-04-14
12652,139,2823,9690,2020-04-15
12948,146,3174,9628,2020-04-16
13246,155,3550,9541,2020-04-17
13537,166,3820,9551,2020-04-18
13813,174,4228,9411,2020-04-19
14112,180,4687,9245,2020-04-20
14394,189,5103,9102,2020-04-21
14619,192,5514,8913,2020-04-22
14895,196,5866,8833,2020-04-23
15143,199,6291,8653,2020-04-24
15302,202,6655,8445,2020-04-25
15385,204,7087,8094,2020-04-26
15513,208,7635,7670,2020-04-27
15672,213,8118,7341,2020-04-28
15754,219,8471,7064,2020-04-29
15896,225,8924,6747,2020-04-30
16012,229,9393,6390,2020-05-01
16069,232,9611,6226,2020-05-02
16096,235,9945,5916,2020-05-03
16149,238,10233,5678,2020-05-04
16181,240,10561,5380,2020-05-05
16246,241,10843,5162,2020-05-06
16307,242,11103,4962,2020-05-07
16340,248,11318,4774,2020-05-08
16359,251,11402,4706,2020-05-09
16388,255,11649,4484,2020-05-10
16427,260,11940,4227,2020-05-11
16450,263,12195,3992,2020-05-12
16489,266,12398,3825,2020-05-13
16511,268,12648,3595,2020-05-14
16523,268,12793,3462,2020-05-15
16528,271,12880,3377,2020-05-16
16543,275,13062,3206,2020-05-17
16570,278,13346,2946,2020-05-18
16592,280,13485,2827,2020-05-19
16607,281,13613,2713,2020-05-20
16624,281,13780,2563,2020-05-21
16643,281,13925,2437,2020-05-22
16648,281,13976,2391,2020-05-23
16661,282,14121,2258,2020-05-24
16683,284,14252,2147,2020-05-25
16733,284,14352,2097,2020-05-26
16773,286,14414,2073,2020-05-27
16850,287,14532,2031,2020-05-28
16963,287,14568,2108,2020-05-29
