Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
1,0,0,1,2020-03-11
2,0,0,2,2020-03-12
8,0,0,8,2020-03-13
8,0,0,8,2020-03-14
10,0,0,10,2020-03-15
10,0,2,8,2020-03-16
12,0,2,10,2020-03-17
13,0,2,11,2020-03-18
15,1,2,12,2020-03-19
16,1,2,13,2020-03-20
16,1,2,13,2020-03-21
19,1,2,16,2020-03-22
19,1,2,16,2020-03-23
21,1,2,18,2020-03-24
26,1,2,23,2020-03-25
26,1,2,23,2020-03-26
26,1,2,23,2020-03-27
30,1,2,27,2020-03-28
32,1,2,29,2020-03-29
36,1,2,33,2020-03-30
36,1,2,33,2020-03-31
44,3,2,39,2020-04-01
47,3,2,42,2020-04-02
47,3,2,42,2020-04-03
53,3,7,43,2020-04-04
58,3,8,47,2020-04-05
58,3,8,47,2020-04-06
63,3,8,52,2020-04-07
63,4,10,49,2020-04-08
63,4,12,47,2020-04-09
63,4,13,46,2020-04-10
65,4,13,48,2020-04-11
69,4,13,52,2020-04-12
73,4,19,50,2020-04-13
73,4,19,50,2020-04-14
125,5,21,99,2020-04-15
143,5,21,117,2020-04-16
143,5,25,113,2020-04-17
163,5,25,133,2020-04-18
173,5,27,141,2020-04-19
223,5,27,191,2020-04-20
223,6,27,190,2020-04-21
233,6,27,200,2020-04-22
257,6,28,223,2020-04-23
288,7,28,253,2020-04-24
305,7,28,270,2020-04-25
350,7,28,315,2020-04-26
364,7,29,328,2020-04-27
364,7,29,328,2020-04-28
396,7,29,360,2020-04-29
422,8,29,385,2020-04-30
432,8,31,393,2020-05-01
463,8,33,422,2020-05-02
469,9,38,422,2020-05-03
471,9,38,424,2020-05-04
473,9,56,408,2020-05-05
478,9,57,412,2020-05-06
488,9,58,421,2020-05-07
490,9,62,419,2020-05-08
490,9,62,419,2020-05-09
502,9,90,403,2020-05-10
505,9,90,406,2020-05-11
507,9,100,398,2020-05-12
509,9,113,387,2020-05-13
509,9,118,382,2020-05-14
511,9,121,381,2020-05-15
517,9,121,387,2020-05-16
520,9,127,384,2020-05-17
520,9,131,380,2020-05-18
520,9,145,366,2020-05-19
529,9,171,349,2020-05-20
534,9,181,344,2020-05-21
544,9,191,344,2020-05-22
550,9,200,341,2020-05-23
552,9,211,332,2020-05-24
556,9,238,309,2020-05-25
564,9,267,288,2020-05-26
569,9,279,281,2020-05-27
569,9,284,276,2020-05-28
575,9,289,277,2020-05-29
581,9,290,282,2020-05-30
586,9,311,266,2020-05-31
588,9,322,257,2020-06-01
590,9,356,225,2020-06-02
591,10,361,220,2020-06-03
591,10,368,213,2020-06-04
595,10,385,200,2020-06-05
596,10,404,182,2020-06-06
598,10,405,183,2020-06-07
599,10,405,184,2020-06-08
605,10,405,190,2020-06-09
605,10,407,188,2020-06-10
611,10,408,193,2020-06-11
