Confirmed,Deaths,Recovered,Active,Date
2,0,0,2,2020-01-22
2,0,0,2,2020-01-23
2,0,0,2,2020-01-24
2,0,0,2,2020-01-25
4,0,1,3,2020-01-26
4,0,1,3,2020-01-27
7,0,1,6,2020-01-28
7,0,1,6,2020-01-29
11,0,1,10,2020-01-30
15,0,1,14,2020-01-31
20,0,1,19,2020-02-01
20,0,1,19,2020-02-02
20,0,1,19,2020-02-03
22,0,1,21,2020-02-04
23,0,1,22,2020-02-05
23,0,1,22,2020-02-06
23,0,1,22,2020-02-07
24,0,1,23,2020-02-08
24,0,1,23,2020-02-09
26,0,4,22,2020-02-10
27,0,9,18,2020-02-11
28,0,9,19,2020-02-12
33,1,9,23,2020-02-13
43,1,9,33,2020-02-14
54,1,12,41,2020-02-15
60,1,12,47,2020-02-16
67,1,12,54,2020-02-17
79,2,13,64,2020-02-18
85,2,18,65,2020-02-19
95,2,18,75,2020-02-20
112,2,22,88,2020-02-21
137,2,22,113,2020-02-22
149,2,22,125,2020-02-23
160,2,22,136,2020-02-24
173,3,22,148,2020-02-25
192,3,22,167,2020-02-26
218,4,22,192,2020-02-27
236,5,22,209,2020-02-28
245,6,32,207,2020-02-29
259,6,32,221,2020-03-01
278,6,32,240,2020-03-02
298,6,43,249,2020-03-03
333,7,43,283,2020-03-04
365,7,43,315,2020-03-05
420,7,46,367,2020-03-06
466,7,76,383,2020-03-07
499,8,76,415,2020-03-08
527,10,76,441,2020-03-09
585,13,101,471,2020-03-10
640,15,118,507,2020-03-11
696,19,118,559,2020-03-12
733,21,118,594,2020-03-13
795,22,118,655,2020-03-14
826,24,118,684,2020-03-15
843,30,144,669,2020-03-16
893,30,144,719,2020-03-17
928,32,144,752,2020-03-18
968,33,150,785,2020-03-19
1022,34,191,797,2020-03-20
1059,36,232,791,2020-03-21
1104,40,235,829,2020-03-22
1144,41,235,868,2020-03-23
1217,42,285,890,2020-03-24
1314,45,310,959,2020-03-25
1416,47,359,1010,2020-03-26
1530,53,372,1105,2020-03-27
1728,56,404,1268,2020-03-28
1907,63,424,1420,2020-03-29
2001,65,424,1512,2020-03-30
2255,67,424,1764,2020-03-31
2535,72,472,1991,2020-04-01
2818,75,472,2271,2020-04-02
3154,81,514,2559,2020-04-03
3525,87,514,2924,2020-04-04
3876,93,514,3269,2020-04-05
4110,96,575,3439,2020-04-06
4485,98,592,3795,2020-04-07
5020,105,622,4293,2020-04-08
5614,113,632,4869,2020-04-09
6250,125,685,5440,2020-04-10
6951,138,762,6051,2020-04-11
7473,147,762,6564,2020-04-12
7773,156,784,6833,2020-04-13
8277,170,799,7308,2020-04-14
8835,186,853,7796,2020-04-15
9398,204,901,8293,2020-04-16
9958,217,935,8806,2020-04-17
10548,236,1069,9243,2020-04-18
10914,255,1159,9500,2020-04-19
11258,275,1159,9824,2020-04-20
11641,303,1239,10099,2020-04-21
12037,323,1356,10358,2020-04-22
12469,351,1494,10624,2020-04-23
12854,360,1530,10964,2020-04-24
13186,379,1656,11151,2020-04-25
13405,395,1809,11201,2020-04-26
13576,417,1899,11260,2020-04-27
13860,436,1899,11525,2020-04-28
14076,454,2368,11254,2020-04-29
14284,481,2460,11343,2020-04-30
14558,510,2975,11073,2020-05-01
14861,536,3205,11120,2020-05-02
15061,560,3981,10520,2020-05-03
15229,582,4156,10491,2020-05-04
15354,593,4496,10265,2020-05-05
15455,605,4496,10354,2020-05-06
15553,617,4918,10018,2020-05-07
15640,634,5146,9860,2020-05-08
15755,654,5906,9195,2020-05-09
15824,666,8127,7031,2020-05-10
15861,685,8293,6883,2020-05-11
15948,707,8531,6710,2020-05-12
15998,726,8920,6352,2020-05-13
16096,742,9868,5486,2020-05-14
16148,760,10338,5050,2020-05-15
16202,778,10338,5086,2020-05-16
16226,787,11153,4286,2020-05-17
16259,796,11564,3899,2020-05-18
16287,805,11564,3918,2020-05-19
16321,818,11564,3939,2020-05-20
16362,826,12672,2864,2020-05-21
16385,836,13005,2544,2020-05-22
16410,845,13244,2321,2020-05-23
16451,852,13413,2186,2020-05-24
16472,857,13612,2003,2020-05-25
16502,863,13810,1829,2020-05-26
16528,870,13973,1685,2020-05-27
16598,881,14096,1621,2020-05-28
16673,887,14213,1573,2020-05-29
16716,894,14267,1555,2020-05-30
16751,898,14342,1511,2020-05-31
16787,899,14463,1425,2020-06-01
16837,902,14585,1350,2020-06-02
16867,905,14702,1260,2020-06-03
16911,911,14785,1215,2020-06-04
16958,916,14925,1117,2020-06-05
17000,915,14927,1158,2020-06-06
17039,917,14990,1132,2020-06-07
17060,920,15043,1097,2020-06-08
17111,920,15141,1050,2020-06-09
17146,922,15217,1007,2020-06-10
17187,922,15233,1032,2020-06-11
17250,924,15362,964,2020-06-12
17293,927,15458,908,2020-06-13
17369,927,15514,928,2020-06-14
17439,929,15567,943,2020-06-15
17484,934,15652,898,2020-06-16
17530,935,15753,842,2020-06-17
17588,935,15753,900,2020-06-18
17658,951,15844,863,2020-06-19
17725,955,15948,822,2020-06-20
17780,955,15948,877,2020-06-21
17820,955,15957,908,2020-06-22
17879,965,16096,818,2020-06-23
17963,967,16101,895,2020-06-24
18055,971,16142,942,2020-06-25
18162,971,16224,967,2020-06-26
18254,971,16293,990,2020-06-27
18366,972,16327,1067,2020-06-28
18476,972,16388,1116,2020-06-29
18615,972,16458,1185,2020-06-30
18838,976,16563,1299,2020-07-01
19055,977,16615,1463,2020-07-02
19185,977,16721,1487,2020-07-03
19461,977,16832,1652,2020-07-04
19668,977,16870,1821,2020-07-05
19848,978,17007,1863,2020-07-06
20055,981,17057,2017,2020-07-07
20261,982,17057,2222,2020-07-08
20617,982,17412,2223,2020-07-09
21044,982,17494,2568,2020-07-10
21430,982,17494,2954,2020-07-11
21841,983,17845,3013,2020-07-12
22125,984,18058,3083,2020-07-13
22437,984,18126,3327,2020-07-14
23172,984,18126,4062,2020-07-15
23510,985,18641,3884,2020-07-16
24104,985,18944,4175,2020-07-17
24946,986,19211,4749,2020-07-18
25446,986,19211,5249,2020-07-19
25706,988,19603,5115,2020-07-20
26463,988,20001,5474,2020-07-21
27136,990,20482,5664,2020-07-22
28114,992,20878,6244,2020-07-23
28883,994,21173,6716,2020-07-24
29684,996,21464,7224,2020-07-25
30548,998,21606,7944,2020-07-26
31142,998,21970,8174,2020-07-27
32116,1001,22636,8479,2020-07-28
33382,1001,23351,9030,2020-07-29
35144,1007,24024,10113,2020-07-30
36234,1008,24774,10452,2020-07-31
37804,1012,25347,11445,2020-08-01
39116,1013,25748,12355,2020-08-02
40099,1018,26476,12605,2020-08-03
41347,1023,27187,13137,2020-08-04
42686,1028,28020,13638,2020-08-05
44167,1034,28858,14275,2020-08-06
45764,1042,30241,14481,2020-08-07
47342,1042,31248,15052,2020-08-08
48782,1047,32867,14868,2020-08-09
49617,1052,33450,15115,2020-08-10
50302,1058,34136,15108,2020-08-11
51288,1066,34969,15253,2020-08-12
52471,1073,36191,15207,2020-08-13
53818,1080,35498,17240,2020-08-14
55051,1093,39439,14519,2020-08-15
56074,1103,40560,14411,2020-08-16
56717,1112,41591,14014,2020-08-17
57636,1135,42965,13536,2020-08-18
58728,1148,43786,13794,2020-08-19
59900,1157,45110,13633,2020-08-20
60949,1175,46264,13510,2020-08-21
61916,1179,47418,13319,2020-08-22
62658,1188,48319,13151,2020-08-23
63158,1201,49089,12868,2020-08-24
63888,1219,50092,12577,2020-08-25
64779,1230,51407,12142,2020-08-26
65653,1241,52542,11870,2020-08-27
66499,1251,53691,11557,2020-08-28
67353,1271,54883,11199,2020-08-29
67958,1285,55700,10973,2020-08-30
68396,1298,56338,10760,2020-08-31
69023,1313,57503,10207,2020-09-01
69619,1327,58108,10184,2020-09-02
70278,1334,58200,10744,2020-09-03
70866,1352,60093,9421,2020-09-04
71467,1361,61099,9007,2020-09-05
71918,1366,61730,8822,2020-09-06
72213,1377,62190,8646,2020-09-07
72724,1398,62936,8390,2020-09-08
73264,1412,63734,8118,2020-09-09
73916,1416,64489,8011,2020-09-10
74558,1428,65244,7886,2020-09-11
75206,1441,65934,7831,2020-09-12
75646,1448,66524,7674,2020-09-13
75914,1455,66901,7558,2020-09-14
76446,1463,66901,8082,2020-09-15
76997,1481,68110,7406,2020-09-16
77488,1490,68827,7171,2020-09-17
78061,1500,69468,7093,2020-09-18
78662,1504,70051,7107,2020-09-19
79142,1508,70604,7030,2020-09-20
79462,1518,70970,6974,2020-09-21
79773,1519,71214,7040,2020-09-22
80009,1525,71547,6937,2020-09-23
80490,1540,72066,6884,2020-09-24
81054,1544,73016,6494,2020-09-25
81703,1547,73677,6479,2020-09-26
82186,1549,73677,6960,2020-09-27
82484,1561,74495,6428,2020-09-28
83022,1568,74962,6492,2020-09-29
83591,1575,75522,6494,2020-09-30
84244,1580,76081,6583,2020-10-01
84768,1591,76700,6477,2020-10-02
85345,1594,76700,7051,2020-10-03
85746,1598,77851,6297,2020-10-04
86027,1602,78071,6354,2020-10-05
86540,1609,78521,6410,2020-10-06
87039,1614,79123,6302,2020-10-07
87679,1617,79674,6388,2020-10-08
88267,1623,80140,6504,2020-10-09
88962,1626,80798,6538,2020-10-10
89400,1628,81266,6506,2020-10-11
89652,1631,81552,6469,2020-10-12
90153,1635,82063,6455,2020-10-13
90694,1646,82576,6472,2020-10-14
91402,1650,83272,6480,2020-10-15
92044,1664,83882,6498,2020-10-16
92670,1670,84461,6539,2020-10-17
93098,1672,84461,6965,2020-10-18
93408,1676,85310,6422,2020-10-19
93895,1679,85867,6349,2020-10-20
94515,1686,86429,6400,2020-10-21
95134,1697,87022,6415,2020-10-22
95868,1706,87600,6562,2020-10-23
96599,1710,88138,6751,2020-10-24
97095,1716,88610,6769,2020-10-25
97503,1721,89031,6751,2020-10-26
98146,1726,89465,6955,2020-10-27
98877,1731,90118,7028,2020-10-28
99674,1748,90624,7302,2020-10-29
100450,1756,91184,7510,2020-10-30
101327,1769,89765,9793,2020-10-31
101943,1776,92250,7917,2020-11-01
102431,1787,92673,7971,2020-11-02
103309,1794,93133,8382,2020-11-03
103928,1799,93564,8565,2020-11-04
104964,1806,94376,8782,2020-11-05
106136,1810,95010,9316,2020-11-06
107439,1815,95703,9921,2020-11-07
108394,1821,96430,10143,2020-11-08
109191,1834,96684,10673,2020-11-09
110487,1840,98487,10160,2020-11-10
112011,1847,98305,11859,2020-11-11
113655,1854,99282,12519,2020-11-12
115360,1864,100197,13299,2020-11-13
117113,1865,101162,14086,2020-11-14
118611,1874,91954,24783,2020-11-15
119557,1883,102810,14864,2020-11-16
121247,1895,103778,15574,2020-11-17
123477,1908,104837,16732,2020-11-18
125859,1920,106074,17865,2020-11-19
128285,1930,107521,18834,2020-11-20
130871,1932,108981,19958,2020-11-21
133034,1943,110273,20818,2020-11-22
134554,1949,111343,21262,2020-11-23
135786,1963,112385,21438,2020-11-24
137735,1983,114569,21183,2020-11-25
140225,1996,116222,22007,2020-11-26
142778,2028,117709,23041,2020-11-27
145457,2042,120103,23312,2020-11-28
147515,2057,121735,23723,2020-11-29
148962,2076,127289,19597,2020-11-30
150976,2109,125304,23563,2020-12-01
153432,2141,127148,24143,2020-12-02
155938,2174,129085,24679,2020-12-03
158387,2210,131020,25157,2020-12-04
160870,2229,133287,25354,2020-12-05
162917,2259,135121,25537,2020-12-06
164434,2299,136747,25388,2020-12-07
166592,2334,138838,25420,2020-12-08
169429,2376,140466,26587,2020-12-09
172406,2395,142850,27161,2020-12-10
175310,2446,144858,28006,2020-12-11
178272,2462,147368,28442,2020-12-12
180639,2481,149130,29028,2020-12-13
182311,2530,150791,28990,2020-12-14
184752,2581,153363,28808,2020-12-15
187751,2623,155391,29737,2020-12-16
190950,2661,158131,30158,2020-12-17
193753,2709,160630,30414,2020-12-18
196815,2749,163152,30914,2020-12-19
199270,2784,165177,31309,2020-12-20
201074,2833,167357,30884,2020-12-21
203732,2877,169186,31669,2020-12-22
207007,2941,171959,32107,2020-12-23
210769,2967,174723,33079,2020-12-24
214575,3016,177637,33922,2020-12-25
218467,3062,180032,35373,2020-12-26
221412,3100,182440,35872,2020-12-27
223786,3152,184506,36128,2020-12-28
227415,3196,186790,37429,2020-12-29
231271,3243,189310,38718,2020-12-30
235811,3292,191295,41224,2020-12-31
239068,3342,193558,42168,2021-01-01
242097,3369,196264,42464,2021-01-02
245293,3429,198330,43534,2021-01-03
248625,3472,200520,44633,2021-01-04
253571,3548,203265,46758,2021-01-05
259521,3609,206883,49029,2021-01-06
267084,3674,210295,53115,2021-01-07
274947,3746,213581,57620,2021-01-08
282737,3805,217213,61719,2021-01-09
288818,3850,220380,64588,2021-01-10
293746,3898,222807,67041,2021-01-11
298321,3962,225240,69119,2021-01-12
304140,4059,228917,71164,2021-01-13
310734,4119,233509,73106,2021-01-14
317871,4204,238311,75356,2021-01-15
324942,4261,243817,76864,2021-01-16
330715,4305,248332,78078,2021-01-17
335605,4366,252631,78608,2021-01-18
340989,4680,257563,78746,2021-01-19
346508,4779,264831,76898,2021-01-20
352129,4872,273031,74226,2021-01-21
357174,4980,279058,73136,2021-01-22
361928,5063,285366,71499,2021-01-23
365899,5119,290386,70394,2021-01-24
368684,5193,290386,73105,2021-01-25
372545,5298,301384,65863,2021-01-26
376482,5388,308008,63086,2021-01-27
380644,5503,314278,60863,2021-01-28
384180,5597,320092,58491,2021-01-29
387499,5688,325436,56375,2021-01-30
390166,5753,325436,58977,2021-01-31
391956,5833,333969,52154,2021-02-01
394269,5952,339221,49096,2021-02-02
