Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
4,0,0,4,2020-03-13
6,0,0,6,2020-03-14
9,0,0,9,2020-03-15
10,0,0,10,2020-03-16
33,0,0,33,2020-03-17
35,0,0,35,2020-03-18
44,0,0,44,2020-03-19
49,0,0,49,2020-03-20
53,0,0,53,2020-03-21
61,0,0,61,2020-03-22
62,0,0,62,2020-03-23
72,0,0,72,2020-03-24
81,0,0,81,2020-03-25
111,1,2,108,2020-03-26
150,1,3,146,2020-03-27
228,1,16,211,2020-03-28
284,1,20,263,2020-03-29
302,1,21,280,2020-03-30
343,2,24,317,2020-03-31
380,3,26,351,2020-04-01
435,3,27,405,2020-04-02
464,6,29,429,2020-04-03
531,5,36,490,2020-04-04
584,6,42,536,2020-04-05
662,6,46,610,2020-04-06
697,6,51,640,2020-04-07
727,7,54,666,2020-04-08
781,8,60,713,2020-04-09
812,10,64,738,2020-04-10
865,10,81,774,2020-04-11
951,10,99,842,2020-04-12
1091,12,138,941,2020-04-13
1232,14,203,1015,2020-04-14
1295,16,240,1039,2020-04-15
1402,17,277,1108,2020-04-16
1546,17,347,1182,2020-04-17
1615,17,377,1221,2020-04-18
1676,17,400,1259,2020-04-19
1852,19,447,1386,2020-04-20
1995,19,489,1487,2020-04-21
2135,19,515,1601,2020-04-22
2289,20,560,1709,2020-04-23
2482,25,604,1853,2020-04-24
2601,25,646,1930,2020-04-25
2717,25,682,2010,2020-04-26
2835,25,720,2090,2020-04-27
3027,25,774,2228,2020-04-28
3138,25,819,2294,2020-04-29
3402,25,866,2511,2020-04-30
3597,25,922,2650,2020-05-01
3857,25,985,2847,2020-05-02
3920,27,1084,2809,2020-05-03
4049,29,1173,2847,2020-05-04
4205,29,1279,2897,2020-05-05
4422,30,1408,2984,2020-05-06
4578,30,1518,3030,2020-05-07
4834,31,1631,3172,2020-05-08
4975,31,1776,3168,2020-05-09
5090,31,1941,3118,2020-05-10
5207,32,2074,3101,2020-05-11
5279,32,2223,3024,2020-05-12
5417,32,2408,2977,2020-05-13
5571,32,2531,3008,2020-05-14
5689,34,2707,2948,2020-05-15
5850,34,2980,2836,2020-05-16
6157,34,3256,2867,2020-05-17
6751,35,3469,3247,2020-05-18
6751,35,3598,3118,2020-05-19
6969,35,3734,3200,2020-05-20
7234,35,3843,3356,2020-05-21
7919,35,4096,3788,2020-05-22
7919,35,4214,3670,2020-05-23
8531,35,4352,4144,2020-05-24
8969,35,4515,4419,2020-05-25
8969,37,4613,4319,2020-05-26
9304,37,4768,4499,2020-05-27
9576,37,4900,4639,2020-05-28
9932,37,5057,4838,2020-05-29
10382,38,5220,5124,2020-05-30
10858,40,5404,5414,2020-05-31
11308,41,5587,5680,2020-06-01
11571,44,5941,5586,2020-06-02
