Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
1,0,0,1,2020-03-13
1,0,0,1,2020-03-14
3,0,0,3,2020-03-15
3,0,0,3,2020-03-16
3,0,0,3,2020-03-17
3,0,0,3,2020-03-18
7,0,0,7,2020-03-19
7,0,0,7,2020-03-20
7,0,0,7,2020-03-21
15,0,0,15,2020-03-22
16,0,0,16,2020-03-23
25,0,0,25,2020-03-24
28,0,1,27,2020-03-25
31,1,1,29,2020-03-26
31,1,1,29,2020-03-27
38,1,1,36,2020-03-28
42,1,1,40,2020-03-29
50,1,1,48,2020-03-30
59,1,1,57,2020-03-31
81,1,3,77,2020-04-01
110,3,4,103,2020-04-02
122,4,4,114,2020-04-03
126,4,4,118,2020-04-04
142,4,4,134,2020-04-05
158,6,4,148,2020-04-06
172,6,7,159,2020-04-07
179,6,9,164,2020-04-08
184,7,12,165,2020-04-09
189,7,22,160,2020-04-10
191,7,24,160,2020-04-11
197,8,25,164,2020-04-12
208,9,40,159,2020-04-13
216,9,41,166,2020-04-14
225,10,53,162,2020-04-15
234,11,53,170,2020-04-16
246,11,53,182,2020-04-17
262,12,60,190,2020-04-18
270,14,67,189,2020-04-19
281,14,69,198,2020-04-20
296,14,74,208,2020-04-21
303,14,74,215,2020-04-22
320,14,89,217,2020-04-23
336,14,94,228,2020-04-24
343,14,98,231,2020-04-25
355,14,106,235,2020-04-26
363,14,114,235,2020-04-27
374,14,124,236,2020-04-28
384,15,129,240,2020-04-29
396,17,144,235,2020-04-30
411,21,150,240,2020-05-01
435,22,152,261,2020-05-02
465,24,167,274,2020-05-03
490,24,173,293,2020-05-04
535,24,182,329,2020-05-05
582,26,190,366,2020-05-06
607,29,197,381,2020-05-07
621,29,202,390,2020-05-08
649,30,207,412,2020-05-09
672,32,239,401,2020-05-10
700,33,251,416,2020-05-11
715,36,259,420,2020-05-12
737,40,281,416,2020-05-13
758,42,284,432,2020-05-14
781,45,284,452,2020-05-15
830,50,301,479,2020-05-16
887,50,313,524,2020-05-17
912,50,336,526,2020-05-18
963,50,358,555,2020-05-19
1029,50,366,613,2020-05-20
1109,50,375,684,2020-05-21
1161,50,380,731,2020-05-22
1192,50,380,762,2020-05-23
1214,51,383,780,2020-05-24
1286,52,402,832,2020-05-25
1348,52,405,891,2020-05-26
1471,55,408,1008,2020-05-27
1618,58,421,1139,2020-05-28
1745,62,438,1245,2020-05-29
1888,63,464,1361,2020-05-30
1962,64,478,1420,2020-05-31
2021,69,482,1470,2020-06-01
2093,71,499,1523,2020-06-02
2216,74,553,1589,2020-06-03
2340,78,592,1670,2020-06-04
2474,79,643,1752,2020-06-05
2600,83,706,1811,2020-06-06
2767,84,752,1931,2020-06-07
2872,85,849,1938,2020-06-08
2989,88,873,2028,2020-06-09
