Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
2,0,0,2,2020-03-08
6,0,0,6,2020-03-09
8,0,1,7,2020-03-10
10,0,1,9,2020-03-11
10,0,1,9,2020-03-12
17,0,1,16,2020-03-13
26,0,1,25,2020-03-14
30,0,1,29,2020-03-15
34,0,1,33,2020-03-16
49,0,1,48,2020-03-17
71,0,1,70,2020-03-18
86,0,1,85,2020-03-19
111,0,1,110,2020-03-20
124,0,1,123,2020-03-21
139,0,1,138,2020-03-22
180,0,1,179,2020-03-23
197,0,1,196,2020-03-24
221,0,1,220,2020-03-25
244,0,1,243,2020-03-26
280,0,1,279,2020-03-27
305,0,1,304,2020-03-28
347,0,1,346,2020-03-29
376,0,1,375,2020-03-30
398,0,1,397,2020-03-31
446,0,1,445,2020-04-01
458,0,31,427,2020-04-02
493,1,1,491,2020-04-03
509,1,1,507,2020-04-04
533,1,1,531,2020-04-05
542,1,16,525,2020-04-06
548,2,16,530,2020-04-07
577,2,16,559,2020-04-08
589,3,16,570,2020-04-09
612,3,16,593,2020-04-10
630,3,16,611,2020-04-11
651,5,16,630,2020-04-12
655,5,16,634,2020-04-13
657,5,16,636,2020-04-14
666,5,44,617,2020-04-15
675,5,57,613,2020-04-16
682,5,88,589,2020-04-17
712,5,88,619,2020-04-18
727,5,88,634,2020-04-19
739,5,88,646,2020-04-20
748,9,133,606,2020-04-21
761,11,133,617,2020-04-22
778,11,133,634,2020-04-23
784,12,267,505,2020-04-24
804,12,267,525,2020-04-25
812,12,267,533,2020-04-26
818,13,267,538,2020-04-27
836,13,267,556,2020-04-28
849,15,348,486,2020-04-29
858,15,348,495,2020-04-30
870,16,348,506,2020-05-01
871,16,348,507,2020-05-02
879,16,348,515,2020-05-03
896,16,348,532,2020-05-04
896,17,348,531,2020-05-05
900,17,464,419,2020-05-06
909,18,464,427,2020-05-07
928,18,464,446,2020-05-08
930,18,464,448,2020-05-09
939,18,464,457,2020-05-10
946,18,464,464,2020-05-11
950,18,627,305,2020-05-12
951,19,627,305,2020-05-13
962,19,627,316,2020-05-14
970,19,662,289,2020-05-15
997,19,662,316,2020-05-16
1008,19,662,327,2020-05-17
1009,19,662,328,2020-05-18
1012,21,694,297,2020-05-19
1016,21,694,301,2020-05-20
1025,22,694,309,2020-05-21
1030,22,712,296,2020-05-22
1046,22,712,312,2020-05-23
1047,22,712,313,2020-05-24
1049,22,712,315,2020-05-25
1053,22,741,290,2020-05-26
1057,23,741,293,2020-05-27
1061,24,741,296,2020-05-28
1064,24,745,295,2020-05-29
1065,24,745,296,2020-05-30
1066,24,745,297,2020-05-31
1066,24,745,297,2020-06-01
1071,24,760,287,2020-06-02
1079,24,760,295,2020-06-03
1082,25,760,297,2020-06-04
1085,25,781,279,2020-06-05
1086,25,781,280,2020-06-06
1088,25,781,282,2020-06-07
1088,26,781,281,2020-06-08
1089,26,794,269,2020-06-09
