Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,1,2020-02-28
1,0,0,1,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
3,0,0,3,2020-03-11
3,0,0,3,2020-03-12
4,0,0,6,2020-03-13
6,0,1,8,2020-03-14
9,0,1,11,2020-03-15
12,0,1,16,2020-03-16
19,0,1,24,2020-03-17
27,0,1,26,2020-03-18
36,0,0,35,2020-03-19
47,0,0,48,2020-03-20
69,0,0,81,2020-03-21
111,0,0,141,2020-03-22
128,0,0,177,2020-03-23
166,1,0,206,2020-03-24
208,2,0,269,2020-03-25
263,3,0,294,2020-03-26
292,4,0,352,2020-03-27
339,4,0,386,2020-03-28
378,4,0,452,2020-03-29
424,4,0,477,2020-03-30
468,4,0,522,2020-03-31
512,6,0,566,2020-04-01
579,6,0,633,2020-04-02
631,6,0,680,2020-04-03
683,7,0,753,2020-04-04
716,8,0,791,2020-04-05
750,10,0,820,2020-04-06
783,11,0,857,2020-04-07
821,11,1,889,2020-04-08
858,11,2,931,2020-04-09
896,12,2,923,2020-04-10
926,13,2,949,2020-04-11
952,14,2,933,2020-04-12
970,15,5,937,2020-04-13
977,16,7,940,2020-04-14
995,20,9,923,2020-04-15
1022,20,16,918,2020-04-16
1050,21,41,906,2020-04-17
1091,22,66,978,2020-04-18
1153,23,98,1021,2020-04-19
1173,26,122,1047,2020-04-20
1226,26,179,1014,2020-04-21
1250,27,195,975,2020-04-22
1272,27,236,959,2020-04-23
1291,28,270,940,2020-04-24
1301,29,287,925,2020-04-25
1316,31,365,930,2020-04-26
1328,32,408,934,2020-04-27
1337,32,474,764,2020-04-28
1364,32,530,767,2020-04-29
1375,32,577,751,2020-04-30
1389,32,615,760,2020-05-01
1394,33,644,728,2020-05-02
1399,33,686,729,2020-05-03
1407,33,715,735,2020-05-04
1410,33,761,699,2020-05-05
1416,34,804,662,2020-05-06
1421,35,858,645,2020-05-07
1430,35,888,622,2020-05-08
1459,35,905,567,2020-05-09
1471,36,927,601,2020-05-10
1479,36,946,602,2020-05-11
1488,39,969,591,2020-05-12
1502,39,989,543,2020-05-13
1511,39,1049,523,2020-05-14
1521,41,1096,504,2020-05-15
1536,42,1119,491,2020-05-16
1545,43,1134,488,2020-05-17
1551,45,1156,491,2020-05-18
1559,45,1174,477,2020-05-19
1580,46,1181,468,2020-05-20
1592,46,1189,483,2020-05-21
1598,46,1198,432,2020-05-22
1612,47,1209,418,2020-05-23
1618,48,1212,422,2020-05-24
1628,49,1241,434,2020-05-25
1632,51,1256,409,2020-05-26
1640,51,1260,397,2020-05-27
1649,52,1266,395,2020-05-28
1654,52,1269,378,2020-05-29
1662,54,1274,371,2020-05-30
1667,54,1279,369,2020-05-31
1671,55,1283,372,2020-06-01
1676,55,1291,362,2020-06-02
1679,55,1302,353,2020-06-03
1684,55,1319,343,2020-06-04
1689,55,1325,321,2020-06-05
1700,55,1333,313,2020-06-06
