Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
1,0,0,1,2020-02-29
1,0,0,1,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
2,0,0,2,2020-03-06
2,0,0,2,2020-03-07
3,0,0,3,2020-03-08
3,0,0,3,2020-03-09
5,0,0,5,2020-03-10
7,0,0,7,2020-03-11
19,0,0,19,2020-03-12
34,0,0,34,2020-03-13
51,1,0,50,2020-03-14
59,1,0,58,2020-03-15
77,1,0,76,2020-03-16
140,1,0,139,2020-03-17
203,2,0,201,2020-03-18
335,4,0,331,2020-03-19
484,4,0,480,2020-03-20
670,8,0,662,2020-03-21
798,8,6,784,2020-03-22
875,8,6,861,2020-03-23
1099,8,6,1085,2020-03-24
1333,8,6,1319,2020-03-25
1453,9,6,1438,2020-03-26
1605,15,40,1550,2020-03-27
1831,18,40,1773,2020-03-28
1950,21,40,1889,2020-03-29
1988,22,40,1926,2020-03-30
2178,23,80,2075,2020-03-31
2319,29,80,2210,2020-04-01
2487,30,80,2377,2020-04-02
2612,31,500,2081,2020-04-03
2729,31,500,2198,2020-04-04
2804,36,500,2268,2020-04-05
2843,41,500,2302,2020-04-06
2970,44,500,2426,2020-04-07
3034,46,500,2488,2020-04-08
3115,52,500,2563,2020-04-09
3223,54,500,2669,2020-04-10
3270,62,500,2708,2020-04-11
3281,66,500,2715,2020-04-12
3292,69,500,2723,2020-04-13
3307,67,500,2740,2020-04-14
3373,69,526,2778,2020-04-15
3444,69,552,2823,2020-04-16
3480,72,579,2829,2020-04-17
3537,72,601,2864,2020-04-18
3550,73,627,2850,2020-04-19
3558,75,637,2846,2020-04-20
3618,78,670,2870,2020-04-21
3654,80,711,2863,2020-04-22
3665,83,728,2854,2020-04-23
3695,85,3007,603,2020-04-24
3711,85,3088,538,2020-04-25
3723,88,3104,531,2020-04-26
3729,88,3123,518,2020-04-27
3741,89,3123,529,2020-04-28
3769,89,3134,546,2020-04-29
3784,90,3213,481,2020-04-30
3802,92,3213,497,2020-05-01
3812,92,3318,402,2020-05-02
3824,96,3379,349,2020-05-03
3828,96,3405,327,2020-05-04
3840,96,3412,332,2020-05-05
3851,98,3452,301,2020-05-06
3859,100,3505,254,2020-05-07
3871,100,3526,245,2020-05-08
3877,101,3550,226,2020-05-09
3886,101,3586,199,2020-05-10
3888,101,3602,185,2020-05-11
3894,102,3610,182,2020-05-12
3904,103,3629,172,2020-05-13
3915,103,3665,147,2020-05-14
3923,104,3682,137,2020-05-15
3930,104,3699,127,2020-05-16
3945,107,3702,136,2020-05-17
3947,107,3715,125,2020-05-18
3958,109,3718,131,2020-05-19
3971,109,3728,134,2020-05-20
3980,109,3741,130,2020-05-21
3981,109,3748,124,2020-05-22
3990,109,3758,123,2020-05-23
3992,110,3767,115,2020-05-24
3993,110,3781,102,2020-05-25
3995,110,3783,102,2020-05-26
4001,110,3791,100,2020-05-27
4008,110,3803,95,2020-05-28
4012,110,3815,87,2020-05-29
4016,110,3815,91,2020-05-30
4018,110,3833,75,2020-05-31
4019,110,3845,64,2020-06-01
