Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
3,0,0,3,2020-03-20
3,0,0,3,2020-03-21
3,0,0,3,2020-03-22
12,0,0,12,2020-03-23
17,0,0,17,2020-03-24
19,0,0,19,2020-03-25
23,0,0,23,2020-03-26
26,0,0,26,2020-03-27
26,0,0,26,2020-03-28
39,0,0,39,2020-03-29
43,0,0,43,2020-03-30
57,0,0,57,2020-03-31
57,0,0,57,2020-04-01
59,0,0,59,2020-04-02
70,0,0,70,2020-04-03
70,0,0,70,2020-04-04
72,0,2,70,2020-04-05
82,0,2,80,2020-04-06
88,0,7,81,2020-04-07
93,0,11,82,2020-04-08
93,0,11,82,2020-04-09
93,0,11,82,2020-04-10
102,0,11,91,2020-04-11
106,0,20,86,2020-04-12
106,0,21,85,2020-04-13
108,0,23,85,2020-04-14
110,0,29,81,2020-04-15
111,0,33,78,2020-04-16
117,0,33,84,2020-04-17
120,0,35,85,2020-04-18
121,0,39,82,2020-04-19
121,0,41,80,2020-04-20
121,0,44,77,2020-04-21
121,0,52,69,2020-04-22
121,0,58,63,2020-04-23
122,0,61,61,2020-04-24
123,0,62,61,2020-04-25
124,0,71,53,2020-04-26
128,0,75,53,2020-04-27
128,0,82,46,2020-04-28
128,0,90,38,2020-04-29
128,0,92,36,2020-04-30
132,0,94,38,2020-05-01
135,0,97,38,2020-05-02
149,0,98,51,2020-05-03
149,0,99,50,2020-05-04
151,0,101,50,2020-05-05
158,0,101,57,2020-05-06
193,0,101,92,2020-05-07
193,0,101,92,2020-05-08
193,0,101,92,2020-05-09
193,0,101,92,2020-05-10
186,0,101,85,2020-05-11
186,0,101,85,2020-05-12
212,0,107,105,2020-05-13
230,0,108,122,2020-05-14
238,0,112,126,2020-05-15
283,0,114,169,2020-05-16
304,1,114,189,2020-05-17
322,1,119,202,2020-05-18
326,2,119,205,2020-05-19
371,2,131,238,2020-05-20
405,2,131,272,2020-05-21
448,2,135,311,2020-05-22
488,2,138,348,2020-05-23
527,2,142,383,2020-05-24
542,2,147,393,2020-05-25
586,2,147,437,2020-05-26
612,2,151,459,2020-05-27
656,2,154,500,2020-05-28
698,5,164,529,2020-05-29
758,6,165,587,2020-05-30
771,6,168,597,2020-05-31
826,6,174,646,2020-06-01
845,6,185,654,2020-06-02
908,6,195,707,2020-06-03
957,7,200,750,2020-06-04
975,7,201,767,2020-06-05
1026,8,212,806,2020-06-06
1052,9,233,810,2020-06-07
1094,9,254,831,2020-06-08
1138,9,274,855,2020-06-09
1162,10,296,856,2020-06-10
