Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
0,0,0,0,2020-03-31
0,0,0,0,2020-04-01
3,0,0,3,2020-04-02
3,0,0,3,2020-04-03
4,0,0,4,2020-04-04
4,0,0,4,2020-04-05
5,0,0,5,2020-04-06
8,1,0,7,2020-04-07
8,1,0,7,2020-04-08
8,1,0,7,2020-04-09
9,1,0,8,2020-04-10
12,2,0,10,2020-04-11
13,2,0,11,2020-04-12
16,2,0,14,2020-04-13
16,2,0,14,2020-04-14
16,2,0,14,2020-04-15
16,2,0,14,2020-04-16
17,2,3,12,2020-04-17
17,2,3,12,2020-04-18
17,2,3,12,2020-04-19
17,2,3,12,2020-04-20
18,2,3,13,2020-04-21
23,3,3,17,2020-04-22
33,3,3,27,2020-04-23
33,3,4,26,2020-04-24
33,3,4,26,2020-04-25
34,3,4,27,2020-04-26
36,3,4,29,2020-04-27
36,3,5,28,2020-04-28
36,3,7,26,2020-04-29
37,3,7,27,2020-04-30
37,3,9,25,2020-05-01
38,3,9,26,2020-05-02
39,3,9,27,2020-05-03
41,3,9,29,2020-05-04
41,3,9,29,2020-05-05
43,3,9,31,2020-05-06
43,3,14,26,2020-05-07
43,3,14,26,2020-05-08
56,3,14,39,2020-05-09
56,3,14,39,2020-05-10
57,3,24,30,2020-05-11
57,3,24,30,2020-05-12
63,3,24,36,2020-05-13
63,3,24,36,2020-05-14
63,3,24,36,2020-05-15
65,3,24,38,2020-05-16
70,3,27,40,2020-05-17
70,3,27,40,2020-05-18
70,3,27,40,2020-05-19
71,3,27,41,2020-05-20
72,3,27,42,2020-05-21
82,3,28,51,2020-05-22
82,3,28,51,2020-05-23
83,4,33,46,2020-05-24
101,4,33,64,2020-05-25
101,4,37,60,2020-05-26
101,4,37,60,2020-05-27
203,4,37,162,2020-05-28
273,4,42,227,2020-05-29
279,4,42,233,2020-05-30
284,4,42,238,2020-05-31
336,4,42,290,2020-06-01
358,4,42,312,2020-06-02
369,4,51,314,2020-06-03
393,4,51,338,2020-06-04
409,4,55,350,2020-06-05
409,4,55,350,2020-06-06
438,4,55,379,2020-06-07
443,4,55,384,2020-06-08
455,4,55,396,2020-06-09
455,4,55,396,2020-06-10
481,4,55,422,2020-06-11
