Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
4,0,0,4,2020-03-08
4,0,0,4,2020-03-09
6,0,0,6,2020-03-10
8,0,0,8,2020-03-11
8,0,0,8,2020-03-12
9,0,0,9,2020-03-13
10,0,0,10,2020-03-14
13,0,0,13,2020-03-15
13,0,0,13,2020-03-16
13,0,0,13,2020-03-17
13,0,0,13,2020-03-18
13,0,0,13,2020-03-19
13,0,0,13,2020-03-20
13,0,0,13,2020-03-21
13,0,0,13,2020-03-22
13,0,0,13,2020-03-23
13,0,5,8,2020-03-24
13,0,8,5,2020-03-25
13,0,8,5,2020-03-26
16,0,9,7,2020-03-27
16,0,9,7,2020-03-28
17,0,13,4,2020-03-29
17,0,13,4,2020-03-30
18,0,13,5,2020-03-31
19,0,13,6,2020-04-01
19,0,13,6,2020-04-02
19,0,13,6,2020-04-03
19,0,13,6,2020-04-04
19,0,13,6,2020-04-05
19,0,13,6,2020-04-06
19,0,13,6,2020-04-07
19,0,13,6,2020-04-08
19,0,13,6,2020-04-09
19,0,13,6,2020-04-10
19,0,13,6,2020-04-11
20,0,14,6,2020-04-12
20,0,14,6,2020-04-13
20,0,16,4,2020-04-14
22,0,16,6,2020-04-15
25,0,16,9,2020-04-16
28,0,16,12,2020-04-17
35,0,16,19,2020-04-18
52,0,16,36,2020-04-19
69,0,16,53,2020-04-20
83,0,16,67,2020-04-21
86,0,16,70,2020-04-22
108,0,16,92,2020-04-23
129,0,16,113,2020-04-24
177,0,17,160,2020-04-25
214,0,17,197,2020-04-26
226,0,17,209,2020-04-27
250,0,17,233,2020-04-28
278,1,17,260,2020-04-29
468,1,17,450,2020-04-30
491,1,17,473,2020-05-01
519,1,18,500,2020-05-02
527,1,18,508,2020-05-03
541,1,18,522,2020-05-04
573,2,20,551,2020-05-05
617,2,20,595,2020-05-06
648,3,20,625,2020-05-07
744,3,20,721,2020-05-08
790,3,29,758,2020-05-09
835,3,29,803,2020-05-10
897,3,29,865,2020-05-11
904,3,29,872,2020-05-12
955,4,40,911,2020-05-13
982,4,45,933,2020-05-14
1031,4,49,978,2020-05-15
1078,4,58,1016,2020-05-16
1094,4,58,1032,2020-05-17
1106,4,58,1044,2020-05-18
1143,4,91,1048,2020-05-19
1186,4,91,1091,2020-05-20
1216,4,91,1121,2020-05-21
1274,4,109,1161,2020-05-22
1313,4,128,1181,2020-05-23
1371,4,144,1223,2020-05-24
1395,4,155,1236,2020-05-25
1438,5,197,1236,2020-05-26
1457,5,197,1255,2020-05-27
1513,5,197,1311,2020-05-28
1591,5,197,1389,2020-05-29
1672,5,406,1261,2020-05-30
1773,5,453,1315,2020-05-31
1829,6,488,1335,2020-06-01
1841,7,608,1226,2020-06-02
1850,7,644,1199,2020-06-03
1872,7,648,1217,2020-06-04
1883,7,717,1159,2020-06-05
1901,8,763,1130,2020-06-06
1903,8,827,1068,2020-06-07
1916,8,925,983,2020-06-08
