Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
2,0,0,2,2020-03-25
4,0,0,4,2020-03-26
11,0,0,11,2020-03-27
18,0,0,18,2020-03-28
18,1,0,17,2020-03-29
25,2,0,23,2020-03-30
28,2,0,26,2020-03-31
31,3,0,28,2020-04-01
36,3,0,33,2020-04-02
39,3,0,36,2020-04-03
41,3,1,37,2020-04-04
45,5,1,39,2020-04-05
47,5,9,33,2020-04-06
56,5,12,39,2020-04-07
59,7,16,36,2020-04-08
74,7,22,45,2020-04-09
87,7,22,58,2020-04-10
87,7,22,58,2020-04-11
105,9,22,74,2020-04-12
123,10,26,87,2020-04-13
144,13,34,97,2020-04-14
148,13,34,101,2020-04-15
171,13,34,124,2020-04-16
171,13,34,124,2020-04-17
216,13,41,162,2020-04-18
224,14,42,168,2020-04-19
246,14,56,176,2020-04-20
258,14,57,187,2020-04-21
293,17,73,203,2020-04-22
309,21,77,211,2020-04-23
325,21,87,217,2020-04-24
370,21,91,258,2020-04-25
389,23,112,254,2020-04-26
408,23,113,272,2020-04-27
424,24,122,278,2020-04-28
482,25,129,328,2020-04-29
490,26,135,329,2020-04-30
508,26,196,286,2020-05-01
544,26,206,312,2020-05-02
563,27,213,323,2020-05-03
580,29,223,328,2020-05-04
612,32,228,352,2020-05-05
631,32,261,338,2020-05-06
650,32,271,347,2020-05-07
668,35,285,348,2020-05-08
692,37,298,357,2020-05-09
704,38,351,315,2020-05-10
712,39,377,296,2020-05-11
730,40,398,292,2020-05-12
758,44,412,302,2020-05-13
779,46,436,297,2020-05-14
806,46,455,305,2020-05-15
835,48,479,308,2020-05-16
860,52,494,314,2020-05-17
874,52,512,310,2020-05-18
901,53,529,319,2020-05-19
931,55,543,333,2020-05-20
947,60,558,329,2020-05-21
969,62,560,347,2020-05-22
1015,63,574,378,2020-05-23
1030,65,597,368,2020-05-24
1059,67,604,388,2020-05-25
1077,70,617,390,2020-05-26
1116,70,632,414,2020-05-27
1194,72,652,470,2020-05-28
1226,73,669,484,2020-05-29
1250,76,696,478,2020-05-30
1265,77,716,472,2020-05-31
1315,78,744,493,2020-06-01
1351,78,769,504,2020-06-02
1386,79,788,519,2020-06-03
1461,85,806,570,2020-06-04
1485,87,816,582,2020-06-05
1523,90,845,588,2020-06-06
1533,90,873,570,2020-06-07
1547,92,916,539,2020-06-08
1586,94,931,561,2020-06-09
1667,96,948,623,2020-06-10
