Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
3,0,0,3,2020-03-07
3,0,0,3,2020-03-08
3,0,0,3,2020-03-09
5,0,0,5,2020-03-10
6,0,0,6,2020-03-11
6,0,0,6,2020-03-12
12,0,1,11,2020-03-13
18,0,1,17,2020-03-14
21,0,1,20,2020-03-15
30,0,2,28,2020-03-16
38,0,2,36,2020-03-17
38,0,2,36,2020-03-18
53,0,2,51,2020-03-19
64,0,2,62,2020-03-20
73,0,2,71,2020-03-21
90,0,2,88,2020-03-22
107,0,2,105,2020-03-23
110,0,2,108,2020-03-24
129,0,2,127,2020-03-25
134,0,2,132,2020-03-26
139,0,2,137,2020-03-27
149,0,2,147,2020-03-28
151,0,2,149,2020-03-29
156,0,2,154,2020-03-30
169,0,2,167,2020-03-31
188,0,2,186,2020-04-01
196,0,2,194,2020-04-02
202,0,2,200,2020-04-03
213,0,2,211,2020-04-04
227,0,5,222,2020-04-05
241,0,5,236,2020-04-06
293,0,5,288,2020-04-07
299,1,16,282,2020-04-08
337,2,16,319,2020-04-09
350,2,16,332,2020-04-10
370,3,16,351,2020-04-11
378,3,44,331,2020-04-12
384,3,44,337,2020-04-13
393,3,44,346,2020-04-14
399,3,44,352,2020-04-15
412,3,82,327,2020-04-16
422,3,91,328,2020-04-17
426,3,99,324,2020-04-18
427,3,118,306,2020-04-19
431,3,126,302,2020-04-20
443,3,150,290,2020-04-21
444,3,165,276,2020-04-22
445,3,204,238,2020-04-23
447,3,223,221,2020-04-24
448,4,249,195,2020-04-25
448,4,282,162,2020-04-26
450,4,286,160,2020-04-27
458,4,303,151,2020-04-28
463,4,339,120,2020-04-29
465,4,351,110,2020-04-30
467,4,383,80,2020-05-01
468,4,379,85,2020-05-02
477,4,392,81,2020-05-03
480,4,399,77,2020-05-04
482,5,403,74,2020-05-05
484,5,407,72,2020-05-06
486,5,413,68,2020-05-07
489,5,419,65,2020-05-08
490,5,427,58,2020-05-09
496,5,433,58,2020-05-10
503,5,434,64,2020-05-11
506,5,434,67,2020-05-12
508,6,436,66,2020-05-13
522,6,443,73,2020-05-14
532,6,458,68,2020-05-15
546,6,450,90,2020-05-16
553,6,454,93,2020-05-17
558,6,456,96,2020-05-18
569,6,460,103,2020-05-19
584,6,465,113,2020-05-20
599,6,468,125,2020-05-21
600,6,469,125,2020-05-22
609,6,473,130,2020-05-23
610,6,476,128,2020-05-24
611,6,485,120,2020-05-25
611,6,485,120,2020-05-26
612,7,491,114,2020-05-27
616,7,501,108,2020-05-28
616,9,514,93,2020-05-29
618,9,525,84,2020-05-30
618,9,534,75,2020-05-31
619,9,537,73,2020-06-01
620,9,554,57,2020-06-02
622,9,562,51,2020-06-03
622,9,576,37,2020-06-04
625,9,583,33,2020-06-05
627,9,596,22,2020-06-06
629,9,596,24,2020-06-07
630,9,596,25,2020-06-08
632,9,597,26,2020-06-09
635,9,597,29,2020-06-10
640,9,600,31,2020-06-11
