Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
3,0,0,3,2020-03-10
3,0,0,3,2020-03-11
3,0,0,3,2020-03-12
6,0,0,6,2020-03-13
12,0,0,12,2020-03-14
23,0,0,23,2020-03-15
23,0,0,23,2020-03-16
30,0,1,29,2020-03-17
30,1,1,28,2020-03-18
49,1,1,47,2020-03-19
66,1,1,64,2020-03-20
80,1,1,78,2020-03-21
94,1,1,92,2020-03-22
109,1,1,107,2020-03-23
125,1,2,122,2020-03-24
149,1,2,146,2020-03-25
177,1,2,174,2020-03-26
199,2,2,195,2020-03-27
231,2,2,227,2020-03-28
263,2,2,259,2020-03-29
298,2,15,281,2020-03-30
353,4,18,331,2020-03-31
423,5,23,395,2020-04-01
505,6,23,476,2020-04-02
591,8,26,557,2020-04-03
752,12,29,711,2020-04-04
864,15,30,819,2020-04-05
965,19,37,909,2020-04-06
1056,22,40,994,2020-04-07
1174,27,40,1107,2020-04-08
1289,29,50,1210,2020-04-09
1438,29,56,1353,2020-04-10
1560,30,75,1455,2020-04-11
1662,31,94,1537,2020-04-12
1712,35,107,1570,2020-04-13
1934,40,134,1760,2020-04-14
2049,46,171,1832,2020-04-15
2154,54,235,1865,2020-04-16
2264,56,276,1932,2020-04-17
2378,57,391,1930,2020-04-18
2472,67,457,1948,2020-04-19
2548,70,457,2021,2020-04-20
2614,72,505,2037,2020-04-21
2778,75,560,2143,2020-04-22
2926,80,661,2185,2020-04-23
3110,84,755,2271,2020-04-24
3304,94,825,2385,2020-04-25
3408,96,895,2417,2020-04-26
3481,102,925,2454,2020-04-27
3638,103,975,2560,2020-04-28
3771,111,1114,2546,2020-04-29
3897,116,1182,2599,2020-04-30
3980,122,1272,2586,2020-05-01
4052,124,1334,2594,2020-05-02
4121,125,1382,2614,2020-05-03
4248,132,1423,2693,2020-05-04
4363,136,1544,2683,2020-05-05
4476,143,1658,2675,2020-05-06
4605,145,1747,2713,2020-05-07
4728,150,1826,2752,2020-05-08
4867,161,1925,2781,2020-05-09
4927,169,1958,2800,2020-05-10
4995,175,1980,2840,2020-05-11
5154,182,2069,2903,2020-05-12
5406,185,2176,3045,2020-05-13
5553,194,2228,3131,2020-05-14
5745,202,2228,3315,2020-05-15
5934,207,2344,3383,2020-05-16
6060,211,2344,3505,2020-05-17
6138,217,2425,3496,2020-05-18
6340,221,2508,3611,2020-05-19
6553,228,2953,3372,2020-05-20
6704,233,2953,3518,2020-05-21
6847,237,3369,3241,2020-05-22
6994,242,3452,3300,2020-05-23
7093,250,3713,3130,2020-05-24
7147,261,3802,3084,2020-05-25
7305,267,3884,3154,2020-05-26
7537,274,3884,3379,2020-05-27
7725,282,4123,3320,2020-05-28
7896,288,4278,3330,2020-05-29
8098,291,4455,3352,2020-05-30
8251,295,4581,3375,2020-05-31
8360,305,4622,3433,2020-06-01
