Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
2,0,0,2,2020-03-17
2,0,0,2,2020-03-18
3,0,0,3,2020-03-19
14,0,0,14,2020-03-20
14,0,0,14,2020-03-21
21,0,0,21,2020-03-22
27,1,0,26,2020-03-23
47,1,0,46,2020-03-24
52,1,0,51,2020-03-25
69,1,0,68,2020-03-26
82,1,0,81,2020-03-27
84,1,0,83,2020-03-28
85,1,0,84,2020-03-29
91,1,0,90,2020-03-30
109,2,0,107,2020-03-31
123,2,0,121,2020-04-01
144,2,0,142,2020-04-02
174,2,1,171,2020-04-03
201,2,1,198,2020-04-04
214,2,1,211,2020-04-05
233,2,1,230,2020-04-06
241,2,4,235,2020-04-07
248,2,4,242,2020-04-08
252,2,4,246,2020-04-09
255,2,4,249,2020-04-10
263,2,5,256,2020-04-11
272,3,5,264,2020-04-12
274,3,5,266,2020-04-13
283,4,46,233,2020-04-14
288,4,55,229,2020-04-15
303,4,55,244,2020-04-16
303,5,55,243,2020-04-17
307,5,55,247,2020-04-18
308,5,55,248,2020-04-19
312,5,88,219,2020-04-20
313,5,101,207,2020-04-21
315,5,116,194,2020-04-22
316,5,123,188,2020-04-23
319,6,123,190,2020-04-24
320,6,153,161,2020-04-25
321,7,153,161,2020-04-26
321,7,189,125,2020-04-27
321,7,199,115,2020-04-28
322,7,203,112,2020-04-29
322,7,214,101,2020-04-30
322,7,233,82,2020-05-01
322,8,245,69,2020-05-02
322,8,249,65,2020-05-03
323,8,253,62,2020-05-04
324,8,253,63,2020-05-05
324,8,261,55,2020-05-06
324,8,265,51,2020-05-07
324,8,267,49,2020-05-08
324,8,274,42,2020-05-09
324,9,290,25,2020-05-10
324,9,294,21,2020-05-11
324,9,298,17,2020-05-12
324,9,307,8,2020-05-13
324,9,309,6,2020-05-14
324,9,311,4,2020-05-15
324,9,311,4,2020-05-16
324,9,311,4,2020-05-17
324,9,311,4,2020-05-18
324,9,312,3,2020-05-19
324,9,312,3,2020-05-20
324,9,314,1,2020-05-21
324,9,314,1,2020-05-22
324,9,314,1,2020-05-23
324,9,315,0,2020-05-24
324,9,315,0,2020-05-25
324,9,315,0,2020-05-26
324,9,315,0,2020-05-27
324,9,315,0,2020-05-28
324,9,315,0,2020-05-29
324,9,315,0,2020-05-30
324,9,315,0,2020-05-31
324,9,315,0,2020-06-01
324,9,315,0,2020-06-02
324,9,315,0,2020-06-03
324,9,315,0,2020-06-04
324,9,315,0,2020-06-05
324,9,315,0,2020-06-06
324,9,315,0,2020-06-07
324,9,315,0,2020-06-08
324,9,315,0,2020-06-09
324,9,315,0,2020-06-10
324,9,315,0,2020-06-11
