Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
1,0,0,1,2020-03-03
1,0,0,1,2020-03-04
2,0,0,2,2020-03-05
2,0,0,2,2020-03-06
2,0,0,2,2020-03-07
2,0,0,2,2020-03-08
2,0,0,2,2020-03-09
3,1,0,2,2020-03-10
5,1,0,4,2020-03-11
6,1,0,5,2020-03-12
7,1,1,5,2020-03-13
17,1,1,15,2020-03-14
28,1,1,26,2020-03-15
29,1,1,27,2020-03-16
38,2,1,35,2020-03-17
49,2,1,46,2020-03-18
63,2,1,60,2020-03-19
77,3,1,73,2020-03-20
96,3,3,90,2020-03-21
115,4,3,108,2020-03-22
143,4,3,136,2020-03-23
170,5,6,159,2020-03-24
225,6,7,212,2020-03-25
275,11,8,256,2020-03-26
345,23,11,311,2020-03-27
402,25,11,366,2020-03-28
479,26,13,440,2020-03-29
556,33,15,508,2020-03-30
617,36,24,557,2020-03-31
654,39,29,586,2020-04-01
708,44,31,633,2020-04-02
791,48,57,686,2020-04-03
919,59,66,794,2020-04-04
1021,70,76,875,2020-04-05
1120,80,81,959,2020-04-06
1184,90,93,1001,2020-04-07
1275,93,97,1085,2020-04-08
1374,97,109,1168,2020-04-09
1448,107,122,1219,2020-04-10
1545,111,146,1288,2020-04-11
1661,118,177,1366,2020-04-12
1763,126,203,1434,2020-04-13
1888,126,217,1545,2020-04-14
2024,127,229,1668,2020-04-15
2283,130,249,1904,2020-04-16
2564,135,281,2148,2020-04-17
2685,137,314,2234,2020-04-18
2855,141,327,2387,2020-04-19
3046,143,350,2553,2020-04-20
3209,145,393,2671,2020-04-21
3446,149,417,2880,2020-04-22
3568,155,456,2957,2020-04-23
3758,158,486,3114,2020-04-24
3897,159,537,3201,2020-04-25
4065,161,593,3311,2020-04-26
4120,162,695,3263,2020-04-27
4252,165,778,3309,2020-04-28
4321,168,928,3225,2020-04-29
4423,170,984,3269,2020-04-30
4569,171,1083,3315,2020-05-01
4729,173,1256,3300,2020-05-02
4903,174,1438,3291,2020-05-03
5053,179,1653,3221,2020-05-04
5219,181,1838,3200,2020-05-05
5408,183,2017,3208,2020-05-06
5548,183,2179,3186,2020-05-07
5711,186,2324,3201,2020-05-08
5910,186,2461,3263,2020-05-09
6063,188,2554,3321,2020-05-10
6281,188,2811,3282,2020-05-11
6418,188,2991,3239,2020-05-12
6512,188,3131,3193,2020-05-13
6607,190,3310,3107,2020-05-14
6652,190,3400,3062,2020-05-15
6741,192,3487,3062,2020-05-16
6870,192,3660,3018,2020-05-17
6952,192,3758,3002,2020-05-18
7023,193,3901,2929,2020-05-19
7133,194,4098,2841,2020-05-20
7211,196,4280,2735,2020-05-21
7332,197,4377,2758,2020-05-22
7406,198,4638,2570,2020-05-23
7433,199,4703,2531,2020-05-24
7532,200,4774,2558,2020-05-25
7577,202,4881,2494,2020-05-26
7601,202,4978,2421,2020-05-27
7643,202,5195,2246,2020-05-28
7714,202,5271,2241,2020-05-29
7780,204,5401,2175,2020-05-30
7807,205,5459,2143,2020-05-31
7833,205,5893,1735,2020-06-01
