Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
1,0,0,1,2020-03-22
1,0,0,1,2020-03-23
3,0,0,3,2020-03-24
5,0,0,5,2020-03-25
7,0,0,7,2020-03-26
7,0,0,7,2020-03-27
8,0,0,8,2020-03-28
8,0,0,8,2020-03-29
8,0,0,8,2020-03-30
8,0,0,8,2020-03-31
10,0,0,10,2020-04-01
10,0,0,10,2020-04-02
10,0,0,10,2020-04-03
10,0,1,9,2020-04-04
10,0,1,9,2020-04-05
10,0,1,9,2020-04-06
10,0,1,9,2020-04-07
17,0,1,16,2020-04-08
17,0,1,16,2020-04-09
20,0,2,18,2020-04-10
20,0,2,18,2020-04-11
21,0,2,19,2020-04-12
21,0,2,19,2020-04-13
28,0,2,26,2020-04-14
29,0,2,27,2020-04-15
31,0,2,29,2020-04-16
34,0,2,32,2020-04-17
35,0,4,31,2020-04-18
39,0,8,31,2020-04-19
39,0,8,31,2020-04-20
39,0,8,31,2020-04-21
41,0,8,33,2020-04-22
46,0,9,37,2020-04-23
65,0,12,53,2020-04-24
70,0,12,58,2020-04-25
76,0,12,64,2020-04-26
76,0,12,64,2020-04-27
76,0,12,64,2020-04-28
76,0,12,64,2020-04-29
76,0,12,64,2020-04-30
79,0,12,67,2020-05-01
79,0,18,61,2020-05-02
80,0,19,61,2020-05-03
80,0,19,61,2020-05-04
81,0,19,62,2020-05-05
81,0,21,60,2020-05-06
81,0,24,57,2020-05-07
82,0,27,55,2020-05-08
87,0,34,53,2020-05-09
91,0,34,57,2020-05-10
103,0,34,69,2020-05-11
104,0,34,70,2020-05-12
104,0,34,70,2020-05-13
115,0,35,80,2020-05-14
119,0,42,77,2020-05-15
129,0,43,86,2020-05-16
137,0,44,93,2020-05-17
145,0,44,101,2020-05-18
146,0,44,102,2020-05-19
156,0,48,108,2020-05-20
162,0,48,114,2020-05-21
164,0,48,116,2020-05-22
168,0,48,120,2020-05-23
194,0,51,143,2020-05-24
209,1,71,137,2020-05-25
213,1,71,141,2020-05-26
227,1,71,155,2020-05-27
233,2,82,149,2020-05-28
234,2,84,148,2020-05-29
244,2,90,152,2020-05-30
254,2,91,161,2020-05-31
254,2,97,155,2020-06-01
307,2,98,207,2020-06-02
316,2,109,205,2020-06-03
352,2,114,236,2020-06-04
354,2,119,233,2020-06-05
409,2,126,281,2020-06-06
424,2,127,295,2020-06-07
433,2,131,300,2020-06-08
453,2,136,315,2020-06-09
472,2,138,332,2020-06-10
489,2,144,343,2020-06-11
