Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
8,0,0,8,2020-03-27
8,0,0,8,2020-03-28
10,0,0,10,2020-03-29
14,0,0,14,2020-03-30
15,1,0,14,2020-03-31
15,1,0,14,2020-04-01
20,1,0,19,2020-04-02
20,1,0,19,2020-04-03
21,1,0,20,2020-04-04
21,1,0,20,2020-04-05
22,1,0,21,2020-04-06
22,1,0,21,2020-04-07
22,3,0,19,2020-04-08
23,3,2,18,2020-04-09
27,3,2,22,2020-04-10
38,3,2,33,2020-04-11
41,4,2,35,2020-04-12
62,4,2,56,2020-04-13
63,4,2,57,2020-04-14
74,4,2,68,2020-04-15
85,4,2,79,2020-04-16
88,4,5,79,2020-04-17
98,5,5,88,2020-04-18
111,5,7,99,2020-04-19
119,5,7,107,2020-04-20
121,5,7,109,2020-04-21
123,5,7,111,2020-04-22
139,5,9,125,2020-04-23
144,5,9,130,2020-04-24
146,5,10,131,2020-04-25
146,5,10,131,2020-04-26
146,5,16,125,2020-04-27
150,5,16,129,2020-04-28
150,6,27,117,2020-04-29
151,6,27,118,2020-04-30
151,6,31,114,2020-05-01
151,6,37,108,2020-05-02
155,6,43,106,2020-05-03
161,6,49,106,2020-05-04
161,6,49,106,2020-05-05
161,6,50,105,2020-05-06
176,6,62,108,2020-05-07
177,6,67,104,2020-05-08
178,6,68,104,2020-05-09
180,6,72,102,2020-05-10
180,6,74,100,2020-05-11
180,6,76,98,2020-05-12
181,6,79,96,2020-05-13
181,6,84,91,2020-05-14
182,6,89,87,2020-05-15
182,6,96,80,2020-05-16
184,6,97,81,2020-05-17
191,6,101,84,2020-05-18
193,6,104,83,2020-05-19
199,6,108,85,2020-05-20
199,6,108,85,2020-05-21
199,6,116,77,2020-05-22
201,6,120,75,2020-05-23
201,6,122,73,2020-05-24
203,6,123,74,2020-05-25
206,6,124,76,2020-05-26
206,6,126,74,2020-05-27
206,6,126,74,2020-05-28
207,6,130,71,2020-05-29
224,6,130,88,2020-05-30
224,6,138,80,2020-05-31
228,6,138,84,2020-06-01
232,6,143,83,2020-06-02
233,6,145,82,2020-06-03
236,6,148,82,2020-06-04
236,6,151,79,2020-06-05
240,6,156,78,2020-06-06
242,6,156,80,2020-06-07
244,6,159,79,2020-06-08
246,6,159,81,2020-06-09
248,6,165,77,2020-06-10
260,6,165,89,2020-06-11
