Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
1,0,0,1,2020-01-25
1,0,0,1,2020-01-26
1,0,0,1,2020-01-27
1,0,0,1,2020-01-28
1,0,0,1,2020-01-29
1,0,0,1,2020-01-30
1,0,0,1,2020-01-31
1,0,0,1,2020-02-01
1,0,0,1,2020-02-02
1,0,0,1,2020-02-03
1,0,0,1,2020-02-04
1,0,0,1,2020-02-05
1,0,0,1,2020-02-06
1,0,0,1,2020-02-07
1,0,0,1,2020-02-08
1,0,0,1,2020-02-09
1,0,0,1,2020-02-10
1,0,0,1,2020-02-11
1,0,1,0,2020-02-12
1,0,1,0,2020-02-13
1,0,1,0,2020-02-14
1,0,1,0,2020-02-15
1,0,1,0,2020-02-16
1,0,1,0,2020-02-17
1,0,1,0,2020-02-18
1,0,1,0,2020-02-19
1,0,1,0,2020-02-20
1,0,1,0,2020-02-21
1,0,1,0,2020-02-22
1,0,1,0,2020-02-23
1,0,1,0,2020-02-24
1,0,1,0,2020-02-25
1,0,1,0,2020-02-26
1,0,1,0,2020-02-27
1,0,1,0,2020-02-28
1,0,1,0,2020-02-29
1,0,1,0,2020-03-01
1,0,1,0,2020-03-02
1,0,1,0,2020-03-03
1,0,1,0,2020-03-04
1,0,1,0,2020-03-05
1,0,1,0,2020-03-06
1,0,1,0,2020-03-07
1,0,1,0,2020-03-08
1,0,1,0,2020-03-09
1,0,1,0,2020-03-10
1,0,1,0,2020-03-11
1,0,1,0,2020-03-12
1,0,1,0,2020-03-13
1,0,1,0,2020-03-14
1,0,1,0,2020-03-15
1,0,1,0,2020-03-16
1,0,1,0,2020-03-17
1,0,1,0,2020-03-18
1,0,1,0,2020-03-19
1,0,1,0,2020-03-20
1,0,1,0,2020-03-21
1,0,1,0,2020-03-22
2,0,1,1,2020-03-23
2,0,1,1,2020-03-24
3,0,1,2,2020-03-25
3,0,1,2,2020-03-26
4,0,1,3,2020-03-27
5,0,1,4,2020-03-28
5,0,1,4,2020-03-29
5,0,1,4,2020-03-30
5,0,1,4,2020-03-31
5,0,1,4,2020-04-01
6,0,1,5,2020-04-02
6,0,1,5,2020-04-03
9,0,1,8,2020-04-04
9,0,1,8,2020-04-05
9,0,1,8,2020-04-06
9,0,1,8,2020-04-07
9,0,1,8,2020-04-08
9,0,1,8,2020-04-09
9,0,1,8,2020-04-10
9,0,1,8,2020-04-11
12,0,1,11,2020-04-12
14,0,1,13,2020-04-13
16,0,1,15,2020-04-14
16,0,1,15,2020-04-15
16,0,2,14,2020-04-16
30,0,2,28,2020-04-17
31,0,2,29,2020-04-18
31,0,4,27,2020-04-19
31,0,4,27,2020-04-20
43,0,4,39,2020-04-21
45,0,7,38,2020-04-22
48,0,10,38,2020-04-23
49,0,11,38,2020-04-24
49,0,12,37,2020-04-25
52,0,16,36,2020-04-26
52,0,16,36,2020-04-27
54,0,16,38,2020-04-28
57,0,16,41,2020-04-29
57,0,16,41,2020-04-30
59,0,16,43,2020-05-01
59,0,16,43,2020-05-02
75,0,16,59,2020-05-03
75,0,16,59,2020-05-04
82,0,16,66,2020-05-05
99,0,22,77,2020-05-06
101,0,22,79,2020-05-07
102,0,31,71,2020-05-08
110,0,31,79,2020-05-09
110,0,31,79,2020-05-10
134,0,33,101,2020-05-11
217,0,33,184,2020-05-12
250,0,35,215,2020-05-13
249,0,35,214,2020-05-14
267,0,36,231,2020-05-15
291,1,36,254,2020-05-16
295,2,36,257,2020-05-17
375,2,36,337,2020-05-18
402,2,37,363,2020-05-19
427,2,45,380,2020-05-20
457,3,49,405,2020-05-21
516,3,70,443,2020-05-22
584,3,70,511,2020-05-23
603,3,87,513,2020-05-24
682,4,112,566,2020-05-25
772,4,155,613,2020-05-26
886,4,183,699,2020-05-27
1042,5,187,850,2020-05-28
1212,6,206,1000,2020-05-29
1401,6,219,1176,2020-05-30
1572,8,220,1344,2020-05-31
1811,8,221,1582,2020-06-01
2099,8,266,1825,2020-06-02
2300,9,278,2013,2020-06-03
2634,10,290,2334,2020-06-04
2912,11,333,2568,2020-06-05
3235,13,365,2857,2020-06-06
3448,13,467,2968,2020-06-07
3762,14,488,3260,2020-06-08
4086,15,584,3487,2020-06-09
