Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
2,0,0,2,2020-02-24
2,0,0,2,2020-02-25
4,0,0,4,2020-02-26
4,0,0,4,2020-02-27
4,0,0,4,2020-02-28
6,0,1,5,2020-02-29
6,0,1,5,2020-03-01
6,0,1,5,2020-03-02
12,0,2,10,2020-03-03
15,0,2,13,2020-03-04
16,0,2,14,2020-03-05
16,0,2,14,2020-03-06
16,0,2,14,2020-03-07
16,0,2,14,2020-03-08
16,0,2,14,2020-03-09
18,0,9,9,2020-03-10
18,0,9,9,2020-03-11
18,0,9,9,2020-03-12
19,0,9,10,2020-03-13
19,0,9,10,2020-03-14
22,0,9,13,2020-03-15
22,0,9,13,2020-03-16
24,0,9,15,2020-03-17
39,0,12,27,2020-03-18
48,0,12,36,2020-03-19
48,0,12,36,2020-03-20
52,0,12,40,2020-03-21
55,0,17,38,2020-03-22
66,0,17,49,2020-03-23
84,0,17,67,2020-03-24
99,0,17,82,2020-03-25
109,0,23,86,2020-03-26
131,0,23,108,2020-03-27
152,0,23,129,2020-03-28
167,0,23,144,2020-03-29
179,0,29,150,2020-03-30
192,1,34,157,2020-03-31
210,1,34,175,2020-04-01
231,1,57,173,2020-04-02
252,1,57,194,2020-04-03
277,2,61,214,2020-04-04
298,2,61,235,2020-04-05
331,2,61,268,2020-04-06
371,2,67,302,2020-04-07
419,2,72,345,2020-04-08
457,3,109,345,2020-04-09
484,3,109,372,2020-04-10
546,3,109,434,2020-04-11
599,4,109,486,2020-04-12
727,4,124,599,2020-04-13
813,4,130,679,2020-04-14
910,4,131,775,2020-04-15
1019,4,176,839,2020-04-16
1069,6,176,887,2020-04-17
1180,6,176,998,2020-04-18
1266,7,233,1026,2020-04-19
1410,7,238,1165,2020-04-20
1508,8,238,1262,2020-04-21
1614,8,238,1368,2020-04-22
1716,9,307,1400,2020-04-23
1790,10,325,1455,2020-04-24
1905,10,329,1566,2020-04-25
1998,10,333,1655,2020-04-26
2049,10,364,1675,2020-04-27
2131,10,364,1757,2020-04-28
2274,10,364,1900,2020-04-29
2348,11,495,1842,2020-04-30
2447,11,495,1941,2020-05-01
2483,12,750,1721,2020-05-02
2568,12,750,1806,2020-05-03
2637,12,816,1809,2020-05-04
2735,13,858,1864,2020-05-05
2903,13,888,2002,2020-05-06
2958,15,980,1963,2020-05-07
3112,16,1025,2071,2020-05-08
3224,17,1068,2139,2020-05-09
3399,17,1117,2265,2020-05-10
3573,17,1250,2306,2020-05-11
3721,17,1250,2454,2020-05-12
4019,17,1289,2713,2020-05-13
4341,18,1303,3020,2020-05-14
4625,20,1350,3255,2020-05-15
5029,21,1436,3572,2020-05-16
5186,22,1465,3699,2020-05-17
5379,25,1496,3858,2020-05-18
5671,27,1574,4070,2020-05-19
6043,30,1661,4352,2020-05-20
6370,31,1821,4518,2020-05-21
6794,34,1821,4939,2020-05-22
7257,36,1848,5373,2020-05-23
7770,37,1933,5800,2020-05-24
7770,37,1933,5800,2020-05-25
8118,37,2067,6014,2020-05-26
8373,39,2177,6157,2020-05-27
9009,40,2177,6792,2020-05-28
9820,40,2396,7384,2020-05-29
10423,42,2396,7985,2020-05-30
11437,49,2682,8706,2020-05-31
12223,50,2682,9491,2020-06-01
12799,59,2812,9928,2020-06-02
13537,67,2845,10625,2020-06-03
