Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
1,0,0,1,2020-03-10
8,1,0,7,2020-03-11
11,1,0,10,2020-03-12
27,1,0,26,2020-03-13
36,1,0,35,2020-03-14
43,1,0,42,2020-03-15
55,1,0,54,2020-03-16
69,1,0,68,2020-03-17
86,1,0,85,2020-03-18
109,1,0,108,2020-03-19
137,1,0,136,2020-03-20
200,1,0,199,2020-03-21
313,3,0,310,2020-03-22
345,6,0,339,2020-03-23
345,6,1,338,2020-03-24
443,8,1,434,2020-03-25
558,8,2,548,2020-03-26
674,9,2,663,2020-03-27
786,14,2,770,2020-03-28
901,17,4,880,2020-03-29
989,24,4,961,2020-03-30
1181,30,9,1142,2020-03-31
1181,30,9,1142,2020-04-01
1317,32,9,1276,2020-04-02
1475,37,10,1428,2020-04-03
1673,41,13,1619,2020-04-04
1801,46,13,1742,2020-04-05
1988,54,13,1921,2020-04-06
2100,55,14,2031,2020-04-07
2249,59,16,2174,2020-04-08
2528,63,16,2449,2020-04-09
2752,66,16,2670,2020-04-10
2974,74,17,2883,2020-04-11
3234,79,23,3132,2020-04-12
3400,87,29,3284,2020-04-13
3472,94,61,3317,2020-04-14
3574,95,72,3407,2020-04-15
3751,103,75,3573,2020-04-16
4016,109,98,3809,2020-04-17
4210,116,122,3972,2020-04-18
4273,120,140,4013,2020-04-19
4467,126,165,4176,2020-04-20
4658,136,204,4318,2020-04-21
4821,141,231,4449,2020-04-22
5166,146,271,4749,2020-04-23
5338,154,319,4865,2020-04-24
5538,159,338,5041,2020-04-25
5779,165,338,5276,2020-04-26
6021,167,455,5399,2020-04-27
6021,167,455,5399,2020-04-28
6378,178,527,5673,2020-04-29
6532,188,576,5768,2020-04-30
6720,192,622,5906,2020-05-01
7090,197,641,6252,2020-05-02
7090,197,641,6252,2020-05-03
7197,200,641,6356,2020-05-04
7523,210,823,6490,2020-05-05
7731,218,859,6654,2020-05-06
7868,225,886,6757,2020-05-07
8070,231,886,6953,2020-05-08
8282,237,4501,3544,2020-05-09
8448,244,4687,3517,2020-05-10
8616,249,4687,3680,2020-05-11
8783,252,6021,2510,2020-05-12
8944,256,6067,2621,2020-05-13
9118,260,6080,2778,2020-05-14
9268,266,6080,2922,2020-05-15
9449,269,6080,3100,2020-05-16
9606,275,6081,3250,2020-05-17
9726,279,6081,3366,2020-05-18
9867,281,6194,3392,2020-05-19
9977,287,6194,3496,2020-05-20
10116,291,6245,3580,2020-05-21
10267,295,6275,3697,2020-05-22
10577,299,6279,3999,2020-05-23
10926,306,6279,4341,2020-05-24
11183,310,6279,4594,2020-05-25
11447,313,6379,4755,2020-05-26
11728,315,7379,4034,2020-05-27
12131,320,7379,4432,2020-05-28
12531,326,7540,4665,2020-05-29
13018,330,9414,3274,2020-05-30
13463,336,9514,3613,2020-05-31
13837,344,9514,3979,2020-06-01
