Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
1,0,0,1,2020-03-08
1,0,0,1,2020-03-09
1,0,0,1,2020-03-10
5,0,0,5,2020-03-11
5,0,0,5,2020-03-12
6,0,0,6,2020-03-13
6,0,0,6,2020-03-14
6,0,0,6,2020-03-15
8,0,0,8,2020-03-16
9,0,0,9,2020-03-17
11,0,0,11,2020-03-18
11,0,0,11,2020-03-19
13,0,0,13,2020-03-20
18,1,0,17,2020-03-21
22,1,0,21,2020-03-22
22,1,0,21,2020-03-23
27,2,0,25,2020-03-24
37,3,0,34,2020-03-25
41,3,0,38,2020-03-26
52,3,1,48,2020-03-27
56,3,1,52,2020-03-28
59,3,1,55,2020-03-29
64,3,1,60,2020-03-30
65,3,1,61,2020-03-31
69,3,1,65,2020-04-01
77,3,2,72,2020-04-02
92,3,6,83,2020-04-03
96,3,12,81,2020-04-04
104,3,12,89,2020-04-05
113,5,12,96,2020-04-06
115,5,15,95,2020-04-07
119,5,15,99,2020-04-08
124,5,18,101,2020-04-09
129,6,18,105,2020-04-10
133,6,18,109,2020-04-11
134,6,22,106,2020-04-12
147,6,22,119,2020-04-13
159,7,22,130,2020-04-14
161,8,23,130,2020-04-15
174,8,30,136,2020-04-16
199,8,30,161,2020-04-17
202,8,35,159,2020-04-18
206,8,41,157,2020-04-19
208,8,46,154,2020-04-20
208,8,53,147,2020-04-21
213,9,62,142,2020-04-22
213,9,67,137,2020-04-23
223,9,78,136,2020-04-24
228,9,85,134,2020-04-25
228,9,85,134,2020-04-26
228,9,93,126,2020-04-27
239,9,102,128,2020-04-28
239,9,102,128,2020-04-29
266,10,113,143,2020-04-30
333,10,115,208,2020-05-01
370,10,119,241,2020-05-02
396,10,126,260,2020-05-03
415,10,130,275,2020-05-04
431,10,135,286,2020-05-05
440,10,142,288,2020-05-06
462,10,148,304,2020-05-07
563,10,152,401,2020-05-08
689,10,155,524,2020-05-09
713,10,165,538,2020-05-10
724,10,170,544,2020-05-11
737,10,173,554,2020-05-12
740,11,182,547,2020-05-13
754,11,184,559,2020-05-14
759,11,193,555,2020-05-15
778,11,198,569,2020-05-16
786,11,202,573,2020-05-17
788,11,219,558,2020-05-18
829,11,230,588,2020-05-19
833,11,242,580,2020-05-20
836,11,256,569,2020-05-21
838,11,264,563,2020-05-22
850,11,298,541,2020-05-23
862,11,307,544,2020-05-24
865,11,344,510,2020-05-25
877,11,382,484,2020-05-26
884,11,392,481,2020-05-27
900,11,402,487,2020-05-28
917,11,413,493,2020-05-29
964,11,466,487,2020-05-30
986,11,477,498,2020-05-31
995,11,488,496,2020-06-01
1013,11,498,504,2020-06-02
1070,11,511,548,2020-06-03
1086,11,511,564,2020-06-04
1087,11,516,560,2020-06-05
1090,11,532,547,2020-06-06
1135,11,575,549,2020-06-07
1145,11,603,531,2020-06-08
1187,11,604,572,2020-06-09
1202,11,619,572,2020-06-10
