Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
1,0,0,1,2020-03-06
1,0,0,1,2020-03-07
6,0,0,6,2020-03-08
7,0,0,7,2020-03-09
11,0,0,11,2020-03-10
11,0,0,11,2020-03-11
15,0,0,15,2020-03-12
28,0,0,28,2020-03-13
38,0,0,38,2020-03-14
43,0,0,43,2020-03-15
86,0,0,86,2020-03-16
117,0,1,116,2020-03-17
145,0,1,144,2020-03-18
234,0,1,233,2020-03-19
234,3,1,230,2020-03-20
318,5,1,312,2020-03-21
363,5,1,357,2020-03-22
395,5,1,389,2020-03-23
416,7,1,408,2020-03-24
480,9,1,470,2020-03-25
580,9,14,557,2020-03-26
635,11,16,608,2020-03-27
671,16,16,639,2020-03-28
852,18,16,818,2020-03-29
950,24,53,873,2020-03-30
1065,30,394,641,2020-03-31
1323,38,394,891,2020-04-01
1414,55,537,822,2020-04-02
1595,61,537,997,2020-04-03
1746,73,914,759,2020-04-04
2281,83,989,1209,2020-04-05
2561,92,997,1472,2020-04-06
2954,107,1301,1546,2020-04-07
4342,121,1333,2888,2020-04-08
5256,138,1438,3680,2020-04-09
5897,169,1569,4159,2020-04-10
6848,181,1739,4928,2020-04-11
7519,193,1798,5528,2020-04-12
9784,216,2642,6926,2020-04-13
10303,230,2869,7204,2020-04-14
11475,254,3108,8113,2020-04-15
12491,274,6120,6097,2020-04-16
13489,300,6541,6648,2020-04-17
14420,348,6684,7388,2020-04-18
15628,400,6811,8417,2020-04-19
16325,445,6968,8912,2020-04-20
17837,484,6982,10371,2020-04-21
19250,530,7027,11693,2020-04-22
20914,572,7422,12920,2020-04-23
21648,634,7496,13518,2020-04-24
25331,700,7797,16834,2020-04-25
27517,728,8088,18701,2020-04-26
28699,782,8425,19492,2020-04-27
31190,854,9179,21157,2020-04-28
33931,943,10037,22951,2020-04-29
36976,1051,10405,25520,2020-04-30
40459,1124,11129,28206,2020-05-01
42534,1200,12434,28900,2020-05-02
45928,1286,13550,31092,2020-05-03
47372,1344,14427,31601,2020-05-04
51189,1444,15413,34332,2020-05-05
54817,1533,17527,35757,2020-05-06
58526,1627,18388,38511,2020-05-07
61847,1714,19012,41121,2020-05-08
65015,1814,20246,42955,2020-05-09
67307,1889,21349,44069,2020-05-10
68822,1961,22406,44455,2020-05-11
72059,2057,23324,46678,2020-05-12
76306,2169,24324,49813,2020-05-13
80604,2267,25151,53186,2020-05-14
84495,2392,27147,54956,2020-05-15
88541,2523,28272,57746,2020-05-16
92273,2648,28621,61004,2020-05-17
94933,2789,30306,61838,2020-05-18
99483,2914,36524,60045,2020-05-19
104020,3024,41968,59028,2020-05-20
108769,3148,43587,62034,2020-05-21
111698,3244,44848,63606,2020-05-22
115754,3373,47915,64466,2020-05-23
119959,3456,49795,66708,2020-05-24
123979,3629,50949,69401,2020-05-25
129751,3788,52906,73057,2020-05-26
135905,3983,56169,75753,2020-05-27
141779,4099,59442,78238,2020-05-28
148285,4230,62791,81264,2020-05-29
