Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
1,0,0,1,2020-03-04
1,0,0,1,2020-03-05
5,0,0,5,2020-03-06
5,0,0,5,2020-03-07
11,0,0,11,2020-03-08
16,0,0,16,2020-03-09
22,0,0,22,2020-03-10
31,0,0,31,2020-03-11
49,1,0,48,2020-03-12
68,2,0,66,2020-03-13
103,3,0,100,2020-03-14
119,3,0,116,2020-03-15
177,4,13,160,2020-03-16
238,5,13,220,2020-03-17
251,5,13,233,2020-03-18
355,5,1,349,2020-03-19
425,5,1,419,2020-03-20
536,5,1,530,2020-03-21
634,7,1,626,2020-03-22
749,8,1,740,2020-03-23
901,10,1,890,2020-03-24
1051,14,7,1030,2020-03-25
1221,16,7,1198,2020-03-26
1389,16,7,1366,2020-03-27
1638,18,7,1613,2020-03-28
1862,22,7,1833,2020-03-29
2055,31,7,2017,2020-03-30
2311,33,7,2271,2020-03-31
2554,43,47,2464,2020-04-01
2946,57,56,2833,2020-04-02
3383,71,56,3256,2020-04-03
3627,79,116,3432,2020-04-04
4102,94,134,3874,2020-04-05
4413,107,162,4144,2020-04-06
4848,129,191,4528,2020-04-07
5205,159,222,4824,2020-04-08
5575,174,284,5117,2020-04-09
5955,181,318,5456,2020-04-10
6356,208,375,5773,2020-04-11
6674,232,439,6003,2020-04-12
6934,245,487,6202,2020-04-13
7202,263,618,6321,2020-04-14
7582,286,668,6628,2020-04-15
7918,314,774,6830,2020-04-16
8379,332,866,7181,2020-04-17
8742,347,981,7414,2020-04-18
9287,360,1040,7887,2020-04-19
9593,380,1133,8080,2020-04-20
9856,401,1297,8158,2020-04-21
10169,426,1513,8230,2020-04-22
10511,454,1740,8317,2020-04-23
10892,494,1944,8454,2020-04-24
11273,524,2126,8623,2020-04-25
11617,535,2265,8817,2020-04-26
11902,562,2466,8874,2020-04-27
12218,596,2655,8967,2020-04-28
12640,624,3025,8991,2020-04-29
12877,644,3236,8997,2020-04-30
13105,651,3491,8963,2020-05-01
13375,664,3762,8949,2020-05-02
13693,678,3945,9070,2020-05-03
14006,698,4095,9213,2020-05-04
14431,716,4280,9435,2020-05-05
14740,733,4655,9352,2020-05-06
15047,755,4862,9430,2020-05-07
15366,776,5184,9406,2020-05-08
15651,785,5437,9429,2020-05-09
15996,800,5698,9498,2020-05-10
16326,811,5816,9699,2020-05-11
16921,839,6131,9951,2020-05-12
17204,861,6410,9933,2020-05-13
17615,883,6696,10036,2020-05-14
18016,907,6918,10191,2020-05-15
18257,915,7175,10167,2020-05-16
18529,925,7451,10153,2020-05-17
18885,936,7628,10321,2020-05-18
19268,948,7903,10417,2020-05-19
19739,962,8183,10594,2020-05-20
20143,972,8452,10719,2020-05-21
20619,982,8731,10906,2020-05-22
20931,993,8977,10961,2020-05-23
21326,996,9194,11136,2020-05-24
21631,1007,9276,11348,2020-05-25
22074,1024,10020,11030,2020-05-26
22473,1028,10330,11115,2020-05-27
22825,1038,10560,11227,2020-05-28
23155,1051,10692,11412,2020-05-29
23571,1061,11016,11494,2020-05-30
